edition	paragraph	target	chor	relative	direct_next	identity	row_status
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.8:2	AFTER	True	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.9:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.13:4	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.21:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f9v|f9v.5-f9v.12	f9v.11:1	f9v.12:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.15:1	f17v.1:2	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.15:1	f17v.12:6	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f19v|f19v.8-f19v.14	f19v.9:1	f19v.9:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f19v|f19v.8-f19v.14	f19v.9:1	f19v.10:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.7:1	f22v.7:2	AFTER	True	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.8:1	f24r.1:4	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.8:1	f24r.10:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
ZL3b	f45v|f45v.5-f45v.11	f45v.9:1	f45v.11:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f6v|f6v.6-f6v.21	f6v.8:1	f6v.8:2	AFTER	True	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f6v|f6v.6-f6v.21	f6v.8:1	f6v.9:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f6v|f6v.6-f6v.21	f6v.8:1	f6v.13:4	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f6v|f6v.6-f6v.21	f6v.8:1	f6v.21:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f9v|f9v.5-f9v.12	f9v.11:1	f9v.12:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.15:1	f17v.1:2	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.15:1	f17v.12:6	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f19v|f19v.8-f19v.14	f19v.9:1	f19v.9:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f19v|f19v.8-f19v.14	f19v.9:1	f19v.10:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f22v|f22v.6-f22v.16	f22v.7:1	f22v.7:2	AFTER	True	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f24r|f24r.1-f24r.20	f24r.8:1	f24r.1:2	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f24r|f24r.1-f24r.20	f24r.8:1	f24r.10:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
IT2a	f45v|f45v.5-f45v.11	f45v.9:1	f45v.11:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.8:2	AFTER	True	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.9:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.13:4	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.21:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f9v|f9v.5-f9v.12	f9v.11:1	f9v.12:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.15:1	f17v.1:2	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.15:1	f17v.12:6	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f19v|f19v.8-f19v.14	f19v.9:1	f19v.9:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f19v|f19v.8-f19v.14	f19v.9:1	f19v.10:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f22v|f22v.6-f22v.16	f22v.7:1	f22v.7:2	AFTER	True	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f24r|f24r.1-f24r.20	f24r.8:1	f24r.1:2	BEFORE	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f24r|f24r.1-f24r.20	f24r.8:1	f24r.10:3	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
RF1b	f45v|f45v.5-f45v.11	f45v.9:1	f45v.11:2	AFTER	False	SAME_RENAMING_OR_FRESH_PORTION_UNRESOLVED	recorded
