variant	paragraph	locus	mention	form	kind	axis	value	scope	patient	patient_form	rule	debts	model	old_phase_not_recomputed	row_status
B	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		A	0	recorded
B	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	A	0	recorded
B	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		A	1	recorded
B	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	A	1	recorded
B	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		A	0	recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		A	0	recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	A	1	recorded
B	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		A	0	recorded
J	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		A	0	recorded
J	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	A	0	recorded
J	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		A	2	recorded
J	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	A	1	recorded
J	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		A	0	recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		A	0	recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	A	1	recorded
J	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		A	0	recorded
M	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		A	0	recorded
M	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	A	0	recorded
M	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		A	2	recorded
M	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	A	1	recorded
M	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		A	0	recorded
M	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		A	0	recorded
M	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	A	1	recorded
M	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		A	0	recorded
B	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		N	0	recorded
B	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	N	0	recorded
B	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		N	1	recorded
B	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	N	1	recorded
B	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		N	0	recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		N	0	recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	N	1	recorded
B	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		N	0	recorded
J	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		N	0	recorded
J	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	N	0	recorded
J	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		N	2	recorded
J	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	N	1	recorded
J	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		N	0	recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		N	0	recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	N	1	recorded
J	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		N	0	recorded
M	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		N	0	recorded
M	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	N	0	recorded
M	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		N	2	recorded
M	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	N	1	recorded
M	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		N	0	recorded
M	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		N	0	recorded
M	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	N	1	recorded
M	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		N	0	recorded
B	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		P	0	recorded
B	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	P	0	recorded
B	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		P	1	recorded
B	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	P	1	recorded
B	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		P	0	recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		P	0	recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	P	1	recorded
B	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		P	0	recorded
J	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		P	0	recorded
J	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	P	0	recorded
J	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		P	2	recorded
J	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	P	1	recorded
J	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	NOMINAL_INPUT		P	0	recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	NOMINAL_INPUT		P	0	recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	P	1	recorded
J	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	NOMINAL_INPUT		P	0	recorded
M	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	NOMINAL_INPUT		P	0	recorded
M	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING	MISSING_MATERIAL_BINDING	P	0	recorded
M	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	REGISTERED_ACTION_RESULT		P	2	recorded
