edition	model	variant	paragraph	mention	meaning	added_commands	added_material_mentions	take_patient	take_patient_form	take_debts	material_uses	raw_line	row_status
ZL3b	A	B	f6v|f6v.6-f6v.21	f6v.8:1	ferner	0	0					ychor chor okchey qokom	recorded
ZL3b	A	J	f6v|f6v.6-f6v.21	f6v.8:1	ferner	0	0					ychor chor okchey qokom	recorded
ZL3b	A	M	f6v|f6v.6-f6v.21	f6v.8:1	ferner	0	0					ychor chor okchey qokom	recorded
ZL3b	N	B	f6v|f6v.6-f6v.21	f6v.8:1	nimm	1	0	f6v.8:2	chor			ychor chor okchey qokom	recorded
ZL3b	N	J	f6v|f6v.6-f6v.21	f6v.8:1	nimm	1	0	f6v.8:2	chor			ychor chor okchey qokom	recorded
ZL3b	N	M	f6v|f6v.6-f6v.21	f6v.8:1	nimm	1	0	f6v.8:2	chor			ychor chor okchey qokom	recorded
ZL3b	P	B	f6v|f6v.6-f6v.21	f6v.8:1	Blüten [gleiche Klasse wie chor, hypothetisch]	0	1					ychor chor okchey qokom	recorded
ZL3b	P	J	f6v|f6v.6-f6v.21	f6v.8:1	Blüten [gleiche Klasse wie chor, hypothetisch]	0	1					ychor chor okchey qokom	recorded
ZL3b	P	M	f6v|f6v.6-f6v.21	f6v.8:1	Blüten [gleiche Klasse wie chor, hypothetisch]	0	1					ychor chor okchey qokom	recorded
ZL3b	A	B	f9v|f9v.5-f9v.12	f9v.11:1	ferner	0	0					ychor chshoty oky kaiin	recorded
ZL3b	A	J	f9v|f9v.5-f9v.12	f9v.11:1	ferner	0	0					ychor chshoty oky kaiin	recorded
ZL3b	A	M	f9v|f9v.5-f9v.12	f9v.11:1	ferner	0	0					ychor chshoty oky kaiin	recorded
ZL3b	N	B	f9v|f9v.5-f9v.12	f9v.11:1	nimm	1	0	f9v.11:2	chshoty			ychor chshoty oky kaiin	recorded
ZL3b	N	J	f9v|f9v.5-f9v.12	f9v.11:1	nimm	1	0	f9v.11:2	chshoty			ychor chshoty oky kaiin	recorded
ZL3b	N	M	f9v|f9v.5-f9v.12	f9v.11:1	nimm	1	0	f9v.11:2	chshoty			ychor chshoty oky kaiin	recorded
ZL3b	P	B	f9v|f9v.5-f9v.12	f9v.11:1	Blüten [gleiche Klasse wie chor, hypothetisch]	0	1					ychor chshoty oky kaiin	recorded
ZL3b	P	J	f9v|f9v.5-f9v.12	f9v.11:1	Blüten [gleiche Klasse wie chor, hypothetisch]	0	1					ychor chshoty oky kaiin	recorded
ZL3b	P	M	f9v|f9v.5-f9v.12	f9v.11:1	Blüten [gleiche Klasse wie chor, hypothetisch]	0	1					ychor chshoty oky kaiin	recorded
ZL3b	A	B	f17v|f17v.1-f17v.23	f17v.15:1	ferner	0	0					ychor cthy che'eky cheo otor oteol	recorded
ZL3b	A	J	f17v|f17v.1-f17v.23	f17v.15:1	ferner	0	0					ychor cthy che'eky cheo otor oteol	recorded
ZL3b	A	M	f17v|f17v.1-f17v.23	f17v.15:1	ferner	0	0					ychor cthy che'eky cheo otor oteol	recorded
ZL3b	N	B	f17v|f17v.1-f17v.23	f17v.15:1	nimm	1	0	f17v.15:2	cthy			ychor cthy che'eky cheo otor oteol	recorded
ZL3b	N	J	f17v|f17v.1-f17v.23	f17v.15:1	nimm	1	0	f17v.15:2	cthy			ychor cthy che'eky cheo otor oteol	recorded
ZL3b	N	M	f17v|f17v.1-f17v.23	f17v.15:1	nimm	1	0	f17v.15:2	cthy			ychor cthy che'eky cheo otor oteol	recorded
