edition	variant	paragraph	operation	form	old_patient	old_form	new_patient	new_form	old_second	new_second	old_rule	new_rule	old_debts	new_debts	row_status
ZL3b	B	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
ZL3b	J	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
ZL3b	M	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
IT2a	B	f93r|f93r.1-f93r.32	f93r.10:2	chey	f93r.10:4	cheol	f93r.10:1	ychor			LOCAL_RIGHT	LOCAL_LEFT	UNREAD_BETWEEN:f93r.10:3		recorded
IT2a	J	f93r|f93r.1-f93r.32	f93r.10:2	chey	f93r.10:4	cheol	f93r.10:1	ychor			LOCAL_RIGHT	LOCAL_LEFT	UNREAD_BETWEEN:f93r.10:3		recorded
IT2a	M	f93r|f93r.1-f93r.32	f93r.10:2	chey	f93r.10:4	cheol	f93r.10:1	ychor			LOCAL_RIGHT	LOCAL_LEFT	UNREAD_BETWEEN:f93r.10:3		recorded
IT2a	B	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
IT2a	J	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
IT2a	M	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
RF1b	B	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
RF1b	J	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
RF1b	M	f106r|f106r.8-f106r.9	f106r.9:2	chol	f106r.9:3	qokain	f106r.9:1	ychor			LOCAL_RIGHT	LOCAL_LEFT			recorded
