unit_order	unit_id	domain	page	groups	exact_canonical_matches	allographic_matches	exact_percent	all_predictions_attested
1	H1	PROSE	f10r	14	10	4	71.4	YES
2	H2	PROSE	f10r	24	11	13	45.8	YES
3	H3	PROSE	f11r	17	12	5	70.6	YES
4	H4	PROSE	f55v	18	13	5	72.2	YES
5	H5	PROSE	f56r	27	20	7	74.1	YES
6	B1	PROSE	f81v	66	46	20	69.7	YES
7	B2	PROSE	f82r	62	52	10	83.9	YES
8	B3	PROSE	f83r	86	59	27	68.6	YES
9	B4	PROSE	f83r	47	35	12	74.5	YES
10	B5	PROSE	f83r	11	8	3	72.7	YES
11	B6	PROSE	f83r	9	8	1	88.9	YES
12	A1	ASTRO	f67r2	190	165	25	86.8	YES
13	A2	ASTRO	f68r1	65	59	6	90.8	YES
14	A3	ASTRO	f69v	140	108	32	77.1	YES
