family_no	formal_parse	atomic_default_de	canonical_surface	surface_types	all_attested_surfaces	simple_q_variants	leading_wrapper_variants	renderer_task
1	AIIN	Mass	daiin	5	aiin|chaiin|daiin|saiin|taiin	0	1	choose one allograph without changing the component sequence
2	AIN	Portion	dain	2	ain|dain	0	1	choose one allograph without changing the component sequence
3	AL	Stelle	dal	6	al|chal|cheal|dal|sal|tal	0	1	choose one allograph without changing the component sequence
4	AL+AIIN	Stelle + Mass	alaiin	2	alaiin|aldaiin	0	0	choose one allograph without changing the component sequence
5	AL+DY	an der Stelle schliessen	aldy	2	aldy|daldy	0	1	choose one allograph without changing the component sequence
6	AR	von dort	ar	4	ar|char|dar|sar	0	3	choose one allograph without changing the component sequence
7	AR+AM_ADDR	von dort + Gegenfeld	aram	2	aram|daram	0	1	choose one allograph without changing the component sequence
8	AR+Y	dies aus der Quelle nehmen	dary	2	chary|dary	0	0	choose one allograph without changing the component sequence
9	CHD+DY	umsetzen; Schluss	schedy	4	dchdy|dchedy|schedy|tchedy	0	0	choose one allograph without changing the component sequence
10	CHD+Y	dies umsetzen	chedy	3	chdy|chedchy|chedy	0	0	choose one allograph without changing the component sequence
11	CHK+EE+Y	dies länger wärmen	cheeky	2	cheeky|chkeey	0	0	choose one allograph without changing the component sequence
12	CKH+Y	durchführen	chckhy	2	chckhy|shckhy	0	0	choose one allograph without changing the component sequence
13	CTH+E+Y	dies kurz bereithalten	qcthey	2	qcthey|shcthey	0	0	choose one allograph without changing the component sequence
14	CTH+Y	bereit	cthy	3	checthy|cthy|shcthy	0	2	choose one allograph without changing the component sequence
15	HO	Gabe	cho	2	cho|sho	0	0	choose one allograph without changing the component sequence
16	K+AIN	eine Portion	kain	2	chkain|kain	0	1	choose one allograph without changing the component sequence
17	O+AR	Arbeitsgang + von dort	oar	2	oar|osar	0	0	choose one allograph without changing the component sequence
18	O+CKH+Y	Arbeitsgang + Durchgang + dies	ockhy	2	ockhy|qockhy	1	1	choose one allograph without changing the component sequence
19	O+IIN	Sollstand	oiin	3	oiiin|oiin|soiiin	0	0	choose one allograph without changing the component sequence
20	OK+AIIN	bemessen	qokaiin	2	okaiin|qokaiin	1	1	choose one allograph without changing the component sequence
21	OK+AIN	eine Portion zugeben	okain	2	okain|qokain	1	1	choose one allograph without changing the component sequence
