prediction_order	unified_id	domain	unit_id	page	locus	formal_parse	atomic_default_de	canonical_predicted_surface	observed_surface	exact_surface_match	surface_relation	valid_attested_surface_for_parse
3	P:E003	PROSE	H1	f10r	f10r.2	AR	von dort	ar	char	NO	LEADING_WRAPPER_ALLOGRAPH	YES
8	P:E008	PROSE	H1	f10r	f10r.2	OK+Y	verwende dies	qoky	oky	NO	Q_PREFIX_ALLOGRAPH	YES
11	P:E011	PROSE	H1	f10r	f10r.5	OK+Y	dies ansetzen	qoky	qokchy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
13	P:E013	PROSE	H1	f10r	f10r.5	OL	fortsetzen	ol	chol	NO	LEADING_WRAPPER_ALLOGRAPH	YES
17	P:E017	PROSE	H2	f10r	f10r.6	OR	Ansatz	or	chor	NO	LEADING_WRAPPER_ALLOGRAPH	YES
21	P:E021	PROSE	H2	f10r	f10r.6	Y	dies	dy	chy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
22	P:E022	PROSE	H2	f10r	f10r.6	AIIN	Mass	daiin	taiin	NO	ONE_EDIT_ALLOGRAPH	YES
23	P:E023	PROSE	H2	f10r	f10r.6	Y	dies	dy	shy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
24	P:E024	PROSE	H2	f10r	f10r.8	OT+CH+OR	danach Ansatz entnehmen	otchor	qotchor	NO	Q_PREFIX_ALLOGRAPH	YES
25	P:E025	PROSE	H2	f10r	f10r.8	OR	Ansatz	or	chor	NO	LEADING_WRAPPER_ALLOGRAPH	YES
27	P:E027	PROSE	H2	f10r	f10r.8	OL	fortsetzen	ol	chol	NO	LEADING_WRAPPER_ALLOGRAPH	YES
28	P:E028	PROSE	H2	f10r	f10r.8	OL+OR	weiterer Ansatz	olor	cholor	NO	LEADING_WRAPPER_ALLOGRAPH	YES
29	P:E029	PROSE	H2	f10r	f10r.8	OL	fortsetzen	ol	chol	NO	LEADING_WRAPPER_ALLOGRAPH	YES
31	P:E031	PROSE	H2	f10r	f10r.8	AR	von dort	ar	dar	NO	LEADING_WRAPPER_ALLOGRAPH	YES
33	P:E033	PROSE	H2	f10r	f10r.9	OR	Ansatz	or	shor	NO	LEADING_WRAPPER_ALLOGRAPH	YES
34	P:E034	PROSE	H2	f10r	f10r.9	OR	Ansatz	or	chor	NO	LEADING_WRAPPER_ALLOGRAPH	YES
35	P:E035	PROSE	H2	f10r	f10r.9	Y	dies	dy	chy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
44	P:E044	PROSE	H3	f11r	f11r.1	WHOLE[cheey|shey]	Ergebnis	cheey	shey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
47	P:E047	PROSE	H3	f11r	f11r.4	OL	fortsetzen	ol	dchol	NO	LEADING_WRAPPER_ALLOGRAPH	YES
48	P:E048	PROSE	H3	f11r	f11r.4	Y	dies	dy	chy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
52	P:E052	PROSE	H3	f11r	f11r.7	OT+Y	nächster Posten	otchey	qotchy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
53	P:E053	PROSE	H3	f11r	f11r.7	OK+OL	weiter ansetzen	okol	okchol	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
57	P:E057	PROSE	H4	f55v	f55v.5	AIIN	Mass	daiin	chaiin	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
58	P:E058	PROSE	H4	f55v	f55v.5	Y+K+AIN	eine Portion davon zuführen	ykan	ykain	NO	ONE_EDIT_ALLOGRAPH	YES
68	P:E068	PROSE	H4	f55v	f55v.11	AIIN	Mass	daiin	aiin	NO	LEADING_WRAPPER_ALLOGRAPH	YES
69	P:E069	PROSE	H4	f55v	f55v.11	OK+AL	an die Stelle setzen	qokal	okal	NO	Q_PREFIX_ALLOGRAPH	YES
72	P:E072	PROSE	H4	f55v	f55v.11	Y	dies	dy	y	NO	LEADING_WRAPPER_ALLOGRAPH	YES
78	P:E078	PROSE	H5	f56r	f56r.7	HO	Gabe	cho	sho	NO	ONE_EDIT_ALLOGRAPH	YES
81	P:E081	PROSE	H5	f56r	f56r.7	OK+Y	verwende dies	qoky	choky	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
83	P:E083	PROSE	H5	f56r	f56r.8	OL	fortsetzen	ol	schol	NO	LEADING_WRAPPER_ALLOGRAPH	YES
85	P:E085	PROSE	H5	f56r	f56r.8	OK+Y	verwende dies	qoky	choky	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
91	P:E091	PROSE	H5	f56r	f56r.13	OK+Y	dies ansetzen	qoky	okchy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
94	P:E094	PROSE	H5	f56r	f56r.18	HO	Gabe	cho	sho	NO	ONE_EDIT_ALLOGRAPH	YES
95	P:E095	PROSE	H5	f56r	f56r.18	OK+Y	dies ansetzen	qoky	chokchy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
102	P:E102	PROSE	B1	f81v	f81v.2	OK+AIIN	bemessen	qokaiin	okaiin	NO	Q_PREFIX_ALLOGRAPH	YES
104	P:E104	PROSE	B1	f81v	f81v.2	OK+AL	an die Stelle setzen	qokal	okal	NO	Q_PREFIX_ALLOGRAPH	YES
105	P:E105	PROSE	B1	f81v	f81v.2	AR	von dort	ar	sar	NO	LEADING_WRAPPER_ALLOGRAPH	YES
109	P:E109	PROSE	B1	f81v	f81v.2	AL	Stelle	dal	al	NO	LEADING_WRAPPER_ALLOGRAPH	YES
121	P:E121	PROSE	B1	f81v	f81v.7	OL	fortsetzen	ol	qol	NO	Q_PREFIX_ALLOGRAPH	YES
127	P:E127	PROSE	B1	f81v	f81v.17	OK+AIN	eine Portion zugeben	okain	qokain	NO	Q_PREFIX_ALLOGRAPH	YES
128	P:E128	PROSE	B1	f81v	f81v.17	CKH+Y	durchführen	chckhy	shckhy	NO	ONE_EDIT_ALLOGRAPH	YES
132	P:E132	PROSE	B1	f81v	f81v.18	Y	dies	dy	chey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
142	P:E142	PROSE	B1	f81v	f81v.21	OK+E+Y	kurz ansetzen	okey	qokey	NO	Q_PREFIX_ALLOGRAPH	YES
148	P:E148	PROSE	B1	f81v	f81v.21	OL	fortsetzen	ol	qol	NO	Q_PREFIX_ALLOGRAPH	YES
150	P:E150	PROSE	B1	f81v	f81v.24	T+E+Y	dies kurz eintragen	tey	ytey	NO	LEADING_WRAPPER_ALLOGRAPH	YES
151	P:E151	PROSE	B1	f81v	f81v.24	OK+CHD+DY	Ansatz umsetzen; Schluss	qokchdy	okchedy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
153	P:E153	PROSE	B1	f81v	f81v.24	OK+EE+Y	länger ansetzen	qokeey	okeey	NO	Q_PREFIX_ALLOGRAPH	YES
154	P:E154	PROSE	B1	f81v	f81v.24	OL	fortsetzen	ol	qol	NO	Q_PREFIX_ALLOGRAPH	YES
155	P:E155	PROSE	B1	f81v	f81v.24	SHED+DY	absetzen; Schluss	shedy	cheedy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
156	P:E156	PROSE	B1	f81v	f81v.24	AL	Stelle	dal	sal	NO	ONE_EDIT_ALLOGRAPH	YES
158	P:E158	PROSE	B1	f81v	f81v.24	CHD+DY	umsetzen; Schluss	schedy	dchdy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
161	P:E161	PROSE	B1	f81v	f81v.27	O+IIN	Sollstand	oiin	oiiin	NO	ONE_EDIT_ALLOGRAPH	YES
163	P:E163	PROSE	B1	f81v	f81v.27	SHED+DY	absetzen; Schluss	shedy	tedy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
166	P:E166	PROSE	B1	f81v	f81v.27	AL	Stelle	dal	chal	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
167	P:E167	PROSE	B2	f82r	f82r.2	CHD+DY	umsetzen; Schluss	schedy	dchedy	NO	ONE_EDIT_ALLOGRAPH	YES
169	P:E169	PROSE	B2	f82r	f82r.2	OK+AIN	eine Portion zugeben	okain	qokain	NO	Q_PREFIX_ALLOGRAPH	YES
183	P:E183	PROSE	B2	f82r	f82r.4	CHK+EE+Y	dies länger wärmen	cheeky	chkeey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
190	P:E190	PROSE	B2	f82r	f82r.7	OT+AIIN	nächstes Maß	otaiin	sotaiin	NO	LEADING_WRAPPER_ALLOGRAPH	YES
191	P:E191	PROSE	B2	f82r	f82r.7	OK+AR	von dort einsetzen	okar	qokar	NO	Q_PREFIX_ALLOGRAPH	YES
199	P:E199	PROSE	B2	f82r	f82r.19	AR	von dort	ar	char	NO	LEADING_WRAPPER_ALLOGRAPH	YES
208	P:E208	PROSE	B2	f82r	f82r.23	Y	dies	dy	chey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
214	P:E214	PROSE	B2	f82r	f82r.26	AL	Stelle	dal	cheal	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
217	P:E217	PROSE	B2	f82r	f82r.26	AIIN	Mass	daiin	aiin	NO	LEADING_WRAPPER_ALLOGRAPH	YES
223	P:E223	PROSE	B2	f82r	f82r.27	AL+DY	an der Stelle schliessen	aldy	daldy	NO	LEADING_WRAPPER_ALLOGRAPH	YES
232	P:E232	PROSE	B3	f83r	f83r.3	Y	dies	dy	chey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
234	P:E234	PROSE	B3	f83r	f83r.3	Y	dies	dy	chey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
238	P:E238	PROSE	B3	f83r	f83r.3	AR	von dort	ar	dar	NO	LEADING_WRAPPER_ALLOGRAPH	YES
240	P:E240	PROSE	B3	f83r	f83r.6	CHD+Y	dies umsetzen	chedy	chedchy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
242	P:E242	PROSE	B3	f83r	f83r.6	OL+CHD+DY	weiterführen; Schluss	qolchedy	olchedy	NO	Q_PREFIX_ALLOGRAPH	YES
253	P:E253	PROSE	B3	f83r	f83r.8	AR+Y	dies aus der Quelle nehmen	dary	chary	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
254	P:E254	PROSE	B3	f83r	f83r.11	OR	Ansatz	or	sor	NO	LEADING_WRAPPER_ALLOGRAPH	YES
257	P:E257	PROSE	B3	f83r	f83r.11	K+AIN	eine Portion	kain	chkain	NO	LEADING_WRAPPER_ALLOGRAPH	YES
258	P:E258	PROSE	B3	f83r	f83r.11	CTH+E+Y	dies kurz bereithalten	qcthey	shcthey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
264	P:E264	PROSE	B3	f83r	f83r.14	OK+CHD+DY	Ansatz umsetzen; Schluss	qokchdy	qokchedy	NO	ONE_EDIT_ALLOGRAPH	YES
271	P:E271	PROSE	B3	f83r	f83r.14	CTH+Y	bereit	cthy	shcthy	NO	LEADING_WRAPPER_ALLOGRAPH	YES
273	P:E273	PROSE	B3	f83r	f83r.14	Y	dies	dy	sy	NO	ONE_EDIT_ALLOGRAPH	YES
274	P:E274	PROSE	B3	f83r	f83r.15	AIIN	Mass	daiin	saiin	NO	ONE_EDIT_ALLOGRAPH	YES
277	P:E277	PROSE	B3	f83r	f83r.15	Y	dies	dy	chey	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
278	P:E278	PROSE	B3	f83r	f83r.15	AL	Stelle	dal	tal	NO	ONE_EDIT_ALLOGRAPH	YES
279	P:E279	PROSE	B3	f83r	f83r.15	CTH+Y	bereit	cthy	shcthy	NO	LEADING_WRAPPER_ALLOGRAPH	YES
281	P:E281	PROSE	B3	f83r	f83r.15	OT+CHD+DY	danach umsetzen; Schluss	otchdy	qotchedy	NO	COMPLEX_LEARNED_ALLOGRAPH	YES
283	P:E283	PROSE	B3	f83r	f83r.16	CHD+DY	umsetzen; Schluss	schedy	tchedy	NO	ONE_EDIT_ALLOGRAPH	YES
288	P:E288	PROSE	B3	f83r	f83r.16	OK+AIN	eine Portion zugeben	okain	qokain	NO	Q_PREFIX_ALLOGRAPH	YES
289	P:E289	PROSE	B3	f83r	f83r.16	CTH+Y	bereit	cthy	checthy	NO	LEADING_WRAPPER_ALLOGRAPH	YES
291	P:E291	PROSE	B3	f83r	f83r.20	SOLK+EE+DY	länger auffangen; Schluss	olkeedy	solkeedy	NO	LEADING_WRAPPER_ALLOGRAPH	YES
295	P:E295	PROSE	B3	f83r	f83r.20	OL	fortsetzen	ol	sol	NO	LEADING_WRAPPER_ALLOGRAPH	YES
