parse_no	formal_parse	atomic_default_de	canonical_surface	canonical_occurrences	total_occurrences	surface_types	all_attested_surfaces	surface_counts	writer_rule
1	AIIN	Mass	daiin	15	31	5	aiin|chaiin|daiin|saiin|taiin	aiin:9|chaiin:1|daiin:15|saiin:5|taiin:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
2	AIN	Portion	dain	3	5	2	ain|dain	ain:2|dain:3	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
3	AIR	Lauf	air	4	4	1	air	air:4	WRITE_CANONICAL
4	AIR+Y	Lauf + dies	airchy	1	1	1	airchy	airchy:1	WRITE_CANONICAL
5	AIR+Y+DY	Lauf schliessen	dairydy	1	1	1	dairydy	dairydy:1	WRITE_CANONICAL
6	AL	Stelle	dal	10	17	6	al|chal|cheal|dal|sal|tal	al:1|chal:1|cheal:2|dal:10|sal:2|tal:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
7	AL+AIIN	Stelle + Mass	alaiin	1	2	2	alaiin|aldaiin	alaiin:1|aldaiin:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
8	AL+AL	Stelle + Stelle	saldal	1	1	1	saldal	saldal:1	WRITE_CANONICAL
9	AL+CHD+DY	an der Stelle überführen; Schluss	dalchdy	1	1	1	dalchdy	dalchdy:1	WRITE_CANONICAL
10	AL+DY	an der Stelle schliessen	aldy	1	2	2	aldy|daldy	aldy:1|daldy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
11	AL+R+OR	Ansatz an der Stelle senken	chealror	1	1	1	chealror	chealror:1	WRITE_CANONICAL
12	AL+S_ADDR+AIN	Stelle + Sternbezug + Portion	salsain	1	1	1	salsain	salsain:1	WRITE_CANONICAL
13	AL+Y+S_ADDR	Stelle + dies + Sternbezug	alys	1	1	1	alys	alys:1	WRITE_CANONICAL
14	AM_ADDR	Gegenfeld	am	3	3	1	am	am:3	WRITE_CANONICAL
15	AM_ADDR+Y	Gegenfeld + dies	amy	1	1	1	amy	amy:1	WRITE_CANONICAL
16	AR	von dort	ar	9	19	4	ar|char|dar|sar	ar:9|char:3|dar:4|sar:3	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
17	AR+AL	von dort + Stelle	saral	2	2	1	saral	saral:2	WRITE_CANONICAL
18	AR+AM_ADDR	von dort + Gegenfeld	aram	1	2	2	aram|daram	aram:1|daram:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
19	AR+Y	dies aus der Quelle nehmen	dary	1	2	2	chary|dary	chary:1|dary:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
20	AR+Y+DY	von dort + dies + Schluss	sarydy	1	1	1	sarydy	sarydy:1	WRITE_CANONICAL
21	A_ADDR	Nebenadresse	a	1	1	1	a	a:1	WRITE_CANONICAL
22	A_ADDR+Y	Nebenadresse + dies	ay	2	2	1	ay	ay:2	WRITE_CANONICAL
23	CFHY	auswringen	cfhy	1	1	1	cfhy	cfhy:1	WRITE_CANONICAL
24	CH	entnehmen	ch	1	1	1	ch	ch:1	WRITE_CANONICAL
25	CH+AIR	Lauf entnehmen	chair	1	1	1	chair	chair:1	WRITE_CANONICAL
26	CH+CKH+AL	Durchgangstelle	chckhal	1	1	1	chckhal	chckhal:1	WRITE_CANONICAL
27	CH+E+AR	entnehmen + kurz + von dort	chear	1	1	1	chear	chear:1	WRITE_CANONICAL
28	CH+E+K+O+DY	entnehmen + kurz + zufuehren + Arbeitsgang + Schluss	chekody	1	1	1	chekody	chekody:1	WRITE_CANONICAL
29	CH+E+T+EE+S_ADDR+E+R	entnehmen + kurz + eintragen + laenger + Sternbezug + kurz + senken	cheteeser	1	1	1	cheteeser	cheteeser:1	WRITE_CANONICAL
30	CH+E+T+O+Y	entnehmen + kurz + eintragen + Arbeitsgang + dies	chetody	1	1	1	chetody	chetody:1	WRITE_CANONICAL
31	CH+E+Y	dies kurz entnehmen	dchey	1	1	1	dchey	dchey:1	WRITE_CANONICAL
32	CH+EE+CKH+O+DY	länger durch den Durchgang; Schluss	cheeckhody	1	1	1	cheeckhody	cheeckhody:1	WRITE_CANONICAL
33	CH+EE+S_ADDR	entnehmen + laenger + Sternbezug	chees	1	1	1	chees	chees:1	WRITE_CANONICAL
34	CH+EE+T+EE+Y	entnehmen + laenger + eintragen + laenger + dies	cheeteey	1	1	1	cheeteey	cheeteey:1	WRITE_CANONICAL
35	CH+O+AIIN	auf Maß entnehmen	chodaiin	1	1	1	chodaiin	chodaiin:1	WRITE_CANONICAL
36	CH+P+OR	entnehmen + hinein + Ansatz	chpor	1	1	1	chpor	chpor:1	WRITE_CANONICAL
37	CH+S_ADDR+Y	entnehmen + Sternbezug + dies	chsdy	1	1	1	chsdy	chsdy:1	WRITE_CANONICAL
38	CH+T+EE+Y	entnehmen + eintragen + laenger + dies	chteey	1	1	1	chteey	chteey:1	WRITE_CANONICAL
39	CHD+AIIN	umsetzen + Mass	chedaiin	1	1	1	chedaiin	chedaiin:1	WRITE_CANONICAL
40	CHD+AIN	eine Portion überführen	chedain	1	1	1	chedain	chedain:1	WRITE_CANONICAL
