exact_card_id	surfaces	component_recipe	quantity_component	quantity_value_de	reading_de	events	operator_frame
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	AIIN	SOLLMASS	SOLLMASS	20	QTY
PROC017	cthaiin	CTH+AIIN	AIIN	SOLLMASS	BEREITEN · SOLLMASS	1	CTH+QTY
PROC024	kaiiin	K+IIN	IIN	STUFE	ZUGEBEN · STUFE	1	K+QTY
PROC025	chodaiin	CH+O+AIIN	AIIN	SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	1	CH+O+QTY
PROC029	shfydaiin	SH+Y+AIIN	AIIN	SOLLMASS	HALTEN · POSTEN · SOLLMASS	1	SH+Y+QTY
PROC038	okaiin|qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	9	OK+QTY
PROC039	ykain	Y+K+AIN	AIN	PORTION	POSTEN · ZUGEBEN · PORTION	1	Y+K+QTY
PROC044	ykaiin	Y+K+AIIN	AIIN	SOLLMASS	POSTEN · ZUGEBEN · SOLLMASS	1	Y+K+QTY
PROC050	orain	OR+AIN	AIN	PORTION	ANSATZ · PORTION	1	OR+QTY
PROC064	sotodan	OT+O+AIN	AIN	PORTION	DANACH · ARBEITSGANG · PORTION	1	OT+O+QTY
PROC069	chkain|kain	K+AIN	AIN	PORTION	ZUGEBEN · PORTION	3	K+QTY
PROC070	olkain|qolkain	OL+K+AIN	AIN	PORTION	WEITER · ZUGEBEN · PORTION	2	OL+K+QTY
PROC080	okain|qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION	7	OK+QTY
PROC097	oiiin|soiiin	O+IIN	IIN	STUFE	ARBEITSGANG · STUFE	2	O+QTY
PROC105	solkaiin	SOLK+AIIN	AIIN	SOLLMASS	SAMMELN · SOLLMASS	1	SOLK+QTY
PROC112	otaiin|sotaiin	OT+AIIN	AIIN	SOLLMASS	DANACH · SOLLMASS	3	OT+QTY
PROC147	chldaiin	L+AIIN	AIIN	SOLLMASS	LEITEN · SOLLMASS	1	L+QTY
PROC151	chedain	CHD+AIN	AIN	PORTION	UMSETZEN · PORTION	1	CHD+QTY
PROC152	qotedaiin	OT+E+AIIN	AIIN	SOLLMASS	DANACH · KURZ · SOLLMASS	1	OT+E+QTY
PROC156	dain	AIN	AIN	PORTION	PORTION	2	QTY
PROC169	daiiin	DA+IIN	IIN	STUFE	ZWEI · STUFE	1	DA+QTY
