event_id	page	record	statement_id	surface	component_recipe	quantity_component	quantity_value_de	reading_de
E009	f10r	H1	H1-S001	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E018	f10r	H2	H2-S001	cthaiin	CTH+AIIN	AIIN	SOLLMASS	BEREITEN · SOLLMASS
E022	f10r	H2	H2-S001	taiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E030	f10r	H2	H2-S002	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E036	f10r	H2	H2-S003	kaiiin	K+IIN	IIN	STUFE	ZUGEBEN · STUFE
E038	f10r	H2	H2-S003	chodaiin	CH+O+AIIN	AIIN	SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS
E042	f11r	H3	H3-S001	shfydaiin	SH+Y+AIIN	AIIN	SOLLMASS	HALTEN · POSTEN · SOLLMASS
E051	f11r	H3	H3-S003	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E056	f55v	H4	H4-S001	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E057	f55v	H4	H4-S001	chaiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E058	f55v	H4	H4-S001	ykain	Y+K+AIN	AIN	PORTION	POSTEN · ZUGEBEN · PORTION
E061	f55v	H4	H4-S002	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E064	f55v	H4	H4-S003	ykaiin	Y+K+AIIN	AIIN	SOLLMASS	POSTEN · ZUGEBEN · SOLLMASS
E068	f55v	H4	H4-S004	aiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E073	f55v	H4	H4-S004	orain	OR+AIN	AIN	PORTION	ANSATZ · PORTION
E077	f56r	H5	H5-S001	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E097	f56r	H5	H5-S005	sotodan	OT+O+AIN	AIN	PORTION	DANACH · ARBEITSGANG · PORTION
E100	f56r	H5	H5-S006	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E102	f81v	B1	B1-S002	okaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E107	f81v	B1	B1-S002	kain	K+AIN	AIN	PORTION	ZUGEBEN · PORTION
E108	f81v	B1	B1-S002	olkain	OL+K+AIN	AIN	PORTION	WEITER · ZUGEBEN · PORTION
E116	f81v	B1	B1-S002	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E118	f81v	B1	B1-S002	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E127	f81v	B1	B1-S006	qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E161	f81v	B1	B1-S018	oiiin	O+IIN	IIN	STUFE	ARBEITSGANG · STUFE
E169	f82r	B2	B2-S003	qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E178	f82r	B2	B2-S005	solkaiin	SOLK+AIIN	AIIN	SOLLMASS	SAMMELN · SOLLMASS
E180	f82r	B2	B2-S005	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E181	f82r	B2	B2-S005	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E190	f82r	B2	B2-S008	sotaiin	OT+AIIN	AIIN	SOLLMASS	DANACH · SOLLMASS
E198	f82r	B2	B2-S011	okain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E200	f82r	B2	B2-S011	okain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E207	f82r	B2	B2-S012	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E217	f82r	B2	B2-S016	aiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E219	f82r	B2	B2-S016	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E233	f83r	B3	B3-S003	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E236	f83r	B3	B3-S004	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E243	f83r	B3	B3-S007	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E256	f83r	B3	B3-S013	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E257	f83r	B3	B3-S013	chkain	K+AIN	AIN	PORTION	ZUGEBEN · PORTION
E270	f83r	B3	B3-S021	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS
E274	f83r	B3	B3-S021	saiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E286	f83r	B3	B3-S026	chldaiin	L+AIIN	AIIN	SOLLMASS	LEITEN · SOLLMASS
E288	f83r	B3	B3-S026	qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E299	f83r	B3	B3-S030	saiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E303	f83r	B3	B3-S032	chedain	CHD+AIN	AIN	PORTION	UMSETZEN · PORTION
E305	f83r	B3	B3-S032	qotedaiin	OT+E+AIIN	AIIN	SOLLMASS	DANACH · KURZ · SOLLMASS
E306	f83r	B3	B3-S032	otaiin	OT+AIIN	AIIN	SOLLMASS	DANACH · SOLLMASS
E309	f83r	B3	B3-S034	soiiin	O+IIN	IIN	STUFE	ARBEITSGANG · STUFE
E312	f83r	B3	B3-S034	otaiin	OT+AIIN	AIIN	SOLLMASS	DANACH · SOLLMASS
E327	f83r	B4	B4-S005	dain	AIN	AIN	PORTION	PORTION
E332	f83r	B4	B4-S008	saiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E338	f83r	B4	B4-S011	saiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E341	f83r	B4	B4-S011	okain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E352	f83r	B4	B4-S015	qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION
E354	f83r	B4	B4-S015	kain	K+AIN	AIN	PORTION	ZUGEBEN · PORTION
E358	f83r	B4	B4-S016	qolkain	OL+K+AIN	AIN	PORTION	WEITER · ZUGEBEN · PORTION
E369	f83r	B5	B5-S003	aiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E371	f83r	B5	B5-S003	daiiin	DA+IIN	IIN	STUFE	ZWEI · STUFE
E377	f83r	B6	B6-S001	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS
E379	f83r	B6	B6-S001	dain	AIN	AIN	PORTION	PORTION
