residual_ordinal	event_id	statement_id	physical_page	register	statement_position	statement_final	surface	recipe	effective_action_root	effective_argument_roots	residual_role	residual_role_de	written_default_de	resolved_microphrase_de	owner_context_clause_de	residual_status
1	G407-E1097	G407-S057	f71v	CELESTIAL	STATEMENT_INTERNAL	NO	oteeos	OT+EE+O+S_ADDR	CH	NONE	OBJECTLESS_INHERITED_OPERATION	geerbte objektlose Handlung	danach; auf Grad II; zur Ausführung; hier	Danach: nimm; auf Grad II; zur Ausführung; hier.	Danach im laufenden Gang nimm auf; auf Grad II und als Ausführung; an der bezeichneten Stelle.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
2	G407-E1137	G407-S060	f72r	CELESTIAL	STATEMENT_INITIAL	NO	oteeo	OT+EE+O	NONE	NONE	FORMAL_RELATION_PROLOGUE	formaler oder relationaler Vorspann	danach; auf Grad II; zur Ausführung	Danach: auf Grad II; zur Ausführung.	Danach auf Grad II und als Ausführung.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
3	G407-E1179	G407-S064	f72r	CELESTIAL	STATEMENT_INITIAL	NO	oteodar	OT+E+O+D_ADDR+AR	NONE	NONE	FORMAL_RELATION_PROLOGUE	formaler oder relationaler Vorspann	danach; auf Grad I; zur Ausführung; hier; vom Ausgang	Danach: auf Grad I; zur Ausführung; hier; vom Ausgang.	Danach von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
4	G407-E1219	G407-S067	f72r	CELESTIAL	STATEMENT_INITIAL	NO	oteos	OT+E+O+S_ADDR	NONE	NONE	FORMAL_RELATION_PROLOGUE	formaler oder relationaler Vorspann	danach; auf Grad I; zur Ausführung; hier	Danach: auf Grad I; zur Ausführung; hier.	Danach auf Grad I und als Ausführung; an der bezeichneten Stelle.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
5	G407-E1260	G407-S068	f72r	CELESTIAL	STATEMENT_INITIAL	NO	oteey	OT+EE+Y	NONE	Y	ARGUMENT_REFERENCE_INITIALIZER	Argumentbezug ohne ausgesprochene Handlung	danach; auf Grad II; den Posten	Danach: Bezug auf den Posten; auf Grad II.	Danach Bezug: den Positionsposten; auf Grad II.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
6	G407-E1286	G407-S071	f72r	CELESTIAL	STATEMENT_INITIAL	NO	otoar	OT+O+AR	NONE	NONE	FORMAL_RELATION_PROLOGUE	formaler oder relationaler Vorspann	danach; zur Ausführung; vom Ausgang	Danach: zur Ausführung; vom Ausgang.	Danach von der Ausgangsposition; als Ausführung.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
7	G407-E1389	G407-S078	f72r	CELESTIAL	STATEMENT_INITIAL	NO	oteey	OT+EE+Y	NONE	Y	ARGUMENT_REFERENCE_INITIALIZER	Argumentbezug ohne ausgesprochene Handlung	danach; auf Grad II; den Posten	Danach: Bezug auf den Posten; auf Grad II.	Danach Bezug: den Positionsposten; auf Grad II.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
8	G407-E2195	G407-S265	f76r	BIOLOGICAL	STATEMENT_INITIAL	NO	oteey	OT+EE+Y	NONE	Y	ARGUMENT_REFERENCE_INITIALIZER	Argumentbezug ohne ausgesprochene Handlung	danach; auf Grad II; den Posten	Danach: Bezug auf den Posten; auf Grad II.	Danach Bezug: den Stationsposten; auf Grad II.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
9	G407-E2394	G407-S311	f77r	BIOLOGICAL	STATEMENT_INTERNAL	NO	ol	OL	S	NONE	OBJECTLESS_INHERITED_OPERATION	geerbte objektlose Handlung	weiter	Weiter: wähle.	Weiter im laufenden Gang wähle.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
10	G407-E3970	G407-S656	f88v	PHARMA	SINGLETON_STATEMENT	YES	qotody	OT+O+DY	SH	NONE	OBJECTLESS_INHERITED_OPERATION	geerbte objektlose Handlung	danach; zur Ausführung; abschließen	Danach: halte; zur Ausführung; abschließen.	Danach im laufenden Gang halte; als Ausführung; schließe den Schritt.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
11	G407-E4293	G407-S681	f89r	PHARMA	STATEMENT_INITIAL	NO	kolches	OL+Y	NONE	Y	ARGUMENT_REFERENCE_INITIALIZER	Argumentbezug ohne ausgesprochene Handlung	weiter; den Posten	Weiter: Bezug auf den Posten.	Weiter Bezug: den Drogenposten.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
12	G515-E0004	G515-S002	f4r	HERBAL	STATEMENT_INTERNAL	NO	ol	OL	SH	NONE	OBJECTLESS_INHERITED_OPERATION	geerbte objektlose Handlung	weiter	Weiter: halte.	Im laufenden Satz halte; führe fort.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
13	G515-E0100	G515-S008	f20v	HERBAL	STATEMENT_INTERNAL	NO	folchol	LOCAL_CHAR_F+OL+OL	SH	NONE	OBJECTLESS_INHERITED_OPERATION	geerbte objektlose Handlung	hier; weiter; weiter	Weiter: halte; hier; nochmals weiterführen.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
14	G515-E0190	G515-S012	f31r	HERBAL	SINGLETON_STATEMENT	YES	qotedy	OT+E+DY	NONE	NONE	STANDALONE_GRADED_CLOSE	selbständiger abgestufter Abschluss	danach; auf Grad I; abschließen	Danach: auf Grad I; abschließen.	Danach: auf Grad I; schließe den Schritt.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
15	G515-E0240	G515-S024	f31r	HERBAL	SINGLETON_STATEMENT	YES	otedy	OT+E+DY	NONE	NONE	STANDALONE_GRADED_CLOSE	selbständiger abgestufter Abschluss	danach; auf Grad I; abschließen	Danach: auf Grad I; abschließen.	Danach: auf Grad I; schließe den Schritt.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
16	G515-E0336	G515-S038	f66r	SOURCE_SECTION_T	STATEMENT_INTERNAL	NO	qotey	OT+E+Y	NONE	Y	ARGUMENT_REFERENCE_INITIALIZER	Argumentbezug ohne ausgesprochene Handlung	danach; auf Grad I; den Posten	Danach: Bezug auf den Posten; auf Grad I.	Danach: Bezug: den laufenden Eintrag; auf Grad I.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
17	G515-E0406	G515-S046	f66r	SOURCE_SECTION_T	STATEMENT_INITIAL	NO	ol	OL	NONE	NONE	PURE_CONTINUATION	reine Fortsetzungssteuerung	weiter	Weiter.	Führe fort.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
18	G515-E0461	G515-S056	f66r	SOURCE_SECTION_T	STATEMENT_INTERNAL	NO	ol	OL	S	NONE	OBJECTLESS_INHERITED_OPERATION	geerbte objektlose Handlung	weiter	Weiter: wähle.	Im laufenden Satz wähle; führe fort.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
19	G515-E0503	G515-S061	f66r	SOURCE_SECTION_T	SINGLETON_STATEMENT	YES	oteedy	OT+EE+DY	NONE	NONE	STANDALONE_GRADED_CLOSE	selbständiger abgestufter Abschluss	danach; auf Grad II; abschließen	Danach: auf Grad II; abschließen.	Danach: auf Grad II; schließe den Schritt.	COMPLETE_BOUNDED_ROLE__NO_MISSING_ROOT_ASSUMED
