action_provenance_ordinal	event_id	statement_id	physical_page	register	surface	recipe	inherited_action_root	inherited_action_value_de	action_source_type	action_source_event_id	source_card_distance	gdt539_pointer_match	resolved_microphrase_de	provenance_status
1	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0031	1	NOT_STORED	Danach: wähle den Posten; auf Grad II.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
2	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0031	2	NOT_STORED	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
3	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0081	1	NOT_STORED	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
4	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0081	2	NOT_STORED	Danach: halte den Posten; auf Grad I; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
5	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0094	1	NOT_STORED	Weiter: halte den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
6	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0094	5	NOT_STORED	Weiter: halte den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
7	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0113	1	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
8	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0113	2	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
9	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0118	1	NOT_STORED	Weiter: halte die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
10	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0132	1	NOT_STORED	Halte den Posten; hier; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
