ordered_pair	working_reading_de	new_event_count	new_surface_count	new_surfaces	new_pages	new_direct_adjacency_event_count	old_order_event_count	old_order_surface_count	old_direct_adjacency_event_count	gdt421_pair_status	gdt427_negative_control_result	gdt427_typed_transition	gdt427_support_pages	thirty_page_decision	guard
CH>CH	NEHMEN → NEHMEN	4	4	chckhedy|chcpheor|chctho|chefchy	f66r	3	65	39	36	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH>K	NEHMEN → GEBEN	10	10	chckhedy|chekchy|chekeey|chekeody|choekeey|ckhochy|dalcheeeky|kcheeky|shckhar|shckheody	f4r|f66r	7	176	89	166	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH>P	NEHMEN → EINSETZEN	8	8	chap|chcpheor|chepakeo|chepos|chpady|cphaiin|cpholdy|tocpheey	f31r|f4r|f66r	5	47	41	39	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH>S	NEHMEN → WÄHLEN	3	3	lpchees|yches|ypches	f31r|f66r	0	38	25	9	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH>T	NEHMEN → EINSTELLEN	7	7	aiicthy|chctho|cheta|cthdy|cthom|qocthedy|sheocthy	f31r|f4r|f66r	6	140	81	128	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CHD>R	BEARBEITEN → MARKIEREN	2	2	chedaiir|fchedyr	f66r	0	0	0	0	PAIR_ABSENT	FALSE_AMBER_ALLOWED	C3_SH_CHD>C5_R	f89r	NEW_ORDER__PREVIOUSLY_AMBER_ALLOWED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K>CH	GEBEN → NEHMEN	7	7	chekchy|ckhochy|kcheeky|kcheody|kchody|kechody|kodalchy	f4r|f66r	4	27	23	21	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K>S	GEBEN → WÄHLEN	1	1	dairykodas	f66r	0	4	4	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K>SH	GEBEN → HALTEN	2	2	ykesho|ykshedy	f66r	1	17	16	12	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OK>CH	SETZEN → NEHMEN	1	1	qokchey	f66r	1	29	22	26	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OK>CHD	SETZEN → BEARBEITEN	1	1	okalchedy	f66r	0	19	10	16	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OK>R	SETZEN → MARKIEREN	2	2	qokaiir|shokaiir	f66r	0	2	1	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OK>S	SETZEN → WÄHLEN	3	2	okedals|qokees	f31r|f66r	0	12	9	1	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OK>SH	SETZEN → HALTEN	1	1	qokshd	f66r	1	11	8	11	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
P>CH	EINSETZEN → NEHMEN	4	4	lpchees|pchof|pofochey|ypches	f20v|f66r	3	26	26	23	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
P>CHD	EINSETZEN → BEARBEITEN	1	1	cholpchd	f66r	1	33	15	30	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
P>K	EINSETZEN → GEBEN	1	1	chepakeo	f31r	0	2	2	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
P>S	EINSETZEN → WÄHLEN	1	1	chepos	f31r	0	4	4	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
P>SH	EINSETZEN → HALTEN	1	1	psheody	f66r	1	17	15	13	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
R>S	MARKIEREN → WÄHLEN	1	1	rals	f66r	0	2	2	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
S>S	WÄHLEN → WÄHLEN	1	1	saiis	f31r	0	6	6	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>CH	HALTEN → NEHMEN	4	4	fshodchy|shckhar|shckheody|sheocthy	f20v|f66r	2	54	26	28	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>K	HALTEN → GEBEN	6	6	shekair|shekaly|shekeefy|shekeey|shekey|shekol	f31r|f66r	0	22	16	4	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>OK	HALTEN → SETZEN	2	2	shokaiir|tshokeody	f31r|f66r	2	9	8	6	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>R	HALTEN → MARKIEREN	1	1	dsholdaiir	f66r	0	1	1	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>S	HALTEN → WÄHLEN	1	1	shso	f31r	1	11	9	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	NEW_DIRECT_ADJACENCY__OLD_ORDER_ATTESTED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>SH	HALTEN → HALTEN	2	2	shedshey|shyshol	f31r|f4r	0	3	3	0	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH>T	HALTEN → EINSTELLEN	2	2	shtchy|shytchy	f4r	1	12	9	1	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
T>CH	EINSTELLEN → NEHMEN	5	5	dytcheey|shtchy|shytchy|tcheo|tocpheey	f4r|f66r	4	21	16	18	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
T>CHD	EINSTELLEN → BEARBEITEN	1	1	tolchedy	f66r	0	11	7	9	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
T>SH	EINSTELLEN → HALTEN	4	4	ltsholy|tolshy|tosheo|tshokeody	f20v|f31r|f66r	2	8	8	7	PAIR_ATTESTED	NOT_A_GDT427_ABSENT_CONTROL	NONE	NONE	OLD_ORDER_REUSED	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
