surface	occurrence_count	physical_pages	gdt515_recipe	gdt516_context_recipe	recipe_atom_count	support_tier	old_exact_recipe_event_count	old_exact_recipe_surface_count	old_exact_recipe_pages	old_exact_recipe_surfaces	longest_old_complete_recipe_fragment_atoms	longest_old_complete_recipe_fragments	max_disjoint_old_recipe_coverage_atoms	max_disjoint_old_recipe_coverage_fraction	max_disjoint_old_recipe_tiles	portable_skeleton	portable_skeleton_family_size	action_skeleton	action_skeleton_family_size	cross_selected_page_recurrence	context_policy	context_basis	new_portable_atom_count	guard
chekeey	1	f66r	CH+K+EE+Y	CH+K+EE+Y	4	FULL_OLD_RECIPE_CARRIER	6	2	f55v|f75r|f77r|f81v|f82r|f83r	cheeky|chkeey	4	CH+K+EE+Y	4	1.000000	CH+K+EE+Y	CH+K+Y	2	CH+K	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalol	1	f66r	AL+OL	AL+OL	2	FULL_OLD_RECIPE_CARRIER	1	1	f76r	alol	2	AL+OL	2	1.000000	AL+OL	AL+OL	1	NONE	20	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
doiiin	1	f20v	D_ADDR+O+IIN	D_ADDR+O+IIN	3	FULL_OLD_RECIPE_CARRIER	2	1	f13r|f67r2	doiin	3	D_ADDR+O+IIN	3	1.000000	D_ADDR+O+IIN	NONE	6	NONE	20	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okoy	1	f20v	OK+O+Y	OK+O+Y	3	FULL_OLD_RECIPE_CARRIER	1	1	f72r	okochey	3	OK+O+Y	3	1.000000	OK+O+Y	OK+Y	1	OK	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qocthedy	1	f66r	CARRIER_Q+O+CH+T+E+Y	CARRIER_Q+O+CH+T+E+Y	6	FULL_OLD_RECIPE_CARRIER	1	1	f81v	qocthey	6	CARRIER_Q+O+CH+T+E+Y	6	1.000000	CARRIER_Q+O+CH+T+E+Y	CH+T+Y	3	CH+T	5	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokaiir	1	f66r	OK+IIN+R	OK+IIN+R	3	FULL_OLD_RECIPE_CARRIER	2	1	f1r|f72r	okaiir	3	OK+IIN+R	3	1.000000	OK+IIN+R	OK+R	1	OK+R	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokchey	1	f66r	OK+CH+E+Y	OK+CH+E+Y	4	FULL_OLD_RECIPE_CARRIER	1	1	f56r	chokchey	4	OK+CH+E+Y	4	1.000000	OK+CH+E+Y	OK+CH+Y	1	OK+CH	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokee	1	f31r	OK+EE	OK+EE	2	FULL_OLD_RECIPE_CARRIER	1	1	f72r	okee	2	OK+EE	2	1.000000	OK+EE	OK	2	OK	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokees	2	f31r|f66r	OK+EE+S	OK+EE+S	3	FULL_OLD_RECIPE_CARRIER	4	2	f72r|f76r	chokees|okees	3	OK+EE+S	3	1.000000	OK+EE+S	OK+S	1	OK+S	2	YES	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
shee	1	f31r	SH+EE	SH+EE	2	FULL_OLD_RECIPE_CARRIER	1	1	f77r	chee	2	SH+EE	2	1.000000	SH+EE	SH	4	SH	16	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
