portable_skeleton	portable_reading_de	surface_count	event_count	physical_pages	surfaces	recipes	old_exact_carrier_member_count	interpretive_use	guard
CH	NEHMEN	4	4	f20v|f31r|f66r	chady|cheeo|cheod|choiin	CH+A_ADDR+DY|CH+E+O+D_ADDR|CH+EE+O|CH+O+IIN	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH	HALTEN	4	4	f20v|f31r|f66r	shd|shddy|shee|sheod	SH+D_ADDR|SH+D_ADDR+DY|SH+E+O+D_ADDR|SH+EE	1	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH+T+Y	NEHMEN → EINSTELLEN → POSTEN	3	3	f31r|f66r	aiicthy|cthdy|qocthedy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y|CARRIER_Q+O+CH+T+E+Y|CH+T+D_ADDR+Y	1	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K+AR	GEBEN → AUSGANG	3	3	f66r	akar|dkar|kardy	A_ADDR+K+AR|D_ADDR+K+AR|K+AR+DY	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K+CH+Y	GEBEN → NEHMEN → POSTEN	3	3	f66r	kcheody|kchody|kechody	K+CH+E+O+Y|K+CH+O+D_ADDR+Y|K+E+CH+O+D_ADDR+Y	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH+K+Y	HALTEN → GEBEN → POSTEN	3	3	f31r|f66r	shekeefy|shekeey|shekey	SH+E+K+E+Y|SH+E+K+EE+LOCAL_CHAR_F+Y|SH+E+K+EE+Y	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
AL+K+Y	ZIELORT → GEBEN → POSTEN	2	2	f66r	alkey|dalky	AL+K+E+Y|AL+K+Y	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
AR	AUSGANG	2	2	f66r	dard|ofaram	D_ADDR+AR+D_ADDR|O+LOCAL_CHAR_F+AR+AM_ADDR	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH+K+CH+Y	NEHMEN → GEBEN → NEHMEN → POSTEN	2	2	f4r|f66r	chekchy|ckhochy	CH+K+CH+Y|CH+K+O+CH+Y	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH+K+Y	NEHMEN → GEBEN → POSTEN	2	2	f66r	chekeey|choekeey	CH+K+EE+Y|CH+O+E+K+EE+Y	1	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
