surface	occurrence_count	physical_pages	gdt515_recipe	gdt516_context_recipe	recipe_atom_count	support_tier	old_exact_recipe_event_count	old_exact_recipe_surface_count	old_exact_recipe_pages	old_exact_recipe_surfaces	longest_old_complete_recipe_fragment_atoms	longest_old_complete_recipe_fragments	max_disjoint_old_recipe_coverage_atoms	max_disjoint_old_recipe_coverage_fraction	max_disjoint_old_recipe_tiles	portable_skeleton	portable_skeleton_family_size	action_skeleton	action_skeleton_family_size	cross_selected_page_recurrence	context_policy	context_basis	new_portable_atom_count	guard
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	6	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+T+Y	3	0.500000	CH+T+Y	CH+T+Y	3	CH+T	5	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
akar	1	f66r	A_ADDR+K+AR	A_ADDR+K+AR	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	K+AR	2	0.666667	K+AR	K+AR	3	K	16	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
alkey	1	f66r	AL+K+E+Y	AL+K+E+Y	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	K+E+Y	3	0.750000	K+E+Y	AL+K+Y	2	K	16	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
axor	1	f66r	A_ADDR+LOCAL_NAME_CORE_X+OR	A_ADDR+LOCAL_X+OR	3	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	OR	1	NONE	20	NO	F66R_LOCAL_X_UNIFICATION	one page-local X tag now covers standalone and embedded x	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
c	1	f66r	LOCAL_SIGN_C	LOCAL_SIGN_C	1	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	NONE	6	NONE	20	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chady	1	f66r	CH+A_ADDR+DY	CH+A_ADDR+DY	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+A_ADDR	2	0.666667	CH+A_ADDR	CH	4	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chap	1	f66r	CH+A_ADDR+P	CH+A_ADDR+P	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+A_ADDR	2	0.666667	CH+A_ADDR	CH+P	2	CH+P	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chckhedy	1	f66r	CH+CH+K+E+DY	CH+CH+K+E+DY	5	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	K+E+DY	3	0.600000	K+E+DY	CH+CH+K	1	CH+CH+K	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chcpheor	1	f66r	CH+CH+P+E+OR	CH+CH+P+E+OR	5	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CH+CH+P+OR	1	CH+CH+P	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chctho	1	f66r	CH+CH+T+O	CH+CH+T+O	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+CH+T|CH+T+O	3	0.750000	CH+T+O	CH+CH+T	1	CH+CH+T	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheda	1	f31r	CHD+A_ADDR	CHD+A_ADDR	2	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CHD	1	CHD	2	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chedaiir	1	f66r	CHD+IIN+R	CHD+IIN+R	3	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CHD+R	1	CHD+R	2	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheeo	1	f66r	CH+EE+O	CH+EE+O	3	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CH	4	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chefchy	1	f66r	CH+E+LOCAL_CHAR_F+CH+Y	CH+E+LOCAL_CHAR_F+CH+Y	5	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+E	2	0.400000	CH+E	CH+CH+Y	1	CH+CH	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekchy	1	f66r	CH+K+CH+Y	CH+K+CH+Y	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+K	2	0.500000	CH+K	CH+K+CH+Y	2	CH+K+CH	2	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekeey	1	f66r	CH+K+EE+Y	CH+K+EE+Y	4	FULL_OLD_RECIPE_CARRIER	6	2	f55v|f75r|f77r|f81v|f82r|f83r	cheeky|chkeey	4	CH+K+EE+Y	4	1.000000	CH+K+EE+Y	CH+K+Y	2	CH+K	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekeody	1	f66r	CH+K+E+O+DY	CH+K+E+O+DY	5	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+K|E+O|O+DY	4	0.800000	CH+K|O+DY	CH+K	1	CH+K	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheod	1	f31r	CH+E+O+D_ADDR	CH+E+O+D_ADDR	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+E+O	3	0.750000	CH+E+O	CH	4	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O	7	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+E+P	5	0.714286	CH+E+P|E+O	CH+P+K	1	CH+P+K	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chepos	1	f31r	CH+E+P+O+S	CH+E+P+O+S	5	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+E+P	3	0.600000	CH+E+P	CH+P+S	1	CH+P+S	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheta	1	f66r	CH+E+T+A_ADDR	CH+E+T+A_ADDR	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+E	2	0.500000	CH+E	CH+T	2	CH+T	5	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choekeey	1	f66r	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y	6	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	K+EE+Y	3	0.500000	K+EE+Y	CH+K+Y	2	CH+K	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choiin	1	f20v	CH+O+IIN	CH+O+IIN	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	O+IIN	2	0.666667	O+IIN	CH	4	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cholpchd	1	f66r	OL+P+CHD	OL+P+CHD	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	OL+P	2	0.666667	OL+P	OL+P+CHD	1	P+CHD	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choraiin	1	f4r	CH+OR+AIIN	CH+OR+AIIN	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+OR|OR+AIIN	2	0.666667	OR+AIIN	CH+OR+AIIN	1	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choraly	1	f20v	CH+OR+AL+Y	CH+OR+AL+Y	4	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	0	0	NONE	NONE	3	OR+AL+Y	4	1.000000	AL+Y|CH+OR	CH+OR+AL+Y	1	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chory	1	f20v	CH+OR+Y	CH+OR+Y	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	CH+OR|OR+Y	2	0.666667	OR+Y	CH+OR+Y	1	CH	13	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chpady	1	f4r	CH+P+A_ADDR+DY	CH+P+A_ADDR+DY	4	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CH+P	2	CH+P	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chxar	1	f66r	CH+LOCAL_NAME_CORE_X+AR	CH+LOCAL_X+AR	3	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CH+AR	1	CH	13	NO	F66R_LOCAL_X_UNIFICATION	one page-local X tag now covers standalone and embedded x	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ckhochy	1	f4r	CH+K+O+CH+Y	CH+K+O+CH+Y	5	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+K+O	3	0.600000	CH+K+O	CH+K+CH+Y	2	CH+K+CH	2	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cphaiin	1	f4r	CH+P+AIIN	CH+P+AIIN	3	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	CH+P+AIIN	1	CH+P	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cpholdy	1	f4r	CH+P+OL+DY	CH+P+OL+DY	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+P+OL	3	0.750000	CH+P+OL	CH+P+OL	1	CH+P	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cthdy	1	f66r	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y	4	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	0	0	NONE	NONE	2	CH+T|D_ADDR+Y	4	1.000000	CH+T|D_ADDR+Y	CH+T+Y	3	CH+T	5	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cthom	1	f4r	CH+T+O+M_LOCAL	CH+T+O+M_LOCAL	4	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	CH+T+O	3	0.750000	CH+T+O	CH+T	2	CH+T	5	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
da	1	f31r	DA	DA	1	ATOMS_AND_FACTORS_ONLY	0	0	NONE	NONE	0	NONE	0	0.000000	NONE	NONE	6	NONE	20	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dairal	1	f66r	D_ADDR+AIR+AL	D_ADDR+AIR+AL	3	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	D_ADDR+AIR	2	0.666667	D_ADDR+AIR	AIR+AL	1	NONE	20	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dairody	1	f66r	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+DY	4	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	0	0	NONE	NONE	2	D_ADDR+AIR|O+DY	4	1.000000	D_ADDR+AIR|O+DY	AIR	1	NONE	20	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	8	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	3	K+O+D_ADDR	7	0.875000	A_ADDR+S|D_ADDR+AIR|K+O+D_ADDR	AIR+Y+K+S	1	K+S	1	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalalshedy	1	f66r	AL+AL+SH+E+DY	AL+AL+SH+E+DY	5	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	0	0	NONE	NONE	4	AL+SH+E+DY	5	1.000000	AL+AL|SH+E+DY	AL+AL+SH	1	SH	16	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	AL+CH+EEE+K+Y	5	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	0	0	NONE	NONE	2	K+Y	2	0.400000	K+Y	AL+CH+K+Y	1	CH+K	4	NO	UNCHANGED_THIRTY_PAGE_REPLAY	no contextual collision	0	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
