dy_surface	y_surface	dy_event_count	y_event_count	dy_pages	y_pages	dy_recipes	y_recipes	recipe_relation	interpretive_rule	guard
aldy	aly	2	5	f55v|f67r2	f66r|f71v|f72r|f75r	AL+D_ADDR+Y	AL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chaldy	chaly	1	2	f89r	f76r|f88v	CH+AL+Y	CH+AL+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chckhdy	chckhy	2	25	f55v|f83r	f13r|f18r|f55v|f66r|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r|f95v	CH+CH+K+D_ADDR+Y	CH+K+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chckhedy	chckhey	1	3	f66r	f76r|f77r|f82r	CH+CH+K+E+DY	CH+CH+K+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chcphdy	chcphy	1	3	f76r	f20v|f24v|f76r	CH+CH+P+Y	CH+CH+P+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chcphedy	chcphey	1	2	f76r	f77r|f81r	CH+CH+P+E+DY	CH+CH+P+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chcthdy	chcthy	1	14	f83r	f10r|f18r|f20v|f24v|f75r|f76r|f77r|f81r|f81v|f95v	CH+CH+T+D_ADDR+Y	CH+CH+T+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chcthedy	chcthey	2	1	f66r|f75r	f82r	CH+CH+T+E+DY	CH+CH+T+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chdy	chy	19	28	f1r|f56r|f66r|f75r|f76r|f77r|f81v|f82r|f83r|f95v	f10r|f11r|f17r|f1r|f20v|f31r|f4r|f56r|f66r|f72r|f75r|f76r|f77r|f81v|f88r|f89r|f95v	CHD+Y	Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chealdy	chealy	1	1	f72r	f77r	AL+Y	AL+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chedy	chey	97	61	f31r|f55v|f66r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	f18r|f1r|f20v|f31r|f55v|f56r|f66r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	CHD+Y	Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheedy	cheey	13	26	f66r|f72r|f76r|f77r|f81r|f81v|f82r|f88v|f89r	f31r|f68r1|f71v|f72r|f75r|f77r|f81r|f81v|f82r|f83r|f88r|f89r	CH+EE+D_ADDR+Y	SH+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekeedy	chekeey	1	1	f75r	f66r	CH+K+EE+DY	CH+K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chekody	chekoy	1	1	f67r2	f72r	CH+K+O+D_ADDR+Y	CH+K+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cheody	cheoy	13	2	f55v|f66r|f88r|f88v|f89r	f20v|f88v	CH+E+O+Y	CH+E+O+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
