surface	old_local_event_count	old_local_pages	old_local_source_recipe	new_event_count	new_pages	new_source_roles	new_source_recipe	decision	old_context_recipe	new_context_recipe	old_policy	new_policy	portable_meaning_change	basis	guard
chekey	1	f70v	CHK+E+Y	2	f31r|f66r	ORDERED_INSTRUCTION_CARD	CH+K+E+Y	COMMON_VISIBLE_RECIPE_PROMOTION	CH+K+E+Y	CH+K+E+Y	COMMON_VISIBLE_RECIPE_PROMOTION	COMMON_VISIBLE_RECIPE_PROMOTION	NO	two new prose pages plus old cheky carrier dissolve the old CHK label macro	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
daiir	2	f70v	DA+IIN+R	2	f31r|f66r	ORDERED_INSTRUCTION_CARD	DA+IIN+R	EXACT_RECIPE_AGREEMENT	DA+IIN+R	DA+IIN+R	EXACT_OLD_LOCAL_NEW_CONTEXT_AGREEMENT	EXACT_OLD_LOCAL_NEW_CONTEXT_AGREEMENT	NO	old local and selected-page recipes already agree exactly	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
doly	1	f89r	LOCAL_ADDRESS	1	f66r	MARGINAL_LABEL_CARD	D_ADDR+OL+Y	LEARNED_LABEL_SHELL_REPLAY	LOCAL_NAME_CORE_D+OL+Y	LOCAL_NAME_CORE_D+OL+Y	LEARNED_LABEL_SHELL_REPLAY	LEARNED_LABEL_SHELL_REPLAY	NO	GDT473 reads learned d plus the portable OL+Y label suffix	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
odair	1	f69v	O+D_ADDR+AIR	1	f66r	COORDINATE_OR_CATALOGUE_CARD	O+D_ADDR+AIR	EXACT_RECIPE_AGREEMENT	O+D_ADDR+AIR	O+D_ADDR+AIR	EXACT_OLD_LOCAL_NEW_CONTEXT_AGREEMENT	EXACT_OLD_LOCAL_NEW_CONTEXT_AGREEMENT	NO	old local and selected-page recipes already agree exactly	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okyd	1	f72r	LOCAL_ADDRESS	1	f66r	ORDERED_INSTRUCTION_CARD	OK+Y+D_ADDR	ROLE_CONDITIONED_HOMOGRAPH	OK+LOCAL_NAME_CORE_YD	OK+Y+D_ADDR	ROLE_CONDITIONED_LABEL_RECIPE	ROLE_CONDITIONED_PROSE_RECIPE	NO	GDT473 celestial label: portable OK plus learned yd / f66r prose retains visible Y plus local D address sign	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
saiir	1	f69v	S+AIIN+R	1	f66r	ORDERED_INSTRUCTION_CARD	S+IIN+R	COMMON_VISIBLE_RECIPE_PROMOTION	S+IIN+R	S+IIN+R	COMMON_VISIBLE_RECIPE_PROMOTION	COMMON_VISIBLE_RECIPE_PROMOTION	NO	daiir/okaiir/saiis family favours IIN over the old label-only AIIN split	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
sos	1	f70v	S_ADDR+O+S_ADDR	1	f20v	ORDERED_INSTRUCTION_CARD	S+O+S	ROLE_CONDITIONED_HOMOGRAPH	S_ADDR+O+S_ADDR	S+O+S	ROLE_CONDITIONED_LABEL_RECIPE	ROLE_CONDITIONED_PROSE_RECIPE	NO	old celestial label keeps two address signs / herbal prose keeps the two portable S heads	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ykady	1	f69v	Y+K+A_ADDR+Y	1	f66r	ORDERED_INSTRUCTION_CARD	Y+K+A_ADDR+DY	ROLE_CONDITIONED_HOMOGRAPH	Y+K+A_ADDR+Y	Y+K+A_ADDR+DY	ROLE_CONDITIONED_LABEL_RECIPE	ROLE_CONDITIONED_PROSE_RECIPE	NO	old celestial label keeps terminal Y / f66r prose keeps terminal close DY	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ykeeody	1	f69v	Y+K+EE+O+Y	2	f66r	ORDERED_INSTRUCTION_CARD	Y+K+EE+O+DY	ROLE_CONDITIONED_HOMOGRAPH	Y+K+EE+O+Y	Y+K+EE+O+DY	ROLE_CONDITIONED_LABEL_RECIPE	ROLE_CONDITIONED_PROSE_RECIPE	NO	old celestial label keeps terminal Y / two f66r prose events keep terminal close DY	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ykees	1	f67r2	Y+K+EE+S	1	f66r	LATE_ADDITION_CARD	Y+K+EE+S	EXACT_RECIPE_AGREEMENT	Y+K+EE+S	Y+K+EE+S	EXACT_OLD_LOCAL_NEW_CONTEXT_AGREEMENT	EXACT_OLD_LOCAL_NEW_CONTEXT_AGREEMENT	NO	old local and selected-page recipes already agree exactly	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
