operation_core	events	event_ids	exact_cards	surfaces	records	realization_type
SCHÄLEN	1	E002	1	cthoor	H1	LEARNED_WHOLE_OPERATION
BEARBEITEN	1	E004	1	chty	H1	LEARNED_WHOLE_OPERATION
WASSER_ZUFÜHREN	1	E006	1	chair	H1	LEARNED_WHOLE_OPERATION
NEHMEN	3	E011|E091|E095	1	chokchy|okchy|qokchy	H1|H5	PRODUCTIVE_OR_WRAPPED
VERWENDEN	4	E008|E081|E085|E097	2	choky|oky|sotodan	H1|H5	PRODUCTIVE_OR_WRAPPED
ANWÄRMEN_WÄRMEN	3	E012|E066|E070	3	cheeky|oltchy|qotchol	H1|H4	LEARNED_WHOLE_OPERATION
ZERSTOSSEN_ZERREIBEN	2	E018|E089	2	cthaiin|kchey	H2|H5	LEARNED_WHOLE_OPERATION
ABPRESSEN	1	E019	1	qoctholy	H2	LEARNED_WHOLE_OPERATION
AUSWRINGEN	1	E041	1	cfhy	H3	LEARNED_WHOLE_OPERATION
NACHSEIHEN_ABSEIHEN	2	E043|E093	2	cphy|kchal	H3|H5	LEARNED_WHOLE_OPERATION
ABKÜHLEN	2	E045|E060	2	ody|tchody	H3|H4	LEARNED_WHOLE_OPERATION
RESERVE_SETZEN_NEHMEN	2	E046|E052	2	qotchy|shoyty	H3	LEARNED_WHOLE_OPERATION
UMSETZEN	1	E062	1	chedy	H4	LEARNED_WHOLE_OPERATION
LAGERN	1	E063	1	talam	H4	LEARNED_WHOLE_OPERATION
AUSZUG_ENTNEHMEN	2	E065|E096	2	cheoar|kchoar	H4|H5	LEARNED_WHOLE_OPERATION
AUFLEGEN	1	E079	1	kchol	H5	LEARNED_WHOLE_OPERATION
WASCHEN	1	E084	1	choy	H5	LEARNED_WHOLE_OPERATION
AUFTRAGEN	1	E086	1	cheeckhody	H5	LEARNED_WHOLE_OPERATION
AUSZUG_ZUGEBEN	1	E092	1	chokcheo	H5	LEARNED_WHOLE_OPERATION
