statement_id	register	record_unit_id	page	events	event_ids	owner_codes	owner_reset	source_required	source_status	source_value_de	quantity_required	quantity_status	quantity_value_de	path_required	path_status	path_value_de	target_required	target_status	target_value_de	completion_class	complete_expansion_de	phase_chain	form_signature	form_class_id	form_status	apprentice_rule_de
H1-S001	HERBAL	H1	f10r	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	YES	YES	EXPLICIT	aus dem laufenden Pflanzenansatz	YES	EXPLICIT	Sollmaß	YES	EXPLICIT	Flüssigkeit aus dem Lauf entnehmen	YES	WHOLE_CARD	Arbeitsfach/Empfänger	IMAGE_OR_WHOLE_CARD_COMPLETED	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [EXPLICIT]: Flüssigkeit aus dem Lauf entnehmen; Ziel [WHOLE_CARD]: Arbeitsfach/Empfänger. Handlung: Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Flüssigkeit aus dem Lauf entnehmen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen.	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD||EXPLICIT|EXPLICIT|EXPLICIT|WHOLE_CARD	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H1-S002	HERBAL	H1	f10r	4	E011|E012|E013|E014	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	YES	RECORD_INHERITED	abgezogene Flüssigkeitsfraktion	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	RECORD_COMPLETED	Quelle [RECORD_INHERITED]: abgezogene Flüssigkeitsfraktion; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit.	SELECT>COLLECT>PREPARE>CHECK	SELECT>COLLECT>PREPARE>CHECK||RECORD_INHERITED|NOT_REQUIRED|NOT_REQUIRED|NOT_REQUIRED	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H2-S001	HERBAL	H2	f10r	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	YES	YES	OWNER_VISIBLE	Pflanzenmaterial	YES	EXPLICIT	auf Sollmaß bereitstellen | Sollmaß	YES	LOCAL_EXEMPLAR	lokal gelernter Transferweg	YES	LOCAL_EXEMPLAR	örtlich gelernte, nicht sichtbare Zielstelle	LOCAL_EXEMPLAR_REQUIRED	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: auf Sollmaß bereitstellen | Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz.	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE||OWNER_VISIBLE|EXPLICIT|LOCAL_EXEMPLAR|LOCAL_EXEMPLAR	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H2-S002	HERBAL	H2	f10r	8	E024|E025|E026|E027|E028|E029|E030|E031	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	YES	EXPLICIT	aus dem laufenden Pflanzenansatz	YES	EXPLICIT	Sollmaß	YES	LOCAL_EXEMPLAR	lokal gelernter Transferweg	YES	LOCAL_EXEMPLAR	örtlich gelernte, nicht sichtbare Zielstelle	LOCAL_EXEMPLAR_REQUIRED	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß; aus dem laufenden Pflanzenansatz.	COLLECT>PREPARE>SELECT>PREPARE>MEASURE>MOVE	COLLECT>PREPARE>SELECT>PREPARE>MEASURE>MOVE||EXPLICIT|EXPLICIT|LOCAL_EXEMPLAR|LOCAL_EXEMPLAR	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H2-S003	HERBAL	H2	f10r	7	E032|E033|E034|E035|E036|E037|E038	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	YES	RECORD_INHERITED	laufender Pflanzenansatz	YES	EXPLICIT	bis zur Sollstufe zuführen | auf Sollmaß abziehen	YES	LOCAL_EXEMPLAR	lokal gelernter Transferweg	YES	LOCAL_EXEMPLAR	örtlich gelernte, nicht sichtbare Zielstelle	LOCAL_EXEMPLAR_REQUIRED	Quelle [RECORD_INHERITED]: laufender Pflanzenansatz; Menge/Stufe [EXPLICIT]: bis zur Sollstufe zuführen | auf Sollmaß abziehen; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz; bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Sollmaß abziehen.	MOVE>PREPARE>MOVE>MEASURE>MOVE>MEASURE	MOVE>PREPARE>MOVE>MEASURE>MOVE>MEASURE||RECORD_INHERITED|EXPLICIT|LOCAL_EXEMPLAR|LOCAL_EXEMPLAR	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H3-S001	HERBAL	H3	f11r	7	E039|E040|E041|E042|E043|E044|E045	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	YES	YES	OWNER_VISIBLE	Pflanzenmaterial	YES	EXPLICIT	Pflanzenmaterial bis zum Sollmaß halten	YES	LOCAL_EXEMPLAR	lokal gelernter Transferweg	YES	EXPLICIT	bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten	LOCAL_EXEMPLAR_REQUIRED	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Pflanzenmaterial bis zum Sollmaß halten; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten. Handlung: weiter gefüllt halten; bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten; auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen; EMPFANGSBESTAND; füllen und abziehen; Schluss.	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT>CLOSE	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT>CLOSE||OWNER_VISIBLE|EXPLICIT|LOCAL_EXEMPLAR|EXPLICIT	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H3-S002	HERBAL	H3	f11r	1	E046	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	YES	RECORD_INHERITED	entnommene Fraktion des Empfangsbestand	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	RECORD_COMPLETED	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Fraktion des Empfangsbestands halten und füllen.	COLLECT	COLLECT||RECORD_INHERITED|NOT_REQUIRED|NOT_REQUIRED|NOT_REQUIRED	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H3-S003	HERBAL	H3	f11r	5	E047|E048|E049|E050|E051	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	YES	RECORD_INHERITED	entnommene Fraktion des Empfangsbestand	YES	EXPLICIT	Sollmaß	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	RECORD_COMPLETED	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß.	PREPARE>COLLECT>MEASURE	PREPARE>COLLECT>MEASURE||RECORD_INHERITED|EXPLICIT|NOT_REQUIRED|NOT_REQUIRED	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H3-S004	HERBAL	H3	f11r	4	E052|E053|E054|E055	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	YES	RECORD_INHERITED	entnommene Fraktion des Empfangsbestand	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	RECORD_COMPLETED	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten.	SELECT>PREPARE>CHECK>SELECT	SELECT>PREPARE>CHECK>SELECT||RECORD_INHERITED|NOT_REQUIRED|NOT_REQUIRED|NOT_REQUIRED	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
H4-S001	HERBAL	H4	f55v	5	E056|E057|E058|E059|E060	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	YES	YES	OWNER_VISIBLE	Pflanzenmaterial	YES	EXPLICIT	Sollmaß setzen | Sollmaß | eine Stoffportion davon zuführen | eine Stoffportion davon zuführen	NO	NOT_REQUIRED	—	NO	NOT_REQUIRED	—	IMAGE_OR_WHOLE_CARD_COMPLETED	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß setzen | Sollmaß | eine Stoffportion davon zuführen | eine Stoffportion davon zuführen; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen.	MEASURE>PREPARE>CLOSE	MEASURE>PREPARE>CLOSE||OWNER_VISIBLE|EXPLICIT|NOT_REQUIRED|NOT_REQUIRED	LOCAL_FORM	LOCAL_FORM	Aus dem lokalen Artikel-/Stationsmuster kopieren.
