statement_id	register	record_unit_id	page	phase_chain	source_supply	quantity_supply	path_supply	target_supply	reason_local	complete_expansion_de
H1-S001	HERBAL	H1	f10r	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD	EXPLICIT	EXPLICIT	EXPLICIT	WHOLE_CARD	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [EXPLICIT]: Flüssigkeit aus dem Lauf entnehmen; Ziel [WHOLE_CARD]: Arbeitsfach/Empfänger. Handlung: Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Flüssigkeit aus dem Lauf entnehmen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen.
H1-S002	HERBAL	H1	f10r	SELECT>COLLECT>PREPARE>CHECK	RECORD_INHERITED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [RECORD_INHERITED]: abgezogene Flüssigkeitsfraktion; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit.
H2-S001	HERBAL	H2	f10r	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE	OWNER_VISIBLE	EXPLICIT	LOCAL_EXEMPLAR	LOCAL_EXEMPLAR	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: auf Sollmaß bereitstellen | Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz.
H2-S002	HERBAL	H2	f10r	COLLECT>PREPARE>SELECT>PREPARE>MEASURE>MOVE	EXPLICIT	EXPLICIT	LOCAL_EXEMPLAR	LOCAL_EXEMPLAR	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß; aus dem laufenden Pflanzenansatz.
H2-S003	HERBAL	H2	f10r	MOVE>PREPARE>MOVE>MEASURE>MOVE>MEASURE	RECORD_INHERITED	EXPLICIT	LOCAL_EXEMPLAR	LOCAL_EXEMPLAR	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [RECORD_INHERITED]: laufender Pflanzenansatz; Menge/Stufe [EXPLICIT]: bis zur Sollstufe zuführen | auf Sollmaß abziehen; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz; bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Sollmaß abziehen.
H3-S001	HERBAL	H3	f11r	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT>CLOSE	OWNER_VISIBLE	EXPLICIT	LOCAL_EXEMPLAR	EXPLICIT	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Pflanzenmaterial bis zum Sollmaß halten; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten. Handlung: weiter gefüllt halten; bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten; auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen; EMPFANGSBESTAND; füllen und abziehen; Schluss.
H3-S002	HERBAL	H3	f11r	COLLECT	RECORD_INHERITED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Fraktion des Empfangsbestands halten und füllen.
H3-S003	HERBAL	H3	f11r	PREPARE>COLLECT>MEASURE	RECORD_INHERITED	EXPLICIT	NOT_REQUIRED	NOT_REQUIRED	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß.
H3-S004	HERBAL	H3	f11r	SELECT>PREPARE>CHECK>SELECT	RECORD_INHERITED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten.
H4-S001	HERBAL	H4	f55v	MEASURE>PREPARE>CLOSE	OWNER_VISIBLE	EXPLICIT	NOT_REQUIRED	NOT_REQUIRED	phase-chain plus slot-supply signature occurs once on the fixed pages	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß setzen | Sollmaß | eine Stoffportion davon zuführen | eine Stoffportion davon zuführen; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen.
