record_id	page	title_de	statement_count	group_count	statement_ids	image_owner_chain	balanced_continuous_reading_de	retained_creative_bets	withdrawn_overdetail	lean_clause_baseline_de	technical_rival_de
H1	f10r	Wurzel und erster Auszug	2	14	H1-S001|H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Nimm von der abgebildeten Pflanze die Wurzel und richte daraus einen Ansatz. Trenne einen Teil ab, gib ihn ins Arbeitsgefäß und lasse Wasser zulaufen. Führe den nächsten Teil weiter und stelle ihn auf das vorgeschriebene Maß. Nimm später erneut vom ersten Auszug, erwärme ihn gelinde und halte ihn zum Gebrauch bereit.	Wurzel; Wasser als nasse AIR-Ausdeutung; Gebrauchszubereitung	Quellwasser; Glas; innerlicher Gebrauch; Stechen im Leib	An der abgebildeten Pflanze: Vorgabe Wurzel als aktueller Posten: Halte den Ansatz bereit; dazu aus dem Ansatz / Trenne einen Teil ab; dazu Mischgefäß / Vorgabe Wasserzulauf: Führe den nächsten Teil fort / Setze den aktuellen Posten; dazu Sollmaß; kleiner Restteil An der abgebildeten Pflanze: Setze den aktuellen Posten / Danach führe fort / Führe fort / Halte den Posten bereit	Wurzelmaterial säubern, mazerieren, Prüfportion buchen und Rest lagern; kein Heilanlass nötig.
H2	f10r	Zwei Pflanzenfraktionen	3	24	H2-S001|H2-S002|H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Nimm eine erste Fraktion der abgebildeten Pflanze, zerkleinere sie und presse sie durch Tuch. Fange den Auszug auf, gib einen Zusatz im vorgeschriebenen Maß hinzu und erwärme gelinde. Nimm eine zweite Fraktion, führe den ersten Ansatz weiter und vereinige beide im gleichen Maß. Rühre sie zu einer weichen Bereitung, verwahre sie bedeckt und gebrauche sie an der bezeichneten Stelle.	zwei Fraktionen; Tuchpressung; weiche äußere Bereitung	genaue Blühzeit; Olivenöl; glasiertes Gefäß; Geschwür oder Schwellung	An der abgebildeten Pflanze: Vorgabe Auszugsansatz: Halte den Posten bereit; dazu Ansatz / Stelle den Bereitwert ein / Führe den bereiten Posten fort; dazu dieser Posten; dieser Posten; Sollmaß; dieser Posten An der abgebildeten Pflanze: Vorgabe Folgeansatz; Ansatz: Danach führe fort / Führe fort / Führe den Ansatz weiter / Führe fort; dazu Sollmaß; aus dem Ansatz An der abgebildeten Pflanze: Bearbeite den aktuellen Ansatz; dazu Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Zwei zeitlich getrennte Pflanzenfraktionen werden verglichen, vereinigt und als Materialprobe konserviert.
H3	f11r	Auswringen, Stehenlassen und Nachseihen	4	17	H3-S001|H3-S002|H3-S003|H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Nimm ausgewähltes Material der abgebildeten Pflanze und bringe es mit einem Auszugsmedium zur Arbeitsstelle. Wringe es aus, lasse den Auszug bis zum Sollstand stehen und seihe ihn nochmals. Nimm den sichtbaren klaren Anteil und stelle ihn beiseite. Behalte eine zweite Pflanzenportion zurück; gebrauche vom ersten Auszug ein kleines Maß und bereite die zweite Portion erwärmt für eine äußere Stelle.	zweistufige Filtration; klarer Auszug; getrennte zweite Pflanzenportion	Frühjahr; Wein; Olivenöl; Gemüt/Brust; Lider/Auge	An der abgebildeten Pflanze: Entnimm den Eingangsposten; dazu Zutat an die Arbeitsstelle geben / Wringe den aktuellen Posten aus / Halte bis zum Vorgabewert / Seihe den aktuellen Posten nach; dazu klarer Auszug; Eingangsposten beiseitestellen; Schluss An der abgebildeten Pflanze: Nimm einen Teil des Eingangspostens An der abgebildeten Pflanze: Vorgabe vorigen Posten fortsetzen; dieser Posten: Bearbeite den aktuellen Posten; dazu dieser Posten; Sollmaß An der abgebildeten Pflanze: Vorgabe anschließender Arbeitsposten: Setze die Fortsetzung / Halte den Posten bereit; dazu dieser Posten	Blüten- und Blattfraktionen extrahieren, klären und als zwei Referenzproben lagern; Trank und Augenanwendung entfallen.
H4	f55v	Blattansatz und warme zweite Bereitung	4	18	H4-S001|H4-S002|H4-S003|H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Zerkleinere Material der abgebildeten breitblättrigen Pflanze, gib ein Auszugsmedium hinzu und lasse den Ansatz verschlossen stehen. Miss eine Portion ab, wringe sie durch Tuch, lasse sie klar werden und verwahre den Auszug. Wasche damit die bezeichnete äußere Stelle. Führe zurückbehaltenes Pflanzenmaterial mit einem Zusatz als zweite, gelinde erwärmte Bereitung weiter und lege sie an die Stelle.	breitblättriges Material; Auszug; Tuch; äußere Waschung und warme Bereitung	Weißwein; Leinwand; unreine Wunde; Honig	An der abgebildeten Pflanze: Stelle auf den Vorgabewert ein; dazu Sollmaß; Postenportion / Vorgabe dieser Anteil: Nimm zurück An der abgebildeten Pflanze: Vorgabe Sollmaß: Übertrage den aktuellen Posten / Verwahre am Ziel An der abgebildeten Pflanze: Vorgabe Postenmaß; Auszug entnehmen: Wärme länger / Führe fort und schließe An der abgebildeten Pflanze: Vorgabe Sollmaß: Setze am Ziel / Führe den bereiten Posten fort; dazu Ansatz; dieser Posten; Ansatzportion	Blätter in zwei Konservierungs- und Prüfchargen teilen: filtrierter Auszug und warmer Materialumschlag ohne Heilangabe.
H5	f56r	Kurze Auflage und getrennte Auszugsportion	6	27	H5-S001|H5-S002|H5-S003|H5-S004|H5-S005|H5-S006	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Nimm Material der abgebildeten Pflanze und setze eine kleine Portion kurz an der bezeichneten äußeren Stelle ein. Nimm sie wieder ab, wasche die Stelle und wiederhole den Gang nur, wenn er passend bleibt. Trockne das übrige Pflanzenmaterial, bereite daraus einen milden Auszug, seihe ihn, gib einen Zusatz hinzu und gebrauche ein kleines Maß als getrennte zweite Zubereitung.	kurze äußere Auflage; Nachwäsche; zweite milde Auszugsportion	Feuchtstandort; Warze/Hühnerauge; Schatten; Wein; Honig; Husten	An der abgebildeten Pflanze: Vorgabe Zutatenansatz; Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat: Bearbeite weiter / Vorgabe Folgeansatz: Setze den aktuellen Posten; dazu dorthin An der abgebildeten Pflanze: Vorgabe vorigen Posten fortsetzen; diese Zutat: Setze den aktuellen Posten / Führe den Eingangsposten länger und schließe An der abgebildeten Pflanze: Halte den aktuellen Posten; dazu Zutat / Bearbeite kurz / Setze den aktuellen Posten erneut An der abgebildeten Pflanze: Setze den aktuellen Posten / Setze den Auszug / Bearbeite am Ziel An der abgebildeten Pflanze: Vorgabe Zutat: Setze den aktuellen Posten; dazu Auszug daraus / Wende danach an An der abgebildeten Pflanze: Vorgabe nächster Teilposten: Führe kurz fort; dazu Sollmaß	Eine klebrige Feuchtstandortpflanze liefert eine kurze Materialprobe und einen gesonderten Wein-Honig-Auszug; Krankheit und Wirkung bleiben austauschbar.
B1	f81v	Gemeinsames Beckenprogramm	21	66	B1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S008|B1-S009|B1-S010|B1-S011|B1-S012|B1-S013|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S019|B1-S020|B1-S021	B1_SHARED_TWO_ROW_POOL	Richte am gemeinsamen zweireihigen Figurenbecken eine bemessene Waschcharge ein. Führe sie durch die örtlichen Läufe, gib Portion und Zusatz zum Ziel, halte länger, übertrage und schließe. Setze nacheinander kurze Wasch-, Wärme-, Ruhe-, Durchlauf- und Abführgänge. Sammle den nutzbaren Anteil, reinige Becken und Leitung und führe die Restflüssigkeit über den unteren Ablauf ab.	Figurenbad; bemessene Waschcharge; lokale Läufe und unterer Ablauf	bestimmte Krankheit; globaler geschlossener Wasserkreislauf	Am sichtbaren Becken: Setze kurz und schließe Am sichtbaren Becken: Stelle auf den Vorgabewert ein; dazu Beckenwasser / Setze am Ziel; dazu aus dem Ansatz / Führe fort; dazu eine Portion / Nimm einen weiteren Anteil; dazu dorthin / Führe fort / Führe fort; dazu Zusatz / Führe den Ansatz weiter / Führe fort / Leite kurz zum Ziel durch; dazu Sollmaß / Halte länger am Ziel; dazu Sollmaß / Leite den aktuellen Posten durch / Übertrage und schließe Am sichtbaren Becken: Führe fort / Halte, bearbeite, übertrage und schließe Am sichtbaren Becken: Übertrage den aktuellen Posten / Führe fort / Lass kurz absetzen und schließe Am sichtbaren Becken: Übertrage weiter und schließe Am sichtbaren Becken: Gib einen gezählten Anteil zu / Leite den aktuellen Posten durch; dazu Zusatz; zur Zielstelle Am sichtbaren Becken: Setze an, übertrage und schließe Am sichtbaren Becken: Vorgabe dieser Posten: Führe fort / Wärme kurz / Führe fort / Lass kurz absetzen und schließe Am sichtbaren Becken: Setze kurz und schließe Am sichtbaren Becken: Setze kurz und schließe Am sichtbaren Becken: Leite den aktuellen Posten durch / Setze den aktuellen Posten Am sichtbaren Becken: Führe den Waschgang aus / Setze die kurze Stufe / Wasche und schließe Am sichtbaren Becken: Wasche und schließe Am sichtbaren Becken: Übertrage den aktuellen Posten / Führe auf dem Arbeitsweg fort / Führe zum Ziel ab / Führe fort; dazu danach von dort Am sichtbaren Becken: Vorgabe kurzen Teil des aktuellen Postens nehmen: Setze an, übertrage und schließe Am sichtbaren Becken: Setze am Ziel / Setze die lange Stufe / Führe fort / Lass kurz absetzen und schließe Am sichtbaren Becken: Vorgabe dorthin: Führe kurz fort / Übertrage und schließe Am sichtbaren Becken: Führe den aktuellen Posten ab / Halte kurz und führe fort; dazu Sollstufe / Sammle länger und schließe Am sichtbaren Becken: Lass kurz absetzen und schließe Am sichtbaren Becken: Wärme kurz / Seihe und schließe Am sichtbaren Becken: Führe zum Ziel	Badehausbetrieb: Waschflotte ansetzen, temperieren, durch lokale Läufe führen, Becken reinigen und ablassen; keine Therapie nötig.
B2	f82r	Obere Paarbecken, Mittelknoten und unteres Feld	22	62	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S006|B2-S007|B2-S008|B2-S009|B2-S010|B2-S011|B2-S012|B2-S013|B2-S014|B2-S015|B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	B2_UPPER_PAIRED_BASINS_AND_CYLINDER -> B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE -> B2_MIDDLE_RIGHT_AMBIGUOUS_STATION -> B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL -> B2_LOWER_GREEN_MULTI_FIGURE_POOL -> B2_LOWER_POOL_EDGE_STATIONS	Beginne an den oberen Paarbecken mit Spülen, Bemessen, Temperieren, Durchleiten und Abführen. Wechsle am sichtbaren Mittelknoten zu einer neuen örtlichen Mischung, lasse sie stehen, halte sie warm und prüfe den sichtbaren Zustand. Beim Wechsel ins untere Mehrfigurenfeld beginne eine neue Charge: führe ab, gleiche kurze und längere Gänge aus, wasche, setze einen Tuch- oder Einsatzgang und schließe am unteren Beckenrand.	lokale Bade-/Waschstationen; Tuchgang; neue Charge nach Besitzerwechsel	ein einziger Apparat; feste Flussrichtung; bestimmte Körperbehandlung	Am sichtbaren Becken: Übertrage und schließe Am sichtbaren Becken: Übertrage weiter und schließe Am sichtbaren Becken: Gib einen gezählten Anteil zu; dazu dieser Posten / Setze länger und schließe Am sichtbaren Becken: Setze am Ziel / Führe den Posten durch den Ausgang / Führe ab / Setze die lange Stufe / Seihe ab und schließe Am sichtbaren Becken: Setze den aktuellen Posten am Ziel / Sammle bis zum Vorgabewert / Leite den aktuellen Posten durch / Stelle auf den Vorgabewert ein / Stelle auf den Vorgabewert ein / Führe den bereiten Posten fort / Wärme länger / Führe ab und schließe Am sichtbaren Becken: Vorgabe langer Folgeposten: Setze am Ziel / Leite kurz durch / Setze den aktuellen Posten Am sichtbaren Gerät oder Knoten: Lass kurz absetzen und schließe Am sichtbaren Gerät oder Knoten: Vorgabe Folgemaß: Setze vom Ausgang aus an / Lass kurz absetzen und schließe Am sichtbaren Gerät oder Knoten: Lass weiter absetzen und schließe Am sichtbaren Gerät oder Knoten: Setze die lange Stufe / Setze den aktuellen Posten / Nutze den Auslass; dazu klarer Auszug An der sichtbaren lokalen Station: Gib einen gezählten Anteil zu; dazu aus dem Ansatz / Gib einen gezählten Anteil zu / Setze länger und schließe Über den sichtbaren Besitzerwechsel hinweg: Ziehe den aktuellen Posten ab; dazu klarer Auszug / Halte kurz bereit / Setze die lange Stufe / Führe den freigegebenen Wert ab; dazu Sollmaß / Vorgabe dieser Posten: Setze vollständig und schließe Am sichtbaren Becken: Führe ab und schließe Am sichtbaren Becken: Führe vom Ausgang ab Am sichtbaren Becken: Vorgabe Klarlauf zugeben: Setze länger und schließe Am sichtbaren Becken: Vorgabe dorthin: Führe vom Ausgang ab / Trenne; dazu Sollmaß / Vorgabe langer Folgeposten: Stelle auf den Vorgabewert ein / Setze die kurze Stufe / Führe ein und schließe Am sichtbaren Becken: Halte kurz am Ziel; dazu Nebenoeffnung; Schluss Am sichtbaren Becken: Setze länger und schließe Am sichtbaren Becken: Wasche und schließe Am sichtbaren Becken: Führe die lange Folge aus und schließe Am sichtbaren Becken: Setze länger und schließe Am sichtbaren Becken: Führe den Rest ab und schließe	Mehrstationiger Badehaus-/Wasserwerkszettel mit Reinigung, Temperierung und Abfluss; die Figuren markieren Arbeitsplätze statt Patienten.
B3	f83r	Randstationen und Hauptpaar	34	86	B3-S001|B3-S002|B3-S003|B3-S004|B3-S005|B3-S006|B3-S007|B3-S008|B3-S009|B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026|B3-S027|B3-S028|B3-S029|B3-S030|B3-S031|B3-S032|B3-S033|B3-S034	B3_UPPER_MARGIN_OPEN_FAN_STATION -> B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION -> B3_LOWER_MARGIN_BASKET_VESSEL_STATION -> B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED -> B3_MARGIN_TO_MAIN_GAP_UNRESOLVED -> B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR -> B3_MAIN_ARCH_LINKED_PAIR	Arbeite nacheinander an der oberen Fächerstation, dem runden Gefäß, dem korbartigen Empfänger und den unklaren Zwischenposten. Bemesse, übertrage, wärme, lasse stehen, sammle, wasche und führe ab; beginne bei jedem sichtbaren Besitzerwechsel den Gegenstandsbezug neu. Am verbundenen Hauptpaar führe einen längeren Einsatzgang aus, leite den nächsten Anteil weiter, gleiche die Portionen ab und beende den Posten am unteren Ziel.	mehrere getrennte Stationsvignetten; lokaler Einsatzgang am sichtbaren Hauptpaar	globaler Kreislauf; sichere Richtung in den Zwischenposten; bestimmte Therapie	An der sichtbaren lokalen Station: Sammle länger und schließe An der sichtbaren lokalen Station: Vorgabe danach dorthin: Wärme länger und schließe An der sichtbaren lokalen Station: Vorgabe dieser Posten; Sollmaß; dieser Posten: Führe ab und schließe An der sichtbaren lokalen Station: Stelle auf den Vorgabewert ein; dazu danach dorthin; aus dem Ansatz An der sichtbaren lokalen Station: Übertrage und schließe An der sichtbaren lokalen Station: Übertrage den aktuellen Posten / Setze am Ziel / Übertrage weiter und schließe An der sichtbaren lokalen Station: Stelle auf den Vorgabewert ein / Übertrage den aktuellen Posten / Setze länger und schließe An der sichtbaren lokalen Station: Führe ab und schließe An der sichtbaren lokalen Station: Setze den aktuellen Posten An der sichtbaren lokalen Station: Führe zum Ziel ein; dazu kurze Folge; Schluss An der sichtbaren lokalen Station: Übertrage den bereiten Posten / Setze den aktuellen Posten / Übertrage den aktuellen Posten; dazu aus diesem Posten An der sichtbaren lokalen Station: Vorgabe Ansatz: Lass kurz absetzen und schließe An der sichtbaren lokalen Station: Stelle auf den Vorgabewert ein; dazu eine Portion / Halte kurz bereit / Setze kurz und schließe An der sichtbaren lokalen Station: Öffne den Wasserlauf / Lass länger absetzen und schließe An der sichtbaren lokalen Station: Führe ab und schließe Über den sichtbaren Besitzerwechsel hinweg: Führe ab / Setze an, übertrage und schließe Im unklaren Zwischenbereich: Setze länger und schließe Im unklaren Zwischenbereich: Lass kurz absetzen und schließe Im unklaren Zwischenbereich: Beginne den Absetzgang und schließe Im unklaren Zwischenbereich: Vorgabe dorthin: Führe ab und schließe Im unklaren Zwischenbereich: Stelle auf den Vorgabewert ein / Halte den Posten bereit; dazu dorthin; dieser Posten / Vorgabe Sollmaß: Lass am Ziel absetzen / Halte kurz bereit; dazu dieser Posten / Vorgabe dorthin: Halte den Posten bereit / Übertrage zum Ziel und schließe Im unklaren Zwischenbereich: Übertrage den Folgeposten und schließe Im unklaren Zwischenbereich: Führe ab und schließe Im unklaren Zwischenbereich: Übertrage und schließe Im unklaren Zwischenbereich: Setze an, übertrage und schließe Über den sichtbaren Besitzerwechsel hinweg: Übertrage vom Ausgang / Stelle den Absetzwert ein / Übertrage den aktuellen Posten / Gib einen gezählten Anteil zu / Halte den Posten bereit; dazu Ansatz von dort zur Zielstelle / Sammle länger und schließe Bei der sichtbaren Figurengruppe: Führe die lange Folge aus und schließe Bei der sichtbaren Figurengruppe: Setze die lange Stufe / Setze kurz und schließe Bei der sichtbaren Figurengruppe: Führe fort; dazu ganzen Teilposten / Setze kurz und schließe Bei der sichtbaren Figurengruppe: Setze den aktuellen Posten; dazu Sollmaß / Vorgabe Wasser weiterleiten: Übertrage den Folgeposten und schließe Bei der sichtbaren Figurengruppe: Setze länger und schließe Bei der sichtbaren Figurengruppe: Übertrage einen Anteil / Übertrage den aktuellen Posten; dazu kurzes Folgemass; Folgemaß; kurze Folge; Schluss Bei der sichtbaren Figurengruppe: Führe ab und schließe Bei der sichtbaren Figurengruppe: Vorgabe Sollstufe: Halte den Posten bereit / Trenne einen Teil ab / Vorgabe Folgemaß; untere Zielstelle: Lass kurz absetzen und schließe	Stationsbuch für mehrere Gefäß- und Waschposten; kein einziger gerichteter Kreislauf verbindet alle Teilbilder.
B4	f83r	Einsatz, Tuch und Unterläufe	16	47	B4-S001|B4-S002|B4-S003|B4-S004|B4-S005|B4-S006|B4-S007|B4-S008|B4-S009|B4-S010|B4-S011|B4-S012|B4-S013|B4-S014|B4-S015|B4-S016	B4_MAIN_ARCH_LINKED_PAIR -> B4_MAIN_LEFT_OPEN_FRINGE_STATION -> B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION -> B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Am sichtbaren Hauptpaar setze den aktuellen Einsatz länger an, führe ihn weiter, befestige ihn und schließe. Übertrage dann eine bemessene Portion durch Tuch, halte sie warm und führe sie ab. Wechsle zur linken Unterlaufstation für einen kurzen Wärme-, Misch- und Waschgang. Nach dem sichtbaren Wechsel zum rechten S-Lauf leite den klaren Anteil zum Ziel, sammle kurz und führe den Rest ab.	Tuch- oder Einsetzanwendung; Wärme; zwei getrennte Unterlaufstationen	sichere Wund-/Hautbehandlung; ein durchgängiger Anlagenfluss	Bei der sichtbaren Figurengruppe: Setze länger und schließe Bei der sichtbaren Figurengruppe: Führe den aktuellen Posten fort / Setze die lange Stufe / Setze kurz und schließe Bei der sichtbaren Figurengruppe: Übertrage den aktuellen Posten / Vorgabe danach dorthin; nächster Teilposten: Setze die lange Stufe / Setze den aktuellen Posten / Führe fort / Lass kurz absetzen und schließe Bei der sichtbaren Figurengruppe: Befestige den aktuellen Posten und schließe Bei der sichtbaren Figurengruppe: Vorgabe Tuch: Übertrage den aktuellen Posten / Setze länger und schließe Bei der sichtbaren Figurengruppe: Seihe und schließe Bei der sichtbaren Figurengruppe: Seihe und schließe Bei der sichtbaren Figurengruppe: Vorgabe Sollmaß: Wärme länger / Halte länger / Setze kurz und schließe Bei der sichtbaren Figurengruppe: Lass kurz absetzen und schließe Bei der sichtbaren Figurengruppe: Führe fort und schließe An der sichtbaren lokalen Station: Vorgabe Sollmaß: Wärme kurz / Führe länger fort / Gib einen gezählten Anteil zu / Übertrage den aktuellen Posten / Führe fort / Führe kurz ab und schließe An der sichtbaren lokalen Station: Führe ab und schließe An der sichtbaren lokalen Station: Setze die Fortsetzung / Lass kurz absetzen und schließe An der sichtbaren lokalen Station: Vorgabe Ansatz; dieser Posten: Setze den kurzen Durchlauf; dazu Wasserlauf schliessen; Schluss Über den sichtbaren Besitzerwechsel hinweg: Gib einen gezählten Anteil zu; dazu klarer Auszug / Vorgabe eine Portion: Leite zum Ziel durch / Sammle kurz / Führe ab und schließe An der sichtbaren lokalen Station: Nimm einen weiteren Anteil; dazu dorthin / Gieße vom Ausgang aus / Lass kurz absetzen und schließe	Wäsche-/Filtereinsatz mit anschließendem Spül- und Unterlaufbetrieb; die Körperlesung kann entfallen.
B5	f83r	Linker Fransen-Endposten	3	11	B5-S001|B5-S002|B5-S003	B5_LEFT_OPEN_FRINGE_STATION	Nimm am linken Fransen-Endposten den nächsten Arbeitsanteil auf, setze ihn an und übertrage ihn. Lasse ihn an der örtlichen Zielstelle stehen, führe den vorherigen Gang fort, bemesse die nächste Öffnungsstufe und übertrage den aktuellen Posten zum Ziel.	lokaler Endposten; Folgeanteil; Ziel und Öffnungsstufe	bestimmte Flüssigkeit oder Körperstelle	An der sichtbaren lokalen Station: Übertrage den Folgeposten und schließe An der sichtbaren lokalen Station: Setze an, übertrage und schließe An der sichtbaren lokalen Station: Lass am Ziel absetzen; dazu dorthin / Führe fort / Führe die Abführung fort / Übertrage zum Ziel; dazu Sollmaß / Führe fort; dazu Öffnungsstufe / Übertrage den aktuellen Posten	Kurzer Nebenposten eines Wasser- oder Waschbetriebs.
