unit_order	unit_id	page	register	group_count	finite_source_program	medical_controlled_vocabulary_de	nonmedical_controlled_vocabulary_de	free_nouns_outside_lexicon	surface_or_card_change
1	H1	f10r	HERBAL_ARTICLE	14	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	Bildpflanze; Wurzelteil; Wasser; Gefäß; Auszug; örtliche Portion; Trank; Rückstand	Bildpflanze; Wurzelmaterial; Wasser; Gefäß; Auszug; örtliche Portion; Farb-, Duft- oder Werkprodukt; Rückstand	NONE	NONE
2	H2	f10r	HERBAL_ARTICLE	24	PLANT>SHOOT>LEAF>CLOTH>EXTRACT>PORTION>OIL_BINDER>VESSEL>OUTER_APPLICATION	Bildpflanze; junger Spross; Blatt; Tuch; Auszug; örtliche Portion; Öl; Gefäß; äußere Auflage	Bildpflanze; junger Spross; Blatt; Tuch; Auszug; örtliche Portion; Bindemittel; Gefäß; Auftrag am Werkstück	NONE	NONE
3	H3	f11r	HERBAL_ARTICLE	17	PLANT>FLOWER>LEAF>EXTRACTION_MEDIUM>CLOTH>EXTRACT>DRINK_OR_PRODUCT>OIL_BINDER>OUTER_APPLICATION	Bildpflanze; Blüte; Blatt; Wein oder Auszugsmedium; Tuch; Auszug; Trank; Öl; äußere Auflage	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Farb-, Duft- oder Werkprodukt; Bindemittel; Auftrag am Werkstück	NONE	NONE
4	H4	f55v	HERBAL_ARTICLE	18	PLANT>LEAF>EXTRACTION_MEDIUM>VESSEL>CLOTH>EXTRACT>HONEY_BINDER>OUTER_APPLICATION	Bildpflanze; Blatt; Wein oder Auszugsmedium; Gefäß; Tuch; Auszug; Honig; äußere Auflage	Bildpflanze; Blatt; Auszugsmedium; Gefäß; Tuch; Auszug; Binder; Auftrag am Werkstück	NONE	NONE
5	H5	f56r	HERBAL_ARTICLE	27	PLANT>HERB>WATER>EXTRACTION_MEDIUM>CLOTH>EXTRACT>HONEY_BINDER>DRINK_OR_PRODUCT>OUTER_APPLICATION	Bildpflanze; Kraut; Wasser; Wein oder Auszugsmedium; Tuch; Auszug; Honig; Trank; äußere Auflage	Bildpflanze; Pflanzenrohstoff; Wasser; Auszugsmedium; Tuch; Auszug; Binder; Farb-, Duft- oder Werkprodukt; Auftrag am Werkstück	NONE	NONE
6	B1	f81v	BIO_STATION_RECORD	66	FIGURE_WORKPIECE>BASIN>STATION>WASH_LIQUID>ADDITIVE>TEMPERATURE>DURATION>BODY_WORK_AREA>OUTLET>FILTER	Badende; Becken; örtliche Badstation; Bade- oder Waschflüssigkeit; Badezusatz; Badwärme; Anwendungsdauer; Körperstelle; Ablauf; Seihgang	Arbeitsplatz oder Werkstück; Becken; örtliche Arbeitsstation; Wasch- oder Färbeflüssigkeit; Arbeitszusatz; Arbeitstemperatur; Arbeitsdauer; Arbeitsstelle; Ablauf; Filtergang	NONE	NONE
7	B2	f82r	BIO_STATION_RECORD	62	FIGURE_WORKPIECE>BASIN>STATION>OPENING>INLET>OUTLET>RUN>WASH_LIQUID>ADDITIVE>TEMPERATURE>DURATION>BODY_WORK_AREA>IMMERSION>FILTER	Badende; Becken; örtliche Badstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Bade- oder Waschflüssigkeit; Badezusatz; Badwärme; Anwendungsdauer; Körperstelle; Teilbad; Seihgang	Arbeitsplatz oder Werkstück; Becken; örtliche Arbeitsstation; Öffnung; Einlass; Ablauf; Arbeitslauf; Wasch- oder Färbeflüssigkeit; Arbeitszusatz; Arbeitstemperatur; Arbeitsdauer; Arbeitsstelle; Tauchgang; Filtergang	NONE	NONE
8	B3	f83r	BIO_STATION_RECORD	86	FIGURE_WORKPIECE>BASIN>STATION>OPENING>OUTLET>RUN>RECEIVER>WASH_LIQUID>TEMPERATURE>DURATION>BODY_WORK_AREA>FILTER	Badende; Becken; örtliche Badstation; Öffnung; Ablauf; Flüssigkeitslauf; Auffanggefäß; Bade- oder Waschflüssigkeit; Badwärme; Anwendungsdauer; Körperstelle; Seihgang	Arbeitsplatz oder Werkstück; Becken; örtliche Arbeitsstation; Öffnung; Ablauf; Arbeitslauf; Auffanggefäß; Wasch- oder Färbeflüssigkeit; Arbeitstemperatur; Arbeitsdauer; Arbeitsstelle; Filtergang	NONE	NONE
9	B4	f83r	BIO_STATION_RECORD	47	FIGURE_WORKPIECE>BASIN>STATION>OPENING>INLET>OUTLET>RUN>WASH_LIQUID>BIO_CLOTH>TEMPERATURE>DURATION>BODY_WORK_AREA>FILTER	Badende; Becken; örtliche Badstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Bade- oder Waschflüssigkeit; Anwendungstuch; Badwärme; Anwendungsdauer; Körperstelle; Seihgang	Arbeitsplatz oder Werkstück; Becken; örtliche Arbeitsstation; Öffnung; Einlass; Ablauf; Arbeitslauf; Wasch- oder Färbeflüssigkeit; Filter- oder Waschtuch; Arbeitstemperatur; Arbeitsdauer; Arbeitsstelle; Filtergang	NONE	NONE
10	B5	f83r	BIO_STATION_RECORD	11	STATION>OPENING>OUTLET>RUN>WASH_LIQUID>TEMPERATURE>DURATION>BODY_WORK_AREA	örtliche Badstation; Öffnung; Ablauf; Flüssigkeitslauf; Bade- oder Waschflüssigkeit; Badwärme; Anwendungsdauer; Körperstelle	örtliche Arbeitsstation; Öffnung; Ablauf; Arbeitslauf; Wasch- oder Färbeflüssigkeit; Arbeitstemperatur; Arbeitsdauer; Arbeitsstelle	NONE	NONE
11	B6	f83r	BIO_STATION_RECORD	9	STATION>OPENING>INLET>RUN>WASH_LIQUID>BIO_CLOTH>BODY_WORK_AREA>FILTER	örtliche Badstation; Öffnung; Einlass; Flüssigkeitslauf; Bade- oder Waschflüssigkeit; Anwendungstuch; Körperstelle; Seihgang	örtliche Arbeitsstation; Öffnung; Einlass; Arbeitslauf; Wasch- oder Färbeflüssigkeit; Filter- oder Waschtuch; Arbeitsstelle; Filtergang	NONE	NONE
