source_word_id	source_slot	register	medical_or_iatromedical_expansion_de	nonmedical_expansion_de	supply_layer	visible_card_word
S01	OWNER	SHARED	Besitzer	Besitzer	visible image or local record	NO__SOURCE_LEXICON_ONLY
S02	ITEM	SHARED	Arbeitsposten	Arbeitsposten	active register	NO__SOURCE_LEXICON_ONLY
S03	PREVIOUS	SHARED	voriger Ansatz	voriger Ansatz	previous register	NO__SOURCE_LEXICON_ONLY
S04	TARGET	SHARED	bezeichnete Stelle	bezeichnete Stelle	visible owner or target register	NO__SOURCE_LEXICON_ONLY
S05	PORTION	SHARED	örtliche Portion	örtliche Portion	measure/portion card	NO__SOURCE_LEXICON_ONLY
S06	RESULT	SHARED	sichtbares Ergebnis	sichtbares Ergebnis	result/readout card plus owner	NO__SOURCE_LEXICON_ONLY
H01	PLANT	HERBAL	Bildpflanze	Bildpflanze	whole plant image	NO__SOURCE_LEXICON_ONLY
H02	ROOT	HERBAL	Wurzelteil	Wurzelmaterial	plant owner plus master	NO__SOURCE_LEXICON_ONLY
H03	SHOOT	HERBAL	junger Spross	junger Spross	plant owner plus master	NO__SOURCE_LEXICON_ONLY
H04	LEAF	HERBAL	Blatt	Blatt	plant owner plus master	NO__SOURCE_LEXICON_ONLY
H05	FLOWER	HERBAL	Blüte	Blüte	plant owner plus master	NO__SOURCE_LEXICON_ONLY
H06	HERB	HERBAL	Kraut	Pflanzenrohstoff	plant owner plus master	NO__SOURCE_LEXICON_ONLY
H07	WATER	HERBAL	Wasser	Wasser	master source	NO__SOURCE_LEXICON_ONLY
H08	EXTRACTION_MEDIUM	HERBAL	Wein oder Auszugsmedium	Auszugsmedium	master source	NO__SOURCE_LEXICON_ONLY
H09	OIL_BINDER	HERBAL	Öl	Bindemittel	master source	NO__SOURCE_LEXICON_ONLY
H10	HONEY_BINDER	HERBAL	Honig	Binder	master source	NO__SOURCE_LEXICON_ONLY
H11	VESSEL	HERBAL	Gefäß	Gefäß	learned card or master	NO__SOURCE_LEXICON_ONLY
H12	CLOTH	HERBAL	Tuch	Tuch	learned card or master	NO__SOURCE_LEXICON_ONLY
H13	EXTRACT	HERBAL	Auszug	Auszug	extract card plus master	NO__SOURCE_LEXICON_ONLY
H14	RESIDUE	HERBAL	Rückstand	Rückstand	master source	NO__SOURCE_LEXICON_ONLY
H15	DRINK_OR_PRODUCT	HERBAL	Trank	Farb-, Duft- oder Werkprodukt	master source choice	NO__SOURCE_LEXICON_ONLY
H16	OUTER_APPLICATION	HERBAL	äußere Auflage	Auftrag am Werkstück	master source choice	NO__SOURCE_LEXICON_ONLY
B01	FIGURE_WORKPIECE	BIO	Badende	Arbeitsplatz oder Werkstück	visible figure plus master choice	NO__SOURCE_LEXICON_ONLY
B02	BASIN	BIO	Becken	Becken	visible owner	NO__SOURCE_LEXICON_ONLY
B03	STATION	BIO	örtliche Badstation	örtliche Arbeitsstation	visible owner plus master choice	NO__SOURCE_LEXICON_ONLY
B04	OPENING	BIO	Öffnung	Öffnung	visible/local master	NO__SOURCE_LEXICON_ONLY
B05	INLET	BIO	Einlass	Einlass	visible/local master	NO__SOURCE_LEXICON_ONLY
