statement_id	page	record	statement_events	process_events	state_events	process_state_skeleton	relevant_surfaces	relevant_reading_de	full_surface	full_card_reading_de
H1-S001	f10r	H1	10	1	1	BEREIT>SET	cthoor oky	BEREIT · ARBEITSGANG · ANSATZ -> ANSETZEN · ARBEITSPOSTEN	dchey cthoor char chty os chair otytchol oky daiin etyd	ABNEHMEN · KURZ · ARBEITSPOSTEN / BEREIT · ARBEITSGANG · ANSATZ / VORRAT / EINTRAGEN · ARBEITSPOSTEN / ARBEITSFACH / ABNEHMEN · FLUESSIGKEITSLAUF / DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN / ANSETZEN · ARBEITSPOSTEN / SOLLMASS / KURZ · EINTRAGEN · ARBEITSPOSTEN
H1-S002	f10r	H1	4	1	1	SET>BEREIT	qokchy cthy	ANSETZEN · ARBEITSPOSTEN -> BEREIT · ARBEITSPOSTEN	qokchy qotchol chol cthy	ANSETZEN · ARBEITSPOSTEN / DANACH · ABNEHMEN · FORTSETZEN / FORTSETZEN / BEREIT · ARBEITSPOSTEN
H3-S004	f11r	H3	4	1	1	SET>BEREIT	okchol cthy	ANSETZEN · FORTSETZEN -> BEREIT · ARBEITSPOSTEN	qotchy okchol cthy dy	DANACH · ARBEITSPOSTEN / ANSETZEN · FORTSETZEN / BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN
B1-S004	f81v	B1	3	1	1	TRANSFER>ABSETZEN	chedy shedy	UMSETZEN · ARBEITSPOSTEN -> ABSETZEN; SCHLUSS	chedy ol shedy	UMSETZEN · ARBEITSPOSTEN / FORTSETZEN / ABSETZEN; SCHLUSS
B1-S016	f81v	B1	4	2	1	SET>SET>ABSETZEN	qokal okeey cheedy	ANSETZEN · ZIELSTELLE -> ANSETZEN · LANG · ARBEITSPOSTEN -> ABSETZEN; SCHLUSS	qokal okeey qol cheedy	ANSETZEN · ZIELSTELLE / ANSETZEN · LANG · ARBEITSPOSTEN / FORTSETZEN / ABSETZEN; SCHLUSS
B2-S005	f82r	B2	8	3	2	SET>SET>SET>BEREIT>WAERMEN	qokaly qokaiin qokaiin octheol chkeey	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN -> ANSETZEN · SOLLMASS -> ANSETZEN · SOLLMASS -> ARBEITSGANG · BEREIT · KURZ · FORTSETZEN -> WAERMEN · LANG · ARBEITSPOSTEN	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN / AUFFANGEN · SOLLMASS / DURCHLASSKANAL · ARBEITSPOSTEN / ANSETZEN · SOLLMASS / ANSETZEN · SOLLMASS / ARBEITSGANG · BEREIT · KURZ · FORTSETZEN / WAERMEN · LANG · ARBEITSPOSTEN / WEITERLEITEN; SCHLUSS
B2-S008	f82r	B2	3	1	1	SET>ABSETZEN	qokar shedy	ANSETZEN · VORRAT -> ABSETZEN; SCHLUSS	sotaiin qokar shedy	DANACH · SOLLMASS / ANSETZEN · VORRAT / ABSETZEN; SCHLUSS
B2-S012	f82r	B2	8	2	1	BEREIT>SET>SET	qcthey qokeey qokeeedy	BEREIT · KURZ · ARBEITSPOSTEN -> ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · VOLL; SCHLUSS	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN / HALTEN · LANG · ARBEITSPOSTEN / BEREIT · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · ARBEITSPOSTEN / WEITERLEITEN · LANG · ARBEITSPOSTEN / SOLLMASS / ARBEITSPOSTEN / ANSETZEN · VOLL; SCHLUSS
B3-S011	f83r	B3	4	3	1	TRANSFER+BEREIT>SET>TRANSFER	shecthedchy qoky chedy	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · ARBEITSPOSTEN -> UMSETZEN · ARBEITSPOSTEN	shecthedchy qoky chedy chary	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN / ANSETZEN · ARBEITSPOSTEN / UMSETZEN · ARBEITSPOSTEN / VORRAT · ARBEITSPOSTEN
B3-S013	f83r	B3	4	2	1	SET>BEREIT>SET	qokaiin shcthey qokedy	ANSETZEN · SOLLMASS -> BEREIT · KURZ · ARBEITSPOSTEN -> ANSETZEN · KURZ; SCHLUSS	qokaiin chkain shcthey qokedy	ANSETZEN · SOLLMASS / ZUDOSIEREN · PORTION / BEREIT · KURZ · ARBEITSPOSTEN / ANSETZEN · KURZ; SCHLUSS
B3-S021	f83r	B3	11	2	4	SET>BEREIT>ABSETZEN>BEREIT>BEREIT>TRANSFER	qokaiin shcthy shedal shecthy shcthy dalchdy	ANSETZEN · SOLLMASS -> BEREIT · ARBEITSPOSTEN -> ABSETZEN · ZIELSTELLE -> HALTEN · KURZ · BEREIT · ARBEITSPOSTEN -> BEREIT · ARBEITSPOSTEN -> ZIELSTELLE · UMSETZEN; SCHLUSS	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	ANSETZEN · SOLLMASS / BEREIT · ARBEITSPOSTEN / ZIELSTELLE / ARBEITSPOSTEN / SOLLMASS / ABSETZEN · ZIELSTELLE / HALTEN · KURZ · BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN / ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · UMSETZEN; SCHLUSS
B3-S026	f83r	B3	7	2	1	TRANSFER>SET>BEREIT	chedy qokain checthy	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · PORTION -> BEREIT · ARBEITSPOSTEN	cheedar chldaiin chedy qokain checthy chealror solkeedy	LANG · VORRAT / WEITERLEITEN · SOLLMASS / UMSETZEN · ARBEITSPOSTEN / ANSETZEN · PORTION / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · KUEHLEN · ANSATZ / AUFFANGEN · LANG; SCHLUSS
B4-S003	f83r	B4	7	3	1	TRANSFER>SET>SET>ABSETZEN	chedy qokeey qoky shedy	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · ARBEITSPOSTEN -> ABSETZEN; SCHLUSS	chedy otal otchey qokeey qoky tol shedy	UMSETZEN · ARBEITSPOSTEN / DANACH · ZIELSTELLE / DANACH · ARBEITSPOSTEN / ANSETZEN · LANG · ARBEITSPOSTEN / ANSETZEN · ARBEITSPOSTEN / FORTSETZEN / ABSETZEN; SCHLUSS
B4-S008	f83r	B4	4	1	1	WAERMEN>SET	cheeky qokedy	WAERMEN · LANG · ARBEITSPOSTEN -> ANSETZEN · KURZ; SCHLUSS	saiin cheeky sheey qokedy	SOLLMASS / WAERMEN · LANG · ARBEITSPOSTEN / HALTEN · LANG · ARBEITSPOSTEN / ANSETZEN · KURZ; SCHLUSS
B4-S011	f83r	B4	7	3	1	WAERMEN>SET>SET>TRANSFER	cheky okeeol okain chdy	WAERMEN · KURZ · ARBEITSPOSTEN -> ANSETZEN · LANG · FORTSETZEN -> ANSETZEN · PORTION -> UMSETZEN · ARBEITSPOSTEN	saiin cheky okeeol okain chdy sol lkedy	SOLLMASS / WAERMEN · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · FORTSETZEN / ANSETZEN · PORTION / UMSETZEN · ARBEITSPOSTEN / FORTSETZEN / WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS
B4-S013	f83r	B4	2	1	1	SET>ABSETZEN	qokol shedy	ANSETZEN · FORTSETZEN -> ABSETZEN; SCHLUSS	qokol shedy	ANSETZEN · FORTSETZEN / ABSETZEN; SCHLUSS
B5-S003	f83r	B5	9	2	1	ABSETZEN>TRANSFER>TRANSFER	shedal chdal chedy	ABSETZEN · ZIELSTELLE -> UMSETZEN · ZIELSTELLE -> UMSETZEN · ARBEITSPOSTEN	shedal dal cheol lol chdal aiin sol daiiin chedy	ABSETZEN · ZIELSTELLE / ZIELSTELLE / FORTSETZEN / WEITERLEITEN · FORTSETZEN / UMSETZEN · ZIELSTELLE / SOLLMASS / FORTSETZEN / ZWEITMARKER · ARBEITSSTUFE / UMSETZEN · ARBEITSPOSTEN
