statement_id	page	direction	left_event	left_surface	left_reading_de	right_event	right_surface	right_reading_de
H3-S004	f11r	PROCESS_TO_STATE	E053	okchol	ANSETZEN · FORTSETZEN	E054	cthy	BEREIT · ARBEITSPOSTEN
B2-S005	f82r	PROCESS_TO_STATE	E181	qokaiin	ANSETZEN · SOLLMASS	E182	octheol	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN
B2-S008	f82r	PROCESS_TO_STATE	E191	qokar	ANSETZEN · VORRAT	E192	shedy	ABSETZEN; SCHLUSS
B2-S012	f82r	STATE_TO_PROCESS	E204	qcthey	BEREIT · KURZ · ARBEITSPOSTEN	E205	qokeey	ANSETZEN · LANG · ARBEITSPOSTEN
B3-S011	f83r	STATE_TO_PROCESS	E250	shecthedchy	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	E251	qoky	ANSETZEN · ARBEITSPOSTEN
B3-S013	f83r	STATE_TO_PROCESS	E258	shcthey	BEREIT · KURZ · ARBEITSPOSTEN	E259	qokedy	ANSETZEN · KURZ; SCHLUSS
B3-S021	f83r	PROCESS_TO_STATE	E270	qokaiin	ANSETZEN · SOLLMASS	E271	shcthy	BEREIT · ARBEITSPOSTEN
B3-S021	f83r	STATE_TO_PROCESS	E279	shcthy	BEREIT · ARBEITSPOSTEN	E280	dalchdy	ZIELSTELLE · UMSETZEN; SCHLUSS
B3-S026	f83r	PROCESS_TO_STATE	E288	qokain	ANSETZEN · PORTION	E289	checthy	BEREIT · ARBEITSPOSTEN
B4-S011	f83r	STATE_TO_PROCESS	E339	cheky	WAERMEN · KURZ · ARBEITSPOSTEN	E340	okeeol	ANSETZEN · LANG · FORTSETZEN
B4-S013	f83r	PROCESS_TO_STATE	E346	qokol	ANSETZEN · FORTSETZEN	E347	shedy	ABSETZEN; SCHLUSS
