card_no	surfaces	component_recipe	state_roots	root_values_de	composed_reading_de	events	pages	contains_close	statement_final_events
PROC002	cthoor	CTH+O+OR	CTH	BEREIT	BEREIT · ARBEITSGANG · ANSATZ	1	f10r	NO	0
PROC014	checthy|cthy|shcthy	CTH+Y	CTH	BEREIT	BEREIT · ARBEITSPOSTEN	7	f10r|f11r|f83r	NO	1
PROC017	cthaiin	CTH+AIIN	CTH	BEREIT	BEREIT · SOLLMASS	1	f10r	NO	0
PROC018	qoctholy	O+CTH+OL+Y	CTH	BEREIT	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	1	f10r	NO	0
PROC046	cheeky	CHK+EE+Y	CHK	WAERMEN	WAERMEN · LANG · ARBEITSPOSTEN	2	f55v|f83r	NO	0
PROC078	cheedy|shedy|tedy	SHED+DY	SHED	ABSETZEN	ABSETZEN; SCHLUSS	12	f81v|f82r|f83r	YES	12
PROC083	cheky	CHK+E+Y	CHK	WAERMEN	WAERMEN · KURZ · ARBEITSPOSTEN	3	f81v|f83r	NO	0
PROC106	octheol	O+CTH+E+OL	CTH	BEREIT	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	1	f82r	NO	0
PROC107	chkeey	CHK+EE+Y	CHK	WAERMEN	WAERMEN · LANG · ARBEITSPOSTEN	1	f82r	NO	0
PROC117	qcthey|shcthey	CTH+E+Y	CTH	BEREIT	BEREIT · KURZ · ARBEITSPOSTEN	2	f82r|f83r	NO	0
PROC128	rshedy	R+SHED+DY	SHED	ABSETZEN	KUEHLEN · ABSETZEN; SCHLUSS	1	f82r	YES	1
PROC132	chkeedy	CHK+EE+DY	CHK	WAERMEN	WAERMEN · LANG; SCHLUSS	1	f83r	YES	1
PROC136	shecthedchy	SH+E+CTH+CHD+Y	CTH	BEREIT	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	f83r	NO	0
PROC142	shedal	SHED+AL	SHED	ABSETZEN	ABSETZEN · ZIELSTELLE	2	f83r	NO	0
PROC143	shecthy	SH+E+CTH+Y	CTH	BEREIT	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	1	f83r	NO	0
