item	count	positive	negative	uncertain_or_unscored	folios	pages	sections	topology_mobile_rows	status	detail
CHANNEL:CONTACT_GAP	26	8	18	1	3	4	P	20	SCORED	44 state-blind variable features; positive=CONTACT; negative=CLEAR_GAP
CHANNEL:BFE_ENCLOSURE	29	16	13	0	4	7	B	5	SCORED	52 state-blind variable features; positive=INDIVIDUAL_BOUNDED; negative=OPEN_OR_COMMUNAL
CHANNEL:HUMAN_LAYOUT	21	3	18	0	2	2	B	0	SCORED	39 state-blind variable features; positive=APPARATUS_POSITION; negative=FIGURE_POSITION
CHANNEL:HUMAN_REL_ATTACHMENT	314	73	241	0	19	34	A;B;C;H;P;S;T	82	SCORED	235 state-blind variable features; positive=REL_EXPLICIT_ATTACHMENT; negative=PROXIMITY_ONLY
CHANNEL:HUMAN_REL_ENCLOSURE	248	7	241	0	19	33	A;B;C;H;P;S;T	5	SCORED	208 state-blind variable features; positive=REL_ENCLOSURE; negative=PROXIMITY_ONLY
CHANNEL:HUMAN_REL_CONTACT	250	9	241	0	19	33	A;B;C;H;P;S;T	19	SCORED	221 state-blind variable features; positive=REL_OVERLAP_OR_CONTACT; negative=PROXIMITY_ONLY
CHANNEL:HUMAN_REL_ARRAY_GROUP	247	6	241	0	20	32	A;B;C;H;P;S;T;Z	8	SCORED	212 state-blind variable features; positive=REL_ARRAY_OR_GROUP; negative=PROXIMITY_ONLY
CHANNEL:HUMAN_OBJECT_PLANT	745	206	539	0	29	59	A;B;C;H;P;S;Z	4	SCORED	306 state-blind variable features; positive=PLANT; negative=OTHER_EXPLICIT_OBJECT
CHANNEL:HUMAN_OBJECT_FIGURE	745	327	418	0	29	59	A;B;C;H;P;S;Z	22	SCORED	306 state-blind variable features; positive=FIGURE; negative=OTHER_EXPLICIT_OBJECT
CHANNEL:HUMAN_OBJECT_STAR_OR_SKY	745	401	344	0	29	59	A;B;C;H;P;S;Z	7	SCORED	306 state-blind variable features; positive=STAR_OR_SKY; negative=OTHER_EXPLICIT_OBJECT
CHANNEL:HUMAN_OBJECT_WATER_OR_APPARATUS	745	104	641	0	29	59	A;B;C;H;P;S;Z	29	SCORED	306 state-blind variable features; positive=WATER_OR_APPARATUS; negative=OTHER_EXPLICIT_OBJECT
CHANNEL:ZODIAC_CLOTHING	29	14	15	5	2	4	Z	29	SCORED	47 state-blind variable features; positive=DRESSED; negative=UNDRESSED
CHANNEL:ZODIAC_STAR_TAIL	41	16	25	0	2	2	Z	35	SCORED	74 state-blind variable features; positive=TAIL; negative=NO_TAIL
CHANNEL:ZODIAC_BARREL	138	70	68	0	4	8	Z	0	SCORED	133 state-blind variable features; positive=PRESENT; negative=ABSENT
CHANNEL:ZODIAC_FACING	186	10	176	0	4	11	Z	8	SCORED	173 state-blind variable features; positive=PROFILE; negative=NON_DIRECTIONAL
CHANNEL:SPECIAL_CIRCLE_RAY_OWNER	22	6	16	0	3	5	C;Z	0	SCORED	37 state-blind variable features; positive=NON_STAR_OBJECT; negative=SLOT_OR_GROUP_ONLY
SOURCE:EXACT_HUMAN_NONF84	1161				39	76			AUDITED	One source lineage; not independent witnesses.
SOURCE:EXACT_HUMAN_FAMILY_COVERED	815				30	62			AUDITED	Source-native family consensus coverage.
SOURCE:GDT327_COVERED_EXACT_HUMAN	27								SPARSE	Exact joint tuples cannot cover the label atlas; no PAGE_HOST backfill.
SOURCE:SPECIAL_CIRCLE_OCCUPANCY	504	1	502	1	7	23	A/Z/C		NO_BINARY_CAPACITY	One true absence and one unreadable trace across 504 slots; retained as capacity evidence only.
