example_id	page	locus	local_owner	namespace	lookup_trace_de	creative_master_category	exact_external_name
A1-X01	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	Zeige dieser lokale Sektorplatz 01 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NOT_ASSIGNED
A1-X02	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	A1_LEFT_WHEEL_ONLY	Zeige gegenwärtiges lokales Radial-/Ringfeld 25 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NOT_ASSIGNED
A1-X03	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	A1_LEFT_WHEEL_ONLY	Zeige gegenwärtiges lokales Radial-/Ringfeld 50 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NOT_ASSIGNED
A1-X04	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	A1_OWNER_UNRESOLVED_NO_JOIN	Zeige seitenlokale Legende; das Exemplar entscheidet linkes oder rechtes Rad; kopiere alle 13 Gruppen; lies den Wert nur unter A1_OWNER_UNRESOLVED_NO_JOIN.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NOT_ASSIGNED
A2-X01	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	A2_LEFT_PANEL_ONLY	Zeige lokale Kopf-/Legendenangabe des zugeordneten f68r1-Paneels; kopiere alle 9 Gruppen; lies den Wert nur unter A2_LEFT_PANEL_ONLY.	28 räumliche Stern- oder Mondstationsadressen innerhalb eines mehrteiligen Himmelsatlanten	NOT_ASSIGNED
A2-X02	f68r1	f68r1.13	A2_STAR_STATION_05	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	Zeige sichtbarer lokal beschrifteter Sternplatz 05 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	28 räumliche Stern- oder Mondstationsadressen innerhalb eines mehrteiligen Himmelsatlanten	NOT_ASSIGNED
A2-X03	f68r1	f68r1.25	A2_STAR_STATION_17	A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED	Zeige sichtbarer lokal beschrifteter Sternplatz 17 im f68r1-Atlas; kopiere alle 1 Gruppen; lies den Wert nur unter A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED.	28 räumliche Stern- oder Mondstationsadressen innerhalb eines mehrteiligen Himmelsatlanten	NOT_ASSIGNED
A2-X04	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	A2_LOCAL_OWNER_UNRESOLVED	Zeige lokale Zentrallegende eines f68r1-Teilbildes laut Exemplar; kopiere alle 5 Gruppen; lies den Wert nur unter A2_LOCAL_OWNER_UNRESOLVED.	28 räumliche Stern- oder Mondstationsadressen innerhalb eines mehrteiligen Himmelsatlanten	NOT_ASSIGNED
A3-X01	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	A3_LEFT_WHEEL_ONLY	Zeige Ringtext des linken 28-Platz-Rades; kopiere alle 40 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	links Mondstations-/Kalenderinventar; Mitte möglicher Witterungs- oder Zustandsring; rechts möglicher Licht-/Planeten-/Komplexionsring	NOT_ASSIGNED
A3-X02	f69v	f69v.11	A3_LEFT_RADIAL_SLOT_08	A3_LEFT_WHEEL_ONLY	Zeige lokaler Radialplatz 08 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	links Mondstations-/Kalenderinventar; Mitte möglicher Witterungs- oder Zustandsring; rechts möglicher Licht-/Planeten-/Komplexionsring	NOT_ASSIGNED
A3-X03	f69v	f69v.21	A3_LEFT_RADIAL_SLOT_18	A3_LEFT_WHEEL_ONLY	Zeige lokaler Radialplatz 18 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 1 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	links Mondstations-/Kalenderinventar; Mitte möglicher Witterungs- oder Zustandsring; rechts möglicher Licht-/Planeten-/Komplexionsring	NOT_ASSIGNED
A3-X04	f69v	f69v.31	A3_LEFT_RADIAL_SLOT_28	A3_LEFT_WHEEL_ONLY	Zeige lokaler Radialplatz 28 des linken f69v-Rades; Nummer nur editoriale Adresse; kopiere alle 2 Gruppen; lies den Wert nur unter A3_LEFT_WHEEL_ONLY.	links Mondstations-/Kalenderinventar; Mitte möglicher Witterungs- oder Zustandsring; rechts möglicher Licht-/Planeten-/Komplexionsring	NOT_ASSIGNED
