namespace_order	namespace_id	page	instrument_id	visible_kind	locus_count	group_count	source_loci	entry_rule	orientation_and_start_alternatives	selected_orientation	cross_namespace_rule	crosspage_rule	prohibited_models	semantic_ceiling	portable_word_value
1	F67_RIGHT_WHEEL_NS	f67r2	F67_RIGHT_WHEEL	RIGHT_CELESTIAL_WHEEL	23	56	f67r2.1|f67r2.2|f67r2.3|f67r2.4|f67r2.5|f67r2.6|f67r2.7|f67r2.8|f67r2.9|f67r2.10|f67r2.11|f67r2.12|f67r2.13|f67r2.14|f67r2.64|f67r2.65|f67r2.66|f67r2.67|f67r2.68|f67r2.69|f67r2.70|f67r2.71|f67r2.73	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
2	F67_LEFT_WHEEL_NS	f67r2	F67_LEFT_WHEEL	LEFT_CELESTIAL_WHEEL	50	121	f67r2.15|f67r2.16|f67r2.17|f67r2.18|f67r2.19|f67r2.20|f67r2.21|f67r2.22|f67r2.23|f67r2.24|f67r2.25|f67r2.26|f67r2.27|f67r2.28|f67r2.29|f67r2.30|f67r2.31|f67r2.32|f67r2.33|f67r2.34|f67r2.35|f67r2.36|f67r2.37|f67r2.38|f67r2.39|f67r2.40|f67r2.41|f67r2.42|f67r2.43|f67r2.44|f67r2.45|f67r2.46|f67r2.47|f67r2.48|f67r2.49|f67r2.50|f67r2.51|f67r2.52|f67r2.53|f67r2.54|f67r2.55|f67r2.56|f67r2.57|f67r2.58|f67r2.59|f67r2.60|f67r2.61|f67r2.62|f67r2.63|f67r2.72	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
3	F67_PAIRED_LEGEND_QUARANTINE_NS	f67r2	F67_PAIRED_WHEEL_LEGEND	UNRESOLVED_PAGE_LEGEND	1	13	f67r2.74	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	LEFT_OWNER|RIGHT_OWNER|PAGE_LEGEND;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
4	F68_LEFT_PANEL_HEADER_NS	f68r1	F68_LEFT_OPEN_STAR_FIELD	LEFT_PANEL_HEADER	1	9	f68r1.1	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_DRAWN_LOCUS|CENTRE_OUTWARD|EDGE_INWARD|EDITORIAL_SOURCE_ORDER;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
5	F68_MIDDLE_PANEL_HEADER_NS	f68r1	F68_MIDDLE_SECTORIZED_SUBMAP	MIDDLE_PANEL_HEADER	1	9	f68r1.2	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_DRAWN_LOCUS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|UNORDERED_SECTORS;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
6	F68_RIGHT_PANEL_HEADER_NS	f68r1	F68_RIGHT_OPEN_STAR_FIELD	RIGHT_PANEL_HEADER	1	8	f68r1.3	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_DRAWN_LOCUS|CENTRE_OUTWARD|EDGE_INWARD|EDITORIAL_SOURCE_ORDER;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
7	F68_MULTIPANEL_HEADER_QUARANTINE_NS	f68r1	F68_MULTIPANEL_HEADER	UNRESOLVED_MULTIPANEL_HEADER	4	5	f68r1.4|f68r1.5|f68r1.6|f68r1.7	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	LEFT_PANEL|MIDDLE_PANEL|RIGHT_PANEL|PAGE_HEADER;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
8	F68_CENTRE_KEY_QUARANTINE_NS	f68r1	F68_FACE_CENTRE_SET	UNRESOLVED_FACE_CENTRE_KEY	1	1	f68r1.8	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_MEDALLION_ADDRESS|PANEL_LOCAL_CENTRE|NEAREST_STAR_BINDING|EDITORIAL_SOURCE_ORDER;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
9	F68_LOCAL_STAR_SLOT_NS	f68r1	F68_UNASSIGNED_LOCAL_STAR_STATIONS	LOCAL_STAR_SLOT_POOL	28	28	f68r1.9|f68r1.10|f68r1.11|f68r1.12|f68r1.13|f68r1.14|f68r1.15|f68r1.16|f68r1.17|f68r1.18|f68r1.19|f68r1.20|f68r1.21|f68r1.22|f68r1.23|f68r1.24|f68r1.25|f68r1.26|f68r1.27|f68r1.28|f68r1.29|f68r1.30|f68r1.31|f68r1.32|f68r1.33|f68r1.34|f68r1.35|f68r1.36	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	DIRECT_DRAWN_LOCUS|PANEL_LOCAL_RADIAL|CENTRE_OUTWARD|EDITORIAL_SOURCE_ORDER;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
10	F68_CENTRAL_LEGEND_QUARANTINE_NS	f68r1	F68_CENTRAL_LEGEND	UNRESOLVED_CENTRAL_LEGEND	1	5	f68r1.37	CLEAR_PREVIOUS_INSTRUMENT_KEY_THEN_COPY_LOCAL_LABEL	LOCAL_PANEL_LEGEND|CENTRE_SET_LEGEND|PAGE_LEGEND;SELECTED=NONE	NONE	RESET_ON_NAMESPACE_CHANGE;NO_IMPLICIT_OWNER_INHERITANCE	NO_CROSSPAGE_JOIN;F68_AND_F69_KEYS_INCOMPATIBLE	PAGEWIDE_7X12|SINGLE_F68_CENTER_PLUS_28|ORDERED_PAGEWIDE_F69_28|PROSE_CARD_VALUES	EXECUTABLE_LOCAL_NAMESPACE_NOT_SEMANTIC_IDENTIFICATION	NONE__LOCAL_NOMENCLATOR_ONLY
