page	diagram_id	locus	group_count	local_owner	local_namespace	silent_argument_default	lookup_action_de	complete_local_working_label	content_wager	orientation	crosspage_key
f67r2	A1	f67r2.1	3	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 01 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R01: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.2	3	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 02 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R02: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.3	3	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 03 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R03: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.4	2	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 04 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 04 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R04: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.5	2	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 05 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 05 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R05: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.6	1	A1_RIGHT_SECTOR_SLOT_06	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 06 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 06 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R06: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.7	3	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 07 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 07 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R07: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.8	1	A1_RIGHT_SECTOR_SLOT_08	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 08 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 08 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R08: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.9	2	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 09 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 09 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R09: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
f67r2	A1	f67r2.10	3	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	dieser lokale Sektorplatz 10 des rechten f67r2-Rades	Zeige dieser lokale Sektorplatz 10 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R10: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	rechts ein 12-teiliges Zeichen-/Kalenderrad mit Bedingungen; links ein Stern-/Aspekt- oder Lehrkreis	NONE	NONE
