page	locus	section	language	hand	zl3b_line	unknown_before	applied_ordinals	applied_surfaces	unknown_after	remaining_unknown_ordinals	remaining_unknown_surfaces	overlay_glosses_de
f102r1	f102r1.11	P	A	1	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	4	1	dcheo	3	5|6|8	okeody|qokeodol|oleeol	Dosis bis Mittelstufe trocknen und ansetzen | bereite einen Arzneikompositum-Ansatz in Grundstufe | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | Arzneikompositum im Feuchtansatz in der Gradmitte | [oleeol:?]
f102r1	f102r1.15	P	A	1	or chol daiin dykeor sheey qokeody dor os ykeeykam	4	8	os	3	4|6|9	dykeor|qokeody|ykeeykam	Drogenportion | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht am Ende des Grades | [qokeody:?] | miss eine Portion Droge ab | Ansatzcharge | [ykeeykam:?]
f102r1	f102r1.4	P	A	1	dsheody okeeoy kod chkeeody daraiiin ctheoly qokcheololain	7	3	kod	6	1|2|4|5|6|7	dsheody|okeeoy|chkeeody|daraiiin|ctheoly|qokcheololain	[dsheody:?] | [okeeoy:?] | Heißansatz abschließen | [chkeeody:?] | [daraiiin:?] | [ctheoly:?] | [qokcheololain:?]
f102v1	f102v1.8	P	A	1	dairn ol chey ctheol qokeor os aiin cheor qokey choky	3	6	os	2	1|5	dairn|qokeor	[dairn:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades | Krautdrogenstoff der Mittelstufe | [qokeor:?] | Ansatzcharge | Menge III | trockener Drogenteil | heiß in der Mitte des Grades | heiß-trockene Zubereitung, Grundform
f102v2	f102v2.21	P	A	1	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	4	7	os	3	5|10|14	okeeor|okear|oteo	trockne hiervon bis zur Endstufe | Samen-/Saatgutposten | miss vom Ansatz ab | Endstufe abschließen | [okeeor:?] | trockener Drogenstoff | Ansatzcharge | Zubereitungsform III | Ansatzcharge der letzten Stufe | [okear:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | Samen/Saatgut, Typ/Charge III | [oteo:?]
f102v2	f102v2.29	P	A	1	os	1	1	os	0	NONE	NONE	Ansatzcharge
f102v2	f102v2.32	P	A	1	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	2	5	shoy	1	3	shoar	abgemessene Fraktion I | trockener Drogenteil | [shoar:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | Feuchtansatz leicht abschließen | Samen-/Saatgutposten | Drogenfraktion I | heißer Ansatz am Anfang des Grades | eine Portion vollständig getrocknete Droge | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | Saatgut in Grundform
f104r	f104r.10	S	B	3	tol chedal cheoy otyd os l air shdy qokchd octheody cholfor otalr	6	5	os	5	3|4|10|11|12	cheoy|otyd|octheody|cholfor|otalr	kalt; nominal kaltes Gut/Material | trockene abgemessene Rohstoffmenge I in der Gradmitte | [cheoy:?] | [otyd:?] | Ansatzcharge | Pfund / Gewichtseinheit | zweite Drogenfraktion | feucht am Anfang des Grades, abgeschlossen | abgemessene heiß-trockene Droge | [octheody:?] | [cholfor:?] | [otalr:?]
f104r	f104r.2	S	B	3	o ar aiin yteeody cheedaiin cheodar s aiin chey tair os aiin chcthedy teedaram	5	11	os	4	4|5|10|14	yteeody|cheedaiin|tair|teedaram	Drogenfraktion I im Ansatz | Drogenfraktion I | Menge III | [yteeody:?] | [cheedaiin:?] | die erste Fraktion des mitteltrockenen Ansatzes abmessen | Samen-/Saatgutposten | Menge III | trocken in der Mitte des Grades | [tair:?] | Ansatzcharge | Menge III | Krautdroge bis zur mittleren Stufe trocknen und abschließen | [teedaram:?]
f104r	f104r.8	S	B	3	o lsheedy lkeedy lkeody qokaiin chedal qokar odar qokal okar otar odr	3	8	odar	2	4|12	lkeody|odr	vollständig eingeweichtes Drogenmaterial, fertig | Holzdroge vollständig einweichen und abschließen | Drogenholz, heiß am Gradende, abgeschlossen | [lkeody:?] | heiß, Grad III | trockene abgemessene Rohstoffmenge I in der Gradmitte | heiße Drogenfraktion I | erste Ansatzfraktion abmessen | Rohstoffklasse I, heiß am Gradanfang | heiße Drogenfraktion I im Ansatz | kalte Drogenfraktion I im Ansatz | [odr:?]
f104v	f104v.21	S	B	3	yshor sheedy qokaiin shokchey qokeey chodain	3	6	chodain	2	1|4	yshor|shokchey	[yshor:?] | feucht am Ende des Grades, abgeschlossen | heiß, Grad III | [shokchey:?] | heiß am Ende des Grades | zwei Dosen Trockenansatz
f104v	f104v.3	S	B	3	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ol dl	2	1	shod	1	9	qotair	Feuchtansatz abschließen | trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | Zubereitungsdosis III | Grundansatz bis zur mittleren Heizstufe erwärmt | Ansatz eines Arzneikompositums in der Gradmitte | trocken; nominal trockenes Gut/Material | heiß am Ende des Grades, abgeschlossen | [qotair:?] | drei Dosen vollständig bereiteten Ansatzes | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Rohstoffmaß
f104v	f104v.33	S	B	3	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar ar air ary	4	10	odar	3	1|2|12	yteeey|cheeod|etar	[yteeey:?] | [cheeod:?] | erhitze hiervon bis zur Endstufe und schließe ab | heiß, Grad III | heiß, Grad III | trocken am Ende des Grades | Drogenportion | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Drogenfraktion I | erste Ansatzfraktion abmessen | zwei Dosen bis zur Mittelstufe getrockneter Droge | [etar:?] | Drogenfraktion I | zweite Drogenfraktion | Drogenfraktion I, abgeschlossen
f105r	f105r.15	S	B	3	lksheey ol r aiin okeedy olkeeody lkaiin okeeol oteeol shod daiin aral	3	10	shod	2	1|9	lksheey|oteeol	[lksheey:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzel | Menge III | heißer Ansatz am Ende des Grades, abgeschlossen | vollständig ausgekochter Holzdrogenauszug | Holzdroge, heiß auf Stufe III | vollständig erhitzter Ansatzstoff | [oteeol:?] | Feuchtansatz abschließen | Grad-/Maßwert III | Rohdrogenfraktion I
f105r	f105r.2	S	B	3	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	4	11	odar	3	1|2|6	dshees|yey|qodor	[dshees:?] | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig
