surface	card_class	composition	working_meaning_de	confidence	page	locus	section	language	hand	ordinal	line_token_count	line_position	was_v48_unknown	target_v48_gloss_de	target_v48_source	target_v48_scope_state	left_surface	left_gloss_de	right_surface	right_gloss_de	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	zl3b_line	decision	reason_code	promotable	review_note
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100r	f100r.12	P	A	1	10	10	FINAL	0	Samen-/Saatgutposten	GDT660:S_EOS	KNOWN_CONTEXT_LICENSED	cho	Trockenansatz	BOUNDARY	BOUNDARY	EXACT	s	EXACT	s	BOTH_EXACT	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100v	f100v.15	P	A	1	11	11	FINAL	0	Samen-/Saatgutposten	GDT660:S_EOS	READER_BOUNDARY_UNSTABLE	chotol	Trockenansatz aus kaltem Material	BOUNDARY	BOUNDARY	MERGE_2	chotols	MERGE_2	chotols	NEITHER_EXACT	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100v	f100v.16	P	A	1	5	11	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	eeoseeo	[eeoseeo:?]	sheeo	vollständig eingeweichter Ansatz	MERGE_2	eeoseeos	MERGE_2	eeoseeos	NEITHER_EXACT	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100v	f100v.18	P	A	1	2	11	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	tachso	[tachso:?]	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	MERGE_2	sol	EXACT	s	ONE_EXACT	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102r1	f102r1.14	P	A	1	9	11	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	chos	eine Charge Trockenansatz	or	Drogenportion	MERGE_2	sor	EXACT	s	ONE_EXACT	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102r1	f102r1.16	P	A	1	8	10	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	doeoear	[doeoear:?]	aral	Rohdrogenfraktion I	MERGE_2	saral	EXACT	s	ONE_EXACT	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
y	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	f102v1	f102v1.12	P	A	1	1	10	INITIAL	0	Eintrag:	GDT659:Y_BOS_ENTRY	READER_BOUNDARY_UNSTABLE	BOUNDARY	BOUNDARY	cheol	trockener Drogenstoff	MERGE_2	ycheol	EXACT	y	ONE_EXACT	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	O_NAMED_CONTEXT_CONFLICT	Y_ENTRY_OR_LABEL_OUTSIDE_CARD	0	Y_ENTRY_OR_LABEL_OUTSIDE_CARD
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102v1	f102v1.12	P	A	1	6	10	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	shekcheor	[shekcheor:?]	ar	Drogenfraktion I	MERGE_2	sar	EXACT	s	ONE_EXACT	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102v2	f102v2.21	P	A	1	2	14	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	KNOWN_CONTEXT_LICENSED	ycheey	trockne hiervon bis zur Endstufe	od	miss vom Ansatz ab	EXACT	s	EXACT	s	BOTH_EXACT	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102v2	f102v2.22	P	A	1	5	15	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	cheol	trockener Drogenstoff	oiir	[oiir:?]	MERGE_2	soiir	EXACT	s	ONE_EXACT	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102v2	f102v2.32	P	A	1	6	12	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	KNOWN_CONTEXT_LICENSED	shoy	[shoy:?]	ar	Drogenfraktion I	EXACT	s	EXACT	s	BOTH_EXACT	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102v2	f102v2.33	P	A	1	6	12	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	o	Ansatz mit s	al	Rohstoffklasse I	MERGE_2	os	EXACT	s	ONE_EXACT	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f103r	f103r.14	S	B	3	8	13	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	KNOWN_CONTEXT_LICENSED	lol	Holzstoff	aiin	Menge III	EXACT	s	EXACT	s	BOTH_EXACT	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
