surface	card_class	composition	working_meaning_de	confidence	page	locus	section	language	hand	ordinal	line_token_count	line_position	was_v48_unknown	target_v48_gloss_de	target_v48_source	target_v48_scope_state	left_surface	left_gloss_de	right_surface	right_gloss_de	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	zl3b_line	decision	reason_code	promotable	review_note
dcheo	P	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP	Dosis bis Mittelstufe trocknen und ansetzen	HIGH	f102r1	f102r1.11	P	A	1	1	8	INITIAL	1	[dcheo:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	qockhy	bereite einen Arzneikompositum-Ansatz in Grundstufe	EXACT	dcheo	EXACT	dcheo	BOTH_EXACT	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Six occurrences admit measure, dry-to-middle and prepare in the same order.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f102r1	f102r1.15	P	A	1	8	9	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	dor	miss eine Portion Droge ab	ykeeykam	[ykeeykam:?]	EXACT	os	ONE	s	ONE_EXACT	or chol daiin dykeor sheey qokeody dor os ykeeykam	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
kod	P	K_HOT+O_PREP+D_TERM_CLOSE	Heißansatz abschließen	HIGH	f102r1	f102r1.4	P	A	1	3	7	MEDIAL	1	[kod:?]	OPEN	UNKNOWN_SURFACE	okeeoy	[okeeoy:?]	chkeeody	[chkeeody:?]	ONE	kody	ONE	kody	NEITHER_EXACT	dsheody okeeoy kod chkeeody daraiiin ctheoly qokcheololain	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	The exact occurrence admits hot-preparation closure without a named conflict.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f102v1	f102v1.8	P	A	1	6	10	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	qokeor	[qokeor:?]	aiin	Menge III	MERGE_2	osaiin	EXACT	os	ONE_EXACT	dairn ol chey ctheol qokeor os aiin cheor qokey choky	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f102v2	f102v2.21	P	A	1	7	14	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	cheol	trockener Drogenstoff	oiin	Zubereitungsform III	ONE	or	EXACT	os	ONE_EXACT	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f102v2	f102v2.29	P	A	1	1	1	SINGLETON	1	[os:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	ONE	eddy	EXACT	os	ONE_EXACT	os	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
shoy	P	SH_MOIST+O_PREP+Y_START_OR_CLOSE	Feuchtansatz leicht abschließen	HIGH	f102v2	f102v2.32	P	A	1	5	12	MEDIAL	1	[shoy:?]	OPEN	UNKNOWN_SURFACE	okeol	Grundansatz bis zur mittleren Heizstufe erwärmt	s	Samen-/Saatgutposten	EXACT	shoy	EXACT	shoy	BOTH_EXACT	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Ten occurrences admit the unchanged moist-preparation closure action.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f104r	f104r.10	S	B	3	5	12	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	otyd	[otyd:?]	l	Pfund / Gewichtseinheit	EXACT	os	EXACT	os	BOTH_EXACT	tol chedal cheoy otyd os l air shdy qokchd octheody cholfor otalr	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f104r	f104r.2	S	B	3	11	14	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	tair	[tair:?]	aiin	Menge III	DELETE	EMPTY	EXACT	os	ONE_EXACT	o ar aiin yteeody cheedaiin cheodar s aiin chey tair os aiin chcthedy teedaram	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
odar	P	O_PREP+D_MEASURE+AR_FRACTION_I	erste Ansatzfraktion abmessen	HIGH	f104r	f104r.8	S	B	3	8	12	MEDIAL	1	[odar:?]	OPEN	UNKNOWN_SURFACE	qokar	heiße Drogenfraktion I	qokal	Rohstoffklasse I, heiß am Gradanfang	EXACT	odar	EXACT	odar	BOTH_EXACT	o lsheedy lkeedy lkeody qokaiin chedal qokar odar qokal okar otar odr	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-one occurrences admit the same preparation-measure-first-fraction action without a named contradiction.
