surface	card_class	composition	working_meaning_de	confidence	page	locus	section	language	hand	ordinal	line_token_count	line_position	was_v48_unknown	target_v48_gloss_de	target_v48_source	target_v48_scope_state	left_surface	left_gloss_de	right_surface	right_gloss_de	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	zl3b_line	decision	reason_code	promotable	review_note
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100r	f100r.12	P	A	1	10	10	FINAL	0	Samen-/Saatgutposten	GDT660:S_EOS	KNOWN_CONTEXT_LICENSED	cho	Trockenansatz	BOUNDARY	BOUNDARY	EXACT	s	EXACT	s	BOTH_EXACT	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
y	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	f100r	f100r.23	P	A	1	11	12	MEDIAL	0	hierzu:	GDT659:Y_MEDIAL_UNRESOLVED_HINGE	READER_BOUNDARY_UNSTABLE	keey	heiß am Ende des Grades	ykeeam	[ykeeam:?]	ONE	cckhhy	ONE	cy	NEITHER_EXACT	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	O_HOLD_COMPATIBLE	Y_ALLOWED_REFERENCE_OR_LEFT_CLOSE	0	Y_ALLOWED_REFERENCE_OR_LEFT_CLOSE
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100v	f100v.15	P	A	1	11	11	FINAL	0	Samen-/Saatgutposten	GDT660:S_EOS	READER_BOUNDARY_UNSTABLE	chotol	Trockenansatz aus kaltem Material	BOUNDARY	BOUNDARY	MERGE_2	chotols	MERGE_2	chotols	NEITHER_EXACT	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100v	f100v.16	P	A	1	5	11	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	eeoseeo	[eeoseeo:?]	sheeo	vollständig eingeweichter Ansatz	MERGE_2	eeoseeos	MERGE_2	eeoseeos	NEITHER_EXACT	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f100v	f100v.18	P	A	1	2	11	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	tachso	[tachso:?]	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	MERGE_2	sol	EXACT	s	ONE_EXACT	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
dcheo	P	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP	Dosis bis Mittelstufe trocknen und ansetzen	HIGH	f102r1	f102r1.11	P	A	1	1	8	INITIAL	1	[dcheo:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	qockhy	bereite einen Arzneikompositum-Ansatz in Grundstufe	EXACT	dcheo	EXACT	dcheo	BOTH_EXACT	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Six occurrences admit measure, dry-to-middle and prepare in the same order.
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102r1	f102r1.14	P	A	1	9	11	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	chos	eine Charge Trockenansatz	or	Drogenportion	MERGE_2	sor	EXACT	s	ONE_EXACT	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f102r1	f102r1.15	P	A	1	8	9	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	dor	miss eine Portion Droge ab	ykeeykam	[ykeeykam:?]	EXACT	os	ONE	s	ONE_EXACT	or chol daiin dykeor sheey qokeody dor os ykeeykam	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102r1	f102r1.16	P	A	1	8	10	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	doeoear	[doeoear:?]	aral	Rohdrogenfraktion I	MERGE_2	saral	EXACT	s	ONE_EXACT	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
kod	P	K_HOT+O_PREP+D_TERM_CLOSE	Heißansatz abschließen	HIGH	f102r1	f102r1.4	P	A	1	3	7	MEDIAL	1	[kod:?]	OPEN	UNKNOWN_SURFACE	okeeoy	[okeeoy:?]	chkeeody	[chkeeody:?]	ONE	kody	ONE	kody	NEITHER_EXACT	dsheody okeeoy kod chkeeody daraiiin ctheoly qokcheololain	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	The exact occurrence admits hot-preparation closure without a named conflict.
y	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	f102v1	f102v1.12	P	A	1	1	10	INITIAL	0	Eintrag:	GDT659:Y_BOS_ENTRY	READER_BOUNDARY_UNSTABLE	BOUNDARY	BOUNDARY	cheol	trockener Drogenstoff	MERGE_2	ycheol	EXACT	y	ONE_EXACT	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	O_NAMED_CONTEXT_CONFLICT	Y_ENTRY_OR_LABEL_OUTSIDE_CARD	0	Y_ENTRY_OR_LABEL_OUTSIDE_CARD
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	f102v1	f102v1.12	P	A	1	6	10	MEDIAL	0	Samen-/Saatgutposten	GDT660:S_MEDIAL	READER_BOUNDARY_UNSTABLE	shekcheor	[shekcheor:?]	ar	Drogenfraktion I	MERGE_2	sar	EXACT	s	ONE_EXACT	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	O_NAMED_CONTEXT_CONFLICT	S_SEED_MATERIAL_NOT_SIGLUM	0	S_SEED_MATERIAL_NOT_SIGLUM
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	f102v1	f102v1.8	P	A	1	6	10	MEDIAL	1	[os:?]	OPEN	UNKNOWN_SURFACE	qokeor	[qokeor:?]	aiin	Menge III	MERGE_2	osaiin	EXACT	os	ONE_EXACT	dairn ol chey ctheol qokeor os aiin cheor qokey choky	HOLD_SAME_CARD	P_OR_W_MANUAL_CONTEXT_AUDIT	1	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
y	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	f102v2	f102v2.17	P	A	1	6	8	MEDIAL	0	Eintragsteil abgeschlossen	GDT659:Y_MEDIAL_LEFT_CLOSE	READER_BOUNDARY_UNSTABLE	ch	angetrocknet	shkeey	[shkeey:?]	ONE	chckhhy	MERGE_2	chy	NEITHER_EXACT	podeesho oteeos sheor qoteeo ch y shkeey chekeod	O_HOLD_COMPATIBLE	Y_ALLOWED_REFERENCE_OR_LEFT_CLOSE	0	Y_ALLOWED_REFERENCE_OR_LEFT_CLOSE
y	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	f102v2	f102v2.18	P	A	1	6	6	FINAL	0	Eintrag abgeschlossen	GDT659:Y_EOS_CLOSE	READER_BOUNDARY_UNSTABLE	shy	feucht am Anfang des Grades	BOUNDARY	BOUNDARY	ONE	o	DELETE	EMPTY	NEITHER_EXACT	ocheos chyokeor okeol okeol shy y	O_HOLD_COMPATIBLE	Y_ALLOWED_REFERENCE_OR_LEFT_CLOSE	0	Y_ALLOWED_REFERENCE_OR_LEFT_CLOSE
r	O	FREE_R_OCCURRENCE	Wurzel; bindet lokal an die folgende Trockenfraktion	MEDIUM	f102v2	f102v2.19	P	A	1	9	13	MEDIAL	0	Wurzel	GDT661:R_BODY	READER_BOUNDARY_UNSTABLE	o	Drogenportion	o	Grundansatz	MERGE_2	or	MERGE_2	or	NEITHER_EXACT	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	O_UNTESTABLE_LOCAL_BINDING	R_LOCAL_BINDING_CONDITION_ABSENT	0	R_LOCAL_BINDING_CONDITION_ABSENT
