surface	working_meaning_de	composition	source	strength	scope_state	panel_positions	panel_pages
shory	Blüten- oder Fruchtstand in Grundform, abgeschlossen	KNOWN_SHOR+Y_START_OR_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	4	4
sory	Samenportion, abgeschlossen	KNOWN_SOR+Y_START_OR_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	1	1
ckhar	erste Kompositumfraktion	CKH_COMPOSITE+AR_FRACTION_I	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	2	2
chtaiin	getrocknete Droge auf Kältestufe III	CH_DRY+T_COLD+AIIN_III	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	2	2
shod	Feuchtansatz abschließen	SH_MOIST+O_PREP+D_TERM_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	10	9
cthes	Kraut- oder Blattspecies der Mittelstufe	CTH_HERB+E_MIDDLE+S_TERM_SPECIES	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	1	1
daraiin	drei Teile der ersten Fraktion abmessen	D_MEASURE+AR_FRACTION_I+AIIN_III	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
cphar	erste Kompositumfraktion	CPH_COMPOSITE+AR_FRACTION_I	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	3	3
cfhaiin	Blütendroge, Menge III	LEARNED_FLOWER_WHOLE	GDT673:GDT672_LEARNED_WHOLE_TRANSFER	LOW	LEARNED_EXACT_WHOLE_TRANSFER	1	1
odar	erste Ansatzfraktion abmessen	O_PREP+D_MEASURE+AR_FRACTION_I	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	21	17
cphoy	Kompositum ansetzen und leicht abschließen	CPH_COMPOSITE+O_PREP+Y_START_OR_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	2	2
os	Ansatzcharge	O_PREP+S_TERM_SPECIES	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	23	21
kos	Charge Heißansatz	K_HOT+O_PREP+S_TERM_SPECIES	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
shos	Charge Feuchtansatz	SH_MOIST+O_PREP+S_TERM_SPECIES	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	9	9
cfhol	Blütendrogenstoff oder Blütenauszug	LEARNED_FLOWER_WHOLE	GDT673:GDT672_LEARNED_WHOLE_TRANSFER	LOW	LEARNED_EXACT_WHOLE_TRANSFER	3	3
cphey	Kompositum auf Mittelstufe, abgeschlossen	CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	7	7
ytain	hiervon auf Kältestufe II abkühlen	Y_REFERENCE+T_COLD+AIN_II	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	12	10
cphodal	Rohstoffmenge I des Kompositumansatzes abmessen	CPH_COMPOSITE+O_PREP+D_MEASURE+AL_RAW_I	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
es	Mittelstufen-Species	LEARNED_ES_WHOLE	GDT673:GDT672_LEARNED_WHOLE_TRANSFER	LOW	LEARNED_EXACT_WHOLE_TRANSFER	2	2
oksho	Ansatz erhitzen, einweichen und erneut ansetzen	O_PREP+K_HOT+SH_MOIST+O_PREP	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	3	3
shodain	zwei Dosen Feuchtansatz	SH_MOIST+O_PREP+D_MEASURE+AIN_II	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	4	4
shoy	Feuchtansatz leicht abschließen	SH_MOIST+O_PREP+Y_START_OR_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	10	10
oldain	zwei Dosen Holzdroge im Ansatz abmessen	O_PREP+L_WOOD+D_MEASURE+AIN_II	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	1	1
chodain	zwei Dosen Trockenansatz	CH_DRY+O_PREP+D_MEASURE+AIN_II	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	7	7
kod	Heißansatz abschließen	K_HOT+O_PREP+D_TERM_CLOSE	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
eo	Mittelstufenansatz	LEARNED_EO_SHORT_WHOLE	GDT673:GDT672_LEARNED_WHOLE_TRANSFER	LOW	LEARNED_EXACT_WHOLE_TRANSFER	1	1
pshol	eingeweichter Pulverstoff	P_POWDER+SH_MOIST+OL_MATERIAL	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	3	3
yto	hiervon einen Ansatz abkühlen	Y_REFERENCE+T_COLD+O_PREP	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
dchar	erste Trockenfraktion abmessen	D_MEASURE+CH_DRY+AR_FRACTION_I	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	2	2
okaiir	dritte erhitzte Ansatzfraktion	O_PREP+K_HOT+AIIR_FRACTION_III	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	4	4
cthols	Charge Krautdrogenstoff	CTH_HERB+OL_MATERIAL+S_TERM_SPECIES	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
cpho	Kompositumansatz	CPH_COMPOSITE+O_PREP	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	1	1
cha	ein Teil Trockendroge	CH_DRY+A_PART_OR_LINK	GDT673:GDT672_EXACT_PANEL_TRANSFER	MEDIUM	ROLE_COMPOSED_EXACT_TRANSFER	1	1
shoaiin	drei Teile Feuchtansatz	SH_MOIST+O_PREP+AIIN_III	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	2	2
ochol	Ansatz aus Trockendroge	O_PREP+CH_DRY+OL_MATERIAL	GDT673:GDT672_EXACT_PANEL_TRANSFER	HIGH	ROLE_COMPOSED_EXACT_TRANSFER	3	3
