event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	working_word	position_in_field	field_length	fit_class	fit_grade	formal_nonword_rival	source_expansion_tested
13	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	3	4	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Führe ihn als denselben laufenden Ansatz fort
27	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	4	8	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand
29	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	6	8	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Führe beide als neuen aktiven Posten
56	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	5	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Setze den ersten Posten an
102	B1	f81v	f81v.2	F022	B1-S002	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	11	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
106	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	5	11	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
110	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	9	11	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
114	B1	f81v	f81v.7	F023	B1-S002	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	2	8	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
121	B1	f81v	f81v.7	F024	B1-S003	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	1	1	STRAINED_SINGLETON_CONTINUATION	STRAINED	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
124	B1	f81v	f81v.17	F026	B1-S004	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	2	3	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
