event_serial	record_unit_id	section	page	locus	field_id	statement_id	event_index_in_record	event_index_in_field	event_index_in_statement	event_index_in_physical_line	joint_tuple_id	literal_exact_card_order	dictionary_status	event_phrase	exact_source_language_entry	historical_attestation	v77_target	bracketed_exemplar_expansion	event_bound_working_reading	statement_membership	statement_constituent_fields	statement_physical_lines	statement_crosses_field	statement_crosses_physical_line	local_owner	owner_status_v73_v74	owner_break_before	layout_break_before	terminal_status	formal_link_or_entry_rival	local_grammar_pressure_flags	source_support_class	context_confidence	process_or_content_rival	strongest_contradiction	semantic_ceiling
1	H1	HERBAL	f10r	f10r.2	F001	H1-S001	1	1	1	1	65f320e75510b2f38182	E001=[OPAQUE_EXACT_CARD:65f320e75510b2f38182]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel.]	E001=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	RECORD_START__RESET_ALL_LOCAL_STATE	RECORD_START	NONCLOSE	FORMAL_ENTRY_OR_RESET_MARK	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.36	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
2	H1	HERBAL	f10r	f10r.2	F001	H1-S001	2	2	2	2	dedc383b600397a301ee	E002=[OPAQUE_EXACT_CARD:dedc383b600397a301ee]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Säubere ihn.]	E002=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Säubere ihn.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.32	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
3	H1	HERBAL	f10r	f10r.2	F001	H1-S001	3	3	3	3	4d4559019a961b834aa1	E003=[OPAQUE_EXACT_CARD:4d4559019a961b834aa1]	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLARWERT_UNBEKANNT]	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	YES	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Führe ihn als denselben Arbeitsansatz weiter.]	E003=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Führe ihn als denselben Arbeitsansatz weiter.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.34	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
4	H1	HERBAL	f10r	f10r.2	F001	H1-S001	4	4	4	4	80ebbbbf238eee9f0aef	E004=[OPAQUE_EXACT_CARD:80ebbbbf238eee9f0aef]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Zerschneide ihn.]	E004=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Zerschneide ihn.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.32	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
5	H1	HERBAL	f10r	f10r.2	F001	H1-S001	5	5	5	5	df1098831679a8ad1b39	E005=[OPAQUE_EXACT_CARD:df1098831679a8ad1b39]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gib die Stücke in ein Gefäß.]	E005=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gib die Stücke in ein Gefäß.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.25	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
6	H1	HERBAL	f10r	f10r.2	F001	H1-S001	6	6	6	6	12efe866f335461823a6	E006=[OPAQUE_EXACT_CARD:12efe866f335461823a6]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gieße Quellwasser darüber.]	E006=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gieße Quellwasser darüber.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.24	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
7	H1	HERBAL	f10r	f10r.2	F001	H1-S001	7	7	7	7	62ff059766b21c7de083	E007=[OPAQUE_EXACT_CARD:62ff059766b21c7de083]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Fange den ersten Auszug in einem Glas auf.]	E007=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Fange den ersten Auszug in einem Glas auf.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.29	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
8	H1	HERBAL	f10r	f10r.2	F001	H1-S001	8	8	8	8	276a7c2d74d1143446f4	E008=[OPAQUE_EXACT_CARD:276a7c2d74d1143446f4]	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLARWERT_UNBEKANNT]	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	YES	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gebrauche diesen Auszug innerlich.]	E008=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gebrauche diesen Auszug innerlich.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	EXACT_WORKING_MNEMONIC	0.46	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
9	H1	HERBAL	f10r	f10r.2	F001	H1-S001	9	9	9	9	2f1c5e56e8f0ff459065	E009=[OPAQUE_EXACT_CARD:2f1c5e56e8f0ff459065]	FORMAL_LABEL_NOT_WORD	[FORMAL_PARAMETER_CHANNEL; KEIN_WORT]	NONE__NONWORD	NOT_APPLICABLE__STRUCTURAL_EDITORIAL_LABEL	YES	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Nimm davon das örtlich vorgeschriebene kleine Maß.]	E009=[FORMAL_PARAMETER_CHANNEL; KEIN_WORT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Nimm davon das örtlich vorgeschriebene kleine Maß.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	FORMAL_NONWORD_REQUIRES_EXEMPLAR_EXPANSION	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	0.46	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
10	H1	HERBAL	f10r	f10r.2	F001	H1-S001	10	10	10	10	a6939862e33ece5a0483	E010=[OPAQUE_EXACT_CARD:a6939862e33ece5a0483]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.]	E010=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.]	H1-S001:E001-E010	F001	f10r.2	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.18	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
11	H1	HERBAL	f10r	f10r.5	F002	H1-S002	11	1	1	1	9ad66e67803a12e745de	E011=[OPAQUE_EXACT_CARD:9ad66e67803a12e745de]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Nimm erneut von dem frischen ersten Auszug.]	E011=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Nimm erneut von dem frischen ersten Auszug.]	H1-S002:E011-E014	F002	f10r.5	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	SENTENCE_BOUNDARY|FIELD_BOUNDARY|PHYSICAL_LINE_BOUNDARY	NONCLOSE	FORMAL_ENTRY_OR_RESET_MARK	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.29	Technischer Pflanzenmaterial-Rivale: gelagerten Wurzelrest dem lokalen Posten aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
12	H1	HERBAL	f10r	f10r.5	F002	H1-S002	12	2	2	2	e8a6105b5c3a6220b440	E012=[OPAQUE_EXACT_CARD:e8a6105b5c3a6220b440]	EXEMPLAR_VALUE_UNKNOWN__NOT_V77_TARGET	[EXEMPLARWERT_UNBEKANNT]	NONE	NONE	NO	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Erwärme ihn gelinde.]	E012=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Erwärme ihn gelinde.]	H1-S002:E011-E014	F002	f10r.5	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	0.30	Technischer Pflanzenmaterial-Rivale: zweiten Auszug gelinde erwärmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
13	H1	HERBAL	f10r	f10r.5	F002	H1-S002	13	3	3	3	dcda95c81a5460feb191	E013=[OPAQUE_EXACT_CARD:dcda95c81a5460feb191]	CODEBOOK_ATTESTED_CATEGORY	ET?	et	FLORENCE_FI1_1414::et::Archivio di Stato di Firenze, Chiavi delle cifre II, Pars 3, Nr.1; Lettere della Signoria responsive, filza Nr.1::1414::Aloys Meister 1902, printed pp.49-50; Somogyi 2016 Fi1/table 3	YES	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Führe ihn als denselben laufenden Ansatz fort.]	E013=ET? [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Führe ihn als denselben laufenden Ansatz fort.]	H1-S002:E011-E014	F002	f10r.5	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	0.46	Technischer Pflanzenmaterial-Rivale: formale Verknüpfung mit dem laufenden Wurzelauszug dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
14	H1	HERBAL	f10r	f10r.5	F002	H1-S002	14	4	4	4	e0b630cb1b5df5e7105b	E014=[OPAQUE_EXACT_CARD:e0b630cb1b5df5e7105b]	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLARWERT_UNBEKANNT]	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	YES	[MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Sobald er zum Gebrauch bereit ist, gebrauche ihn.]	E014=[EXEMPLARWERT_UNBEKANNT] [MASTER-EXEMPLAR; KEINE WORTBEDEUTUNG: Sobald er zum Gebrauch bereit ist, gebrauche ihn.]	H1-S002:E011-E014	F002	f10r.5	NO	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	SAME_WHOLE_PLANT_OWNER	NONE	NONCLOSE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	NONE	EXACT_WORKING_MNEMONIC	0.46	Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten freigeben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	WORKING_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT_OR_PORTABLE_GLOSS
