event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	word_candidate	r1_fit_grade	r1_fit_reason	r2_syntax_status	r2_syntax_reason	r3_pressure_flags	r3_formal_rival	r4_fit_grade	r4_fit_class	central_verdict	v79_apprentice_test	confirmed_translation
13	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	ET?	WORKABLE	joins heating to the following readiness/use clause	PLAUSIBLE_MEDIAL_COORDINATION	verbindet die Erwärmung mit dem folgenden Bereitschafts-/Gebrauchsglied	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
27	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	ET?	STRAINED	first member of an A-ET-B-ET-C additive chain	STRONG_REPEATED_COORDINATION_CHAIN	erstes Bindeglied der sichtbaren A–ET?–B–ET?–C-Folge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
29	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	ET?	STRAINED	second member of the same additive chain	STRONG_REPEATED_COORDINATION_CHAIN	zweites Bindeglied der sichtbaren A–ET?–B–ET?–C-Folge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
56	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	PER?	HIGH_REPAIR	field-entry instruction can be introduced by according-to	PLAUSIBLE_IF_GOVERNS_NEXT_COMPLEMENT	PER? kann das unmittelbar folgende örtliche Maß E057 regieren	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
102	B1	f81v	f81v.2	F022	B1-S002	b5fcea1eaed06b2f2291	PER?	WORKABLE	field-entry through-reading takes the visible next segment as complement	PLAUSIBLE_IF_GOVERNS_NEXT_COMPLEMENT	PER? kann den unmittelbar folgenden Rückstrom E103 regieren	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
106	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ET?	WORKABLE	adds a measured portion to the same-source phrase	PLAUSIBLE_MEDIAL_COORDINATION	medial zwischen lokalen Stations-/Mengenquellengliedern	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
110	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ET?	STRAINED	adds the next timing clause to the local-station phrase	PLAUSIBLE_MEDIAL_COORDINATION	medial vor einem Zustands-/Zusatzglied	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
114	B1	f81v	f81v.7	F023	B1-S002	dcda95c81a5460feb191	ET?	STRAINED	adds the following moderate quantity to the prior-post instruction	PLAUSIBLE_MEDIAL_COORDINATION	medial vor Mengen- und Parameterquellengliedern	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
121	B1	f81v	f81v.7	F024	B1-S003	dcda95c81a5460feb191	ET?	WORKABLE	joins rinse completion to keeping the post warm across a field/line carry	PLAUSIBLE_ADDITIVE_STATEMENT_CONTINUATION	eröffnet eine neue formale Aussage, setzt aber denselben sichtbaren Besitzer ohne Stationsbruch fort	ET_AT_FIELD_ENTRY|ET_AT_SENTENCE_ENTRY	FORMAL_ENTRY_OR_RESET_MARK	STRAINED	STRAINED_SINGLETON_CONTINUATION	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
124	B1	f81v	f81v.17	F026	B1-S004	dcda95c81a5460feb191	ET?	WORKABLE	joins mixing to standing until ready	PLAUSIBLE_MEDIAL_COORDINATION	verbindet Rühren mit einem nachfolgenden Zustandsende	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
133	B1	f81v	f81v.18	F030	B1-S008	dcda95c81a5460feb191	ET?	WORKABLE	first link in portion-ET-warmth-ET-readiness chain	STRONG_REPEATED_COORDINATION_CHAIN	erstes Bindeglied einer lokalen ET?–Glied–ET?-Folge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
135	B1	f81v	f81v.18	F030	B1-S008	dcda95c81a5460feb191	ET?	WORKABLE	second link in the same three-member chain	STRONG_REPEATED_COORDINATION_CHAIN	zweites Bindeglied derselben lokalen Folge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
148	B1	f81v	f81v.21	F036	B1-S014	dcda95c81a5460feb191	ET?	STRAINED	adds lower outlet use to lower-basin mention	PLAUSIBLE_MEDIAL_COORDINATION	medial zwischen lokalem Becken-/Stellen- und Ablaufglied	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
154	B1	f81v	f81v.24	F038	B1-S016	dcda95c81a5460feb191	ET?	WORKABLE	joins tempering to standing until ready	PLAUSIBLE_MEDIAL_COORDINATION	medial zwischen lokaler Temperierung und Zustandsende	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
180	B2	f82r	f82r.3	F050	B2-S005	b5fcea1eaed06b2f2291	PER?	HIGH_REPAIR	field-final through-reading can close the preceding path description	HARD_SYNTAX_BREAK__CONSECUTIVE_PER_PER_SINGLE_COMPLEMENT	PER? PER? vor nur einer sichtbaren Ergänzung; keine zweite Bedeutung wird erfunden	PER_NOT_AT_FIELD_ENTRY	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	LINE_EDGE_CATCHWORD_THEN_RESTART	PER_CATCHWORD_COPY__READ_WITH_E181_ONCE	Apprentice must copy at line edge and suppress the first copy in spoken/source-token count.	NO
181	B2	f82r	f82r.4	F051	B2-S005	b5fcea1eaed06b2f2291	PER?	HIGH_REPAIR	field-entry according-to reading can govern the following setting	HARD_SYNTAX_BREAK__CONSECUTIVE_PER_PER_SINGLE_COMPLEMENT	zweites PER? derselben unaufgelösten Doppelung; keine zweite Bedeutung wird erfunden	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_MAIN_TOKEN_AFTER_CATCHWORD__PROBATIONARY	Apprentice must recover one PER relation plus one preceding catchword copy.	NO
219	B2	f82r	f82r.26	F063	B2-S016	b5fcea1eaed06b2f2291	PER?	STRAINED	internal through-reading takes warm water as local instrument/medium	PLAUSIBLE_IF_GOVERNS_NEXT_COMPLEMENT	PER? kann warmes Wasser E220 als instrumentale Ergänzung regieren	PER_NOT_AT_FIELD_ENTRY	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	STRAINED	MEDIAL_PRETERMINAL_RELATION	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
236	B3	f83r	f83r.3	F074	B3-S004	b5fcea1eaed06b2f2291	PER?	STRAINED	field-entry according-to reading introduces the lower-outlet instruction	STRAINED_BUT_SINGLE_PREPOSITIONAL_READING	nur als Durchgang durch den in E237 ergänzten unteren Ablauf; die alte Richtungsphrase wird nicht lexikalisiert	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
243	B3	f83r	f83r.6	F077	B3-S007	b5fcea1eaed06b2f2291	PER?	WORKABLE	field-entry according-to reading introduces mixing	PLAUSIBLE_IF_GOVERNS_NOMINALIZED_ACTION	PER? kann das in E244 ergänzte Rühren als instrumentales Glied regieren	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
256	B3	f83r	f83r.11	F083	B3-S013	b5fcea1eaed06b2f2291	PER?	WORKABLE	field-entry according-to reading introduces a measured share	PLAUSIBLE_IF_GOVERNS_NEXT_COMPLEMENT	PER? kann den abgemessenen Anteil E257 regieren	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
270	B3	f83r	f83r.14	F092	B3-S021	b5fcea1eaed06b2f2291	PER?	WORKABLE	field-entry according-to reading introduces a local state check	PLAUSIBLE_RULE_READING_IF_GOVERNS_NEXT_COMPLEMENT	PER? kann den örtlichen Prüfzustand E271 als Regel-/Bezugsangabe regieren	NONE	FORMAL_ENTRY_OR_RESET_MARK	GOOD	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	PER_PROBATIONARY_SURVIVES__FORMAL_ENTRY_RIVAL_LIVE	Every non-catchword PER must govern one explicit bracketed complement.	NO
295	B3	f83r	f83r.20	F102	B3-S029	dcda95c81a5460feb191	ET?	WORKABLE	joins first rinse to the repeated rinse clause	PLAUSIBLE_ADDITIVE_STATEMENT_CONTINUATION	Aussageanfang, aber unmittelbare additive Fortsetzung am selben Besitzer	ET_AT_FIELD_ENTRY|ET_AT_SENTENCE_ENTRY	FORMAL_ENTRY_OR_RESET_MARK	ACCEPTABLE	FIELD_INITIAL_ALSO_OR_RESUME	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
324	B4	f83r	f83r.26	F112	B4-S003	dcda95c81a5460feb191	ET?	WORKABLE	joins application to standing until ready	PLAUSIBLE_MEDIAL_COORDINATION	medial zwischen örtlichem Gebrauch und Zustandsende	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
343	B4	f83r	f83r.37	F121	B4-S011	dcda95c81a5460feb191	ET?	WORKABLE	joins mixing to washing twice across a field/line carry	PLAUSIBLE_MEDIAL_COORDINATION	medial zwischen Mischung und zweiter Waschhandlung	ET_AT_FIELD_ENTRY|ET_AT_PHYSICAL_LINE_ENTRY	FORMAL_ENTRY_OR_RESET_MARK	ACCEPTABLE	FIELD_INITIAL_ALSO_OR_RESUME	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
366	B5	f83r	f83r.48	F132	B5-S003	dcda95c81a5460feb191	ET?	STRAINED	joins station assignment to the until-warm condition	STRONG_REPEATED_COORDINATION_CHAIN	erstes Bindeglied einer lokalen ET?–Gliedfolge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
370	B5	f83r	f83r.49	F133	B5-S003	dcda95c81a5460feb191	ET?	STRAINED	joins the nonword formal mark to the second-opening phrase	STRONG_REPEATED_COORDINATION_CHAIN	zweites Bindeglied derselben lokalen Folge	ET_AT_FIELD_ENTRY|ET_AT_PHYSICAL_LINE_ENTRY	FORMAL_ENTRY_OR_RESET_MARK	ACCEPTABLE	FIELD_INITIAL_ALSO_OR_RESUME	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
376	B6	f83r	f83r.52	F134	B6-S001	dcda95c81a5460feb191	ET?	STRAINED	first link in opening-ET-formal-ET-filter chain	STRONG_REPEATED_COORDINATION_CHAIN	erstes Bindeglied der sichtbaren ET?–Parameter–ET?-Folge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	ACCEPTABLE	FIELD_FINAL_OPEN_ADDITION_OR_CARRY	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
378	B6	f83r	f83r.54	F135	B6-S001	dcda95c81a5460feb191	ET?	STRAINED	second link in the same three-member chain	STRONG_REPEATED_COORDINATION_CHAIN	zweites Bindeglied derselben Folge	NONE	FORMAL_INTRA_FIELD_LINK_OR_SLOT_FILLER	GOOD	MEDIAL_ADDITIVE_LINK	ET_PROVISIONAL_SURVIVES__FORMAL_LINK_RIVAL_LIVE	Backward reconstruction must choose ET over a silent link without adding lexical senses.	NO
