event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	literal_card_order_token	v77_dictionary_decision	source_expansion_segment	segment_type	ellipsis_status	local_owner	owner_break_before	statement_line_crossing	statement_ends_after_event	et_per_reading	et_per_fit_cost_0_4	et_per_fit_reason	strongest_local_rival	source_status	semantic_ceiling
1	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	E001:CARD[65f320e75510b2f38182]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
2	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	E002:CARD[dedc383b600397a301ee]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Säubere ihn]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
3	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	E003:CARD[4d4559019a961b834aa1]=[EXEMPLARWERT UNBEKANNT]	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
4	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	E004:CARD[80ebbbbf238eee9f0aef]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Zerschneide ihn]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
5	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	E005:CARD[df1098831679a8ad1b39]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Gib die Stücke in ein Gefäß]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
6	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	E006:CARD[12efe866f335461823a6]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Gieße Quellwasser darüber]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
7	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	E007:CARD[62ff059766b21c7de083]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
8	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	E008:CARD[276a7c2d74d1143446f4]=[EXEMPLARWERT UNBEKANNT]	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
9	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	E009:CARD[2f1c5e56e8f0ff459065]=[FORMAL; KEIN WORT]	FORMAL_LABEL_NOT_WORD	[FORMAL; KEIN WORT]	FORMAL_NONWORD	NOT_APPLICABLE	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	NO	NONE	0	nonlexical formal event retained without paraphrase	any word reading is forbidden	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
10	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	E010:CARD[a6939862e33ece5a0483]=[EXEMPLARWERT UNBEKANNT]	OUTSIDE_BOUNDED_V77_DICTIONARY__EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	LOCAL_SOURCE_EXEMPLAR	NO	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	NO__SINGLE_FIELD	YES	NONE	0	concrete phrase is supplied only by the selected local source exemplar	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	EXPLORATORY_CONTINUOUS_WORKING_EDITION	ET_PER_ARE_PROVISIONAL_CATEGORIES;ALL_OTHER_CONCRETE_CONTENT_IS_EXEMPLAR_ONLY;NOT_TRANSLATION
