contradiction_id	scope	record_unit_id	event_serial	issue	required_repair	repair_cost_0_4	disposition
REC_H1	RECORD	H1	ALL	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_H2	RECORD	H2	ALL	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_H3	RECORD	H3	ALL	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_H4	RECORD	H4	ALL	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_H5	RECORD	H5	ALL	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_B1	RECORD	B1	ALL	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_B2	RECORD	B2	ALL	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	4	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_B3	RECORD	B3	ALL	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	4	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_B4	RECORD	B4	ALL	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	3	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
REC_B5	RECORD	B5	ALL	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	keep owners and station gaps explicit; treat all concrete content as exemplar expansion	2	RETAIN_WITH_VISIBLE_EXEMPLAR_CEILING
