event_serial	section	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	owner	owner_status	position_in_field	field_length	literal_card_order_token	selected_dictionary_status	selected_working_word	bracketed_source_expansion	continuous_event_phrase	terminal_status	strongest_local_rival	contradiction	semantic_ceiling
1	HERBAL	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	1	10	[OPAQUE_KARTE:65f320e75510b2f38182]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
2	HERBAL	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	2	10	[OPAQUE_KARTE:dedc383b600397a301ee]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Säubere ihn]	[EXEMPLAR:Säubere ihn]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
3	HERBAL	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	3	10	[OPAQUE_KARTE:4d4559019a961b834aa1]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
4	HERBAL	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	4	10	[OPAQUE_KARTE:80ebbbbf238eee9f0aef]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Zerschneide ihn]	[EXEMPLAR:Zerschneide ihn]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
5	HERBAL	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	5	10	[OPAQUE_KARTE:df1098831679a8ad1b39]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Gib die Stücke in ein Gefäß]	[EXEMPLAR:Gib die Stücke in ein Gefäß]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
6	HERBAL	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	6	10	[OPAQUE_KARTE:12efe866f335461823a6]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Gieße Quellwasser darüber]	[EXEMPLAR:Gieße Quellwasser darüber]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
7	HERBAL	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	7	10	[OPAQUE_KARTE:62ff059766b21c7de083]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
8	HERBAL	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	8	10	[OPAQUE_KARTE:276a7c2d74d1143446f4]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
9	HERBAL	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	9	10	[FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT]	FORMAL_LABEL_NOT_WORD	NONE	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	[FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] [EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
10	HERBAL	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	10	10	[OPAQUE_KARTE:a6939862e33ece5a0483]	EXEMPLAR_VALUE_UNKNOWN	NONE	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	NONCLOSE	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	WORKING_TRANSLATION_SHAPED_EXEMPLAR_EXPANSION_NOT_DECIPHERMENT
