statement_id	record_unit_id	page	field_ids	loci	line_crossing	event_count	event_serials	literal_card_order	continuous_working_translation	et_occurrences	per_occurrences	exemplar_expansion_count	semantic_ceiling
H1-S001	H1	f10r	F001	f10r.2	NO	10	1|2|3|4|5|6|7|8|9|10	[OPAQUE_KARTE:65f320e75510b2f38182] > [OPAQUE_KARTE:dedc383b600397a301ee] > [OPAQUE_KARTE:4d4559019a961b834aa1] > [OPAQUE_KARTE:80ebbbbf238eee9f0aef] > [OPAQUE_KARTE:df1098831679a8ad1b39] > [OPAQUE_KARTE:12efe866f335461823a6] > [OPAQUE_KARTE:62ff059766b21c7de083] > [OPAQUE_KARTE:276a7c2d74d1143446f4] > [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] > [OPAQUE_KARTE:a6939862e33ece5a0483]	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel] [EXEMPLAR:Säubere ihn] [EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter] [EXEMPLAR:Zerschneide ihn] [EXEMPLAR:Gib die Stücke in ein Gefäß] [EXEMPLAR:Gieße Quellwasser darüber] [EXEMPLAR:Fange den ersten Auszug in einem Glas auf] [EXEMPLAR:Gebrauche diesen Auszug innerlich] [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] [EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß] [EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen].	0	0	10	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H1-S002	H1	f10r	F002	f10r.5	NO	4	11|12|13|14	[OPAQUE_KARTE:9ad66e67803a12e745de] > [OPAQUE_KARTE:e8a6105b5c3a6220b440] > [WORTKANDIDAT:ET?] > [OPAQUE_KARTE:e0b630cb1b5df5e7105b]	[EXEMPLAR:Nimm erneut von dem frischen ersten Auszug] [EXEMPLAR:Erwärme ihn gelinde] und/auch? [EXEMPLAR:Führe ihn als denselben laufenden Ansatz fort] [EXEMPLAR:Sobald er zum Gebrauch bereit ist, gebrauche ihn].	1	0	4	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H2-S001	H2	f10r	F003	f10r.6	NO	9	15|16|17|18|19|20|21|22|23	[OPAQUE_KARTE:7249edc4df3419c26999] > [OPAQUE_KARTE:e0b630cb1b5df5e7105b] > [OPAQUE_KARTE:7a4bb8136330ee4e6e56] > [OPAQUE_KARTE:f3c23f42baf625639e1e] > [OPAQUE_KARTE:af816c04e65874a0f2fa] > [OPAQUE_KARTE:b921a237be883a820352] > [OPAQUE_KARTE:b921a237be883a820352] > [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] > [OPAQUE_KARTE:b921a237be883a820352]	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze] [EXEMPLAR:Sammle sie, wenn sie sich eben öffnen] [EXEMPLAR:Führe sie als frischen Ansatz] [EXEMPLAR:Zerstoße das Kraut] [EXEMPLAR:Presse den Saft durch ein Tuch] [EXEMPLAR:Fange die erste Fraktion auf] [EXEMPLAR:Gib Olivenöl hinzu] [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] [EXEMPLAR:Nimm das örtlich vorgeschriebene Maß] [EXEMPLAR:Erwärme gelinde].	0	0	9	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H2-S002	H2	f10r	F004	f10r.8	NO	8	24|25|26|27|28|29|30|31	[OPAQUE_KARTE:10488b911aae52b3b334] > [OPAQUE_KARTE:7a4bb8136330ee4e6e56] > [OPAQUE_KARTE:497cbd9c7401810ff56b] > [WORTKANDIDAT:ET?] > [OPAQUE_KARTE:dec401773c1f0347793d] > [WORTKANDIDAT:ET?] > [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] > [OPAQUE_KARTE:4d4559019a961b834aa1]	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen] [EXEMPLAR:Führe den ersten Ansatz weiter] [EXEMPLAR:Nimm eine Handvoll] und/auch? [EXEMPLAR:Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand] [EXEMPLAR:Nimm den vorherigen Posten hinzu] und/auch? [EXEMPLAR:Führe beide als neuen aktiven Posten] [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] [EXEMPLAR:Gib von beiden das gleiche örtliche Maß] [EXEMPLAR:Vereinige die beiden Fraktionen].	2	0	8	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H2-S003	H2	f10r	F005	f10r.9	NO	7	32|33|34|35|36|37|38	[OPAQUE_KARTE:27d97af8c96eb056c2e6] > [OPAQUE_KARTE:7a4bb8136330ee4e6e56] > [OPAQUE_KARTE:7a4bb8136330ee4e6e56] > [OPAQUE_KARTE:b921a237be883a820352] > [OPAQUE_KARTE:409de02322e7b2ca0c62] > [OPAQUE_KARTE:b921a237be883a820352] > [OPAQUE_KARTE:834825c61d048a6b5628]	[EXEMPLAR:Gib sie in ein glasiertes Gefäß] [EXEMPLAR:Führe die Mischung als Salbenansatz] [EXEMPLAR:Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten] [EXEMPLAR:Rühre bei kleinem Feuer] [EXEMPLAR:Bis eine weiche Salbe entsteht] [EXEMPLAR:Bewahre sie bedeckt] [EXEMPLAR:Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung].	0	0	7	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H3-S001	H3	f11r	F006	f11r.1	NO	7	39|40|41|42|43|44|45	[OPAQUE_KARTE:953ad19b79517fc8a211] > [OPAQUE_KARTE:428a5e3662aa57b4b256] > [OPAQUE_KARTE:bdad9f9ea8b80f141496] > [OPAQUE_KARTE:a8af08e69edab8e54f15] > [OPAQUE_KARTE:deb377381ceaf55ea310] > [OPAQUE_KARTE:b5df9126607030b95175] > [OPAQUE_KARTE:2e2027b1951d79911e24]	[EXEMPLAR:Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze] [EXEMPLAR:Koche sie in reinem Wein] [EXEMPLAR:Wring den Ansatz durch ein feines Tuch] [EXEMPLAR:Lass den Auszug stehen] [EXEMPLAR:Seihe ihn nochmals durch ein Tuch] [EXEMPLAR:Warte, bis der örtlich verlangte klare Zustand erreicht ist] [EXEMPLAR:Lass ihn abkühlen; damit endet der erste Posten].	0	0	7	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H3-S002	H3	f11r	F007	f11r.1	NO	1	46	[OPAQUE_KARTE:577c03a928d674d420d7]	[EXEMPLAR:Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück].	0	0	1	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H3-S003	H3	f11r	F008	f11r.4	NO	5	47|48|49|50|51	[OPAQUE_KARTE:d665560c8ff80799a82c] > [OPAQUE_KARTE:b921a237be883a820352] > [OPAQUE_KARTE:b2812c8283c3a62438bd] > [OPAQUE_KARTE:b921a237be883a820352] > [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT]	[EXEMPLAR:Nimm den ersten Auszug wieder auf] [EXEMPLAR:Nimm davon einen Anteil] [EXEMPLAR:Gib ihn als Trank] [EXEMPLAR:Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust] [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] [EXEMPLAR:Gib ein kleines örtliches Maß].	0	0	5	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H3-S004	H3	f11r	F009	f11r.7	NO	4	52|53|54|55	[OPAQUE_KARTE:a48efd6c4491a046ba78] > [OPAQUE_KARTE:322281bd391aa621f568] > [OPAQUE_KARTE:e0b630cb1b5df5e7105b] > [OPAQUE_KARTE:b921a237be883a820352]	[EXEMPLAR:Nimm die zurückbehaltenen Blüten] [EXEMPLAR:Erwärme sie in Olivenöl] [EXEMPLAR:Warte, bis der örtliche Bereitschaftszustand erreicht ist] [EXEMPLAR:Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren].	0	0	4	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
H4-S001	H4	f55v	F010	f55v.5	NO	5	56|57|58|59|60	[WORTKANDIDAT:PER?] > [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] > [OPAQUE_KARTE:403c1592f918c8f23b88] > [OPAQUE_KARTE:d929a14ec45749b2e805] > [OPAQUE_KARTE:97cc9ac109148723c472]	durch/gemäß? [EXEMPLAR:Setze den ersten Posten an] [FORMAL:FORMAL_PARAMETER_CHANNEL__NOT_A_WORD;KEIN_WORT] [EXEMPLAR:Nimm ein örtlich vorgeschriebenes Maß] [EXEMPLAR:Zerstoße breite Blätter der unbenannten Pflanze] [EXEMPLAR:Gib Weißwein hinzu] [EXEMPLAR:Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten].	0	1	5	STATEMENT_CONTINUITY_NOT_PLAINTEXT_CLAUSE
