event_serial	record_unit_id	page	locus	field_id	statement_id	role_card	allowed_reading_used	field_entry	field_exit	explicit_exemplar_completion	fit_cost_0_4	fit_grade	fit_reason	strongest_rival	extra_sense_introduced	decision
13	H1	f10r	f10r.5	F002	H1-S002	ET?	UND?	NO	NO	NONE	1	WORKABLE	joins heating to the following readiness/use clause	could be a record-state mark rather than a conjunction	NO	RETAIN_FOR_THIS_WORKING_EDITION
27	H2	f10r	f10r.8	F004	H2-S002	ET?	UND?	NO	NO	NONE	2	STRAINED	first member of an A-ET-B-ET-C additive chain	requires a silent repeated imperative	NO	RETAIN_FOR_THIS_WORKING_EDITION
29	H2	f10r	f10r.8	F004	H2-S002	ET?	UND?	NO	NO	NONE	2	STRAINED	second member of the same additive chain	the following nonword formal mark makes the right conjunct opaque	NO	RETAIN_FOR_THIS_WORKING_EDITION
56	H4	f55v	f55v.5	F010	H4-S001	PER?	GEMÄSS?	YES	NO	der örtlichen Vorlage	3	HIGH_REPAIR	field-entry instruction can be introduced by according-to	no overt complement identifies the governing Vorlage	NO	RETAIN_FOR_THIS_WORKING_EDITION
102	B1	f81v	f81v.2	F022	B1-S002	PER?	DURCH?	YES	NO	den unmittelbar folgenden Rücklauf	1	WORKABLE	field-entry through-reading takes the visible next segment as complement	could instead be a generic entry mark	NO	RETAIN_FOR_THIS_WORKING_EDITION
106	B1	f81v	f81v.2	F022	B1-S002	ET?	AUCH?	NO	NO	NONE	1	WORKABLE	adds a measured portion to the same-source phrase	deictic source is exemplar-supplied	NO	RETAIN_FOR_THIS_WORKING_EDITION
110	B1	f81v	f81v.2	F022	B1-S002	ET?	UND?	NO	NO	NONE	2	STRAINED	adds the next timing clause to the local-station phrase	left member is nominal/elliptical	NO	RETAIN_FOR_THIS_WORKING_EDITION
114	B1	f81v	f81v.7	F023	B1-S002	ET?	AUCH?	NO	NO	NONE	2	STRAINED	adds the following moderate quantity to the prior-post instruction	requires an omitted take/use predicate	NO	RETAIN_FOR_THIS_WORKING_EDITION
121	B1	f81v	f81v.7	F024	B1-S003	ET?	UND?	YES	YES	NONE	1	WORKABLE	joins rinse completion to keeping the post warm across a field/line carry	the physical break could instead be a restart	NO	RETAIN_FOR_THIS_WORKING_EDITION
124	B1	f81v	f81v.17	F026	B1-S004	ET?	UND?	NO	NO	NONE	1	WORKABLE	joins mixing to standing until ready	terminal construction could be mere sequencing	NO	RETAIN_FOR_THIS_WORKING_EDITION
133	B1	f81v	f81v.18	F030	B1-S008	ET?	AUCH?	NO	NO	NONE	1	WORKABLE	first link in portion-ET-warmth-ET-readiness chain	portion phrase is elliptical	NO	RETAIN_FOR_THIS_WORKING_EDITION
135	B1	f81v	f81v.18	F030	B1-S008	ET?	UND?	NO	NO	NONE	1	WORKABLE	second link in the same three-member chain	right member could open a fresh instruction	NO	RETAIN_FOR_THIS_WORKING_EDITION
148	B1	f81v	f81v.21	F036	B1-S014	ET?	UND?	NO	NO	NONE	2	STRAINED	adds lower outlet use to lower-basin mention	two nominal station fragments need a supplied predicate	NO	RETAIN_FOR_THIS_WORKING_EDITION
154	B1	f81v	f81v.24	F038	B1-S016	ET?	UND?	NO	NO	NONE	1	WORKABLE	joins tempering to standing until ready	could be a generic continuation mark	NO	RETAIN_FOR_THIS_WORKING_EDITION
180	B2	f82r	f82r.3	F050	B2-S005	PER?	DURCH?	NO	YES	den ersten örtlichen Leitungsweg	3	HIGH_REPAIR	field-final through-reading can close the preceding path description	first of adjacent PER cards; complement boundary is underdetermined	NO	RETAIN_FOR_THIS_WORKING_EDITION
