model	edition	paragraph	at	word	gloss
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G001	pcheol	⟦pcheol⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G002	sheod	⟦sheod⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G003	qocpheeckhy	⟦qocpheeckhy⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G004	shodol	⟦shodol⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G005	{c@132;h}da	⟦{c@132;h}da⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G006	@168;oto	⟦@168;oto⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G007	cho[?:ch]os	⟦cho[?:ch]os⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G008	sheey	⟦sheey⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G009	ch{cthh'}o	⟦ch{cthh'}o⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G010	s	und
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G001	dsheor	⟦dsheor⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G002	cthey	Arzneiform A
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G003	qokeey	⟦qokeey⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G004	oteey	⟦oteey⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G005	ykeeodain	⟦ykeeodain⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G006	[r:s]orarydaiin	⟦[r:s]orarydaiin⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G007	daiin	Masse C·Uₚ
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G008	deeomchol	⟦deeomchol⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G001	shor	Früchte
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G002	chkeey	⟦chkeey⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G003	qoteey	Material U
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G004	qokeody	⟦qokeody⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G005	qoteold	⟦qoteold⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G006	qokeol	⟦qokeol⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G007	so	⟦so⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G008	raiin	⟦raiin⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G009	otal	⟦otal⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G010	yk[eee:ech]o	⟦yk[eee:ech]o⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G001	dcheor	⟦dcheor⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G002	shol	feucht
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G003	qokeeol	⟦qokeeol⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G004	chor	Blüten
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G005	chol	getrocknet
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G006	qokeeody	⟦qokeeody⟧
N	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G007	dareu	⟦dareu⟧
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G001	pchedal	⟦pchedal⟧
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G002	shdy	⟦shdy⟧
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G003	ytechypchy	⟦ytechypchy⟧
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G004	otey	⟦otey⟧
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G005	?lshey	⟦?lshey⟧
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G006	qoteey	Material U
N	ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G007	qotal	⟦qotal⟧
