from_record	to_record	same_page	same_visible_owner_text	boundary_reading	material_carry	instruction_de
H1	H2	YES	YES	SAME_PLANT_RESUMPTION_POSSIBLE	POSSIBLE_BY_MASTER_OR_PARAGRAPH_CONTEXT	gleichen Pflanzenbesitzer wieder aufnehmen, konkrete Charge nur bei Meistervorgabe
H2	H3	NO	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
H3	H4	NO	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
H4	H5	NO	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
H5	B1	NO	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
B1	B2	NO	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
B2	B3	NO	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
B3	B4	YES	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
B4	B5	YES	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
B5	B6	YES	NO	HARD_RECORD_RESET	NO_AUTOMATIC_CARRY	alle lokalen Besitzer- und Stoffregister loeschen
