statement_id	page	record	owner_id	owner_de	cue_class	cue_tokens	transition	state_before	state_after	closure_status	complete_instruction_de	cross_owner_material_carry	global_pipe_or_process_join
H1-S001	f10r	H1	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	STRONG_LINK_CUE	AR|OL|OT	RECORD_INITIALIZE	UNSET	H1:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	NOT_APPLICABLE	NONE
H1-S002	f10r	H1	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	STRONG_LINK_CUE	OL|OT	EXPLICIT_LOCAL_CONTINUATION	H1:OWNER_01::ACTIVE_LOCAL_MATERIAL	H1:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	NOT_APPLICABLE	NONE
H2-S001	f10r	H2	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	STRONG_LINK_CUE	OL	RECORD_INITIALIZE	UNSET	H2:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	NOT_APPLICABLE	NONE
H2-S002	f10r	H2	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	STRONG_LINK_CUE	AR|OL|OT	EXPLICIT_LOCAL_CONTINUATION	H2:OWNER_01::ACTIVE_LOCAL_MATERIAL	H2:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	NOT_APPLICABLE	NONE
H2-S003	f10r	H2	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM_CUE	Y	CURRENT_ITEM_CONTINUATION	H2:OWNER_01::CURRENT_ITEM	H2:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	NOT_APPLICABLE	NONE
H3-S001	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	STRONG_LINK_CUE	OL	RECORD_INITIALIZE	UNSET	H3:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	NOT_APPLICABLE	NONE
H3-S002	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	CURRENT_ITEM_CUE	Y	CURRENT_ITEM_CONTINUATION	H3:OWNER_01::CURRENT_ITEM	H3:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Halte den nächsten Posten und trage ihn in denselben Gang ein.	NOT_APPLICABLE	NONE
H3-S003	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	STRONG_LINK_CUE	OL	EXPLICIT_LOCAL_CONTINUATION	H3:OWNER_01::ACTIVE_LOCAL_MATERIAL	H3:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Gib davon nach Maß weiter zu.	NOT_APPLICABLE	NONE
H3-S004	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	STRONG_LINK_CUE	OL|OT	EXPLICIT_LOCAL_CONTINUATION	H3:OWNER_01::ACTIVE_LOCAL_MATERIAL	H3:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	NOT_APPLICABLE	NONE
H4-S001	f55v	H4	H4:OWNER_01	abgebildete breitblättrige rispige Pflanze	CURRENT_ITEM_CUE	Y	RECORD_INITIALIZE	UNSET	H4:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	NOT_APPLICABLE	NONE
H4-S002	f55v	H4	H4:OWNER_01	abgebildete breitblättrige rispige Pflanze	CURRENT_ITEM_CUE	Y	CURRENT_ITEM_CONTINUATION	H4:OWNER_01::CURRENT_ITEM	H4:OWNER_01::ACTIVE_ITEM_AVAILABLE	OPEN_HERBAL_ARTICLE_STEP	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	NOT_APPLICABLE	NONE
