record	page	section	statements	events	owner_states	owner_resets	explicit_continuations	current_item_continuations	unspecified_same_owner_steps	continuous_working_reading_de	global_process_claim
H1	f10r	HERBAL	2	14	1	0	1	0	0	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein. Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	NONE__RECORD_LOCAL_ONLY
H2	f10r	HERBAL	3	24	1	0	1	1	0	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist. Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter. Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	NONE__RECORD_LOCAL_ONLY
H3	f11r	HERBAL	4	17	1	0	2	1	0	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein. Halte den nächsten Posten und trage ihn in denselben Gang ein. Gib davon nach Maß weiter zu. Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	NONE__RECORD_LOCAL_ONLY
H4	f55v	HERBAL	4	18	1	0	2	1	0	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang. Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß. Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe. Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	NONE__RECORD_LOCAL_ONLY
H5	f56r	HERBAL	6	27	1	0	3	2	0	Zieh eine Gabe ab, führe sie zum Ziel, zieh nach Maß eine weitere Gabe ab und gib sie in den Ansatz. Lege die folgende Gabe an, lass sie ablaufen und fahre fort. Lass die Gabe ziehen, gib sie zu und setze sie zweimal ein. Gib den nächsten Posten in den Ansatz, setze ihn an, zieh ihn ab und führe ihn weiter. Setze die Gabe an, gib sie zu und ordne danach die nächste Portion in den Gang. Gib danach diesen Posten nach Maß zu.	NONE__RECORD_LOCAL_ONLY
B1	f81v	BIOLOGICAL	21	66	1	0	9	5	6	[B1-S001] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen. [B1-S002] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies. [B1-S003] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort. [B1-S004] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort. [B1-S005] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station. [B1-S006] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies. [B1-S007] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen. [B1-S008] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort. [B1-S009] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen. [B1-S010] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen. [B1-S011] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einleiten. Angaben: Durchlass · dies. [B1-S012] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: waschen → wirken lassen → durchwaschen. [B1-S013] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: durchwaschen. [B1-S014] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → auffangen → hinleiten + umfüllen. Angaben: fort | danach · davon. [B1-S015] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: übertragen → einsetzen + überführen. [B1-S016] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: anlegen → wirken lassen → absetzen lassen. Angaben: fort. [B1-S017] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umfüllen. Angaben: Ziel | kurz · fort. [B1-S018] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führen → stehen lassen → auffangen und stehen lassen. Angaben: Gang · Sollstufe. [B1-S019] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: absetzen lassen. [B1-S020] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → zurückhalten. [B1-S021] Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nur die Angaben. Angaben: Ziel.	NONE__RECORD_LOCAL_ONLY
B2	f82r	BIOLOGICAL	22	62	5	4	8	4	5	[B2-S001] Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station. [B2-S002] Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station. [B2-S003] Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: gib einen Teil hinein → einwirken lassen. Angaben: dies. [B2-S004] Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten. [B2-S005] Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen. Angaben: Durchlass · dies | Gang · bereit · kurz · fort. [B2-S006] Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → zurückhalten → setze dies ein. Angaben: danach · länger · dies. [B2-S007] Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen. [B2-S008] Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß. [B2-S009] Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen. [B2-S010] Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter. [B2-S011] Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon. [B2-S012] Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies. [B2-S013] Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: abführen + überführen. [B2-S014] Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: ableiten. [B2-S015] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: stehen lassen → einwirken lassen. [B2-S016] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies. [B2-S017] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abkühlen lassen + ruhen lassen. Angaben: Ziel; Schritt schließen. [B2-S018] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen. [B2-S019] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: auskühlen lassen + absetzen lassen. [B2-S020] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: setze nur die Angaben. Angaben: danach · länger; Schritt schließen. [B2-S021] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen. [B2-S022] Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abführen + überführen.	NONE__RECORD_LOCAL_ONLY
B3	f83r	BIOLOGICAL	34	86	5	4	10	6	13	[B3-S001] Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: auffangen und stehen lassen. [B3-S002] Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: anwärmen. Angaben: danach · Ziel. [B3-S003] Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: abführen + abmessen und umsetzen. Angaben: dies | Maß | dies. [B3-S004] Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: setze nach Maß an. Angaben: danach · Ziel | davon. [B3-S005] Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umfüllen. [B3-S006] Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umschöpfen → anlegen → führe zur nächsten Station. [B3-S007] Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze nach Maß an → umschöpfen → einwirken lassen. [B3-S008] Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: abführen + überführen. [B3-S009] Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze dies ein. [B3-S010] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen. [B3-S011] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies. [B3-S012] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: absetzen lassen. Angaben: Ansatz. [B3-S013] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: setze nach Maß an → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dies. [B3-S014] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einleiten → ruhen lassen. [B3-S015] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: abführen + überführen. [B3-S016] Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: führen → einsetzen + überführen. [B3-S017] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einwirken lassen. [B3-S018] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: absetzen lassen. [B3-S019] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einwirken lassen + ruhen lassen. [B3-S020] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: hinleiten + umfüllen. Angaben: Ziel. [B3-S021] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies. [B3-S022] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: führe zur nächsten Station. [B3-S023] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: abführen + überführen. [B3-S024] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: führe zur nächsten Station. [B3-S025] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einsetzen + überführen. [B3-S026] Bildort: unverbundener Zwischenbereich. Arbeitsfolge: ableiten → umschöpfen → gib einen Teil hinein → abkühlen lassen → auffangen und stehen lassen. Angaben: länger · davon | bereit · dies. [B3-S027] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: setze nur die Angaben. Angaben: danach · länger; Schritt schließen. [B3-S028] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: wirken lassen → einwirken lassen. [B3-S029] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: eintragen → einwirken lassen. Angaben: fort. [B3-S030] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: setze dies ein → durchleiten → führe zur nächsten Station. Angaben: Maß. [B3-S031] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: einwirken lassen. [B3-S032] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: abmessen und umsetzen → abmessen und umsetzen. Angaben: danach · kurz · Maß | danach · Maß | danach · kurz; Schritt schließen. [B3-S033] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: abführen. [B3-S034] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: eintragen → ablagern. Angaben: Gang · Sollstufe | bereit · dies | danach · Maß | fort · Ziel · dies.	NONE__RECORD_LOCAL_ONLY
B4	f83r	BIOLOGICAL	16	47	3	2	4	5	4	[B4-S001] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: einwirken lassen. [B4-S002] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: wirken lassen → einwirken lassen. Angaben: fort · dies. [B4-S003] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: umschöpfen → anlegen → setze dies ein → absetzen lassen. Angaben: danach · Ziel | danach · dies | fort. [B4-S004] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: einsetzen + festbinden. [B4-S005] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: abmessen und umsetzen → einwirken lassen. Angaben: Portion. [B4-S006] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: zurückhalten. [B4-S007] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: zurückhalten. [B4-S008] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: warm halten → einwirken lassen → einwirken lassen. Angaben: Maß. [B4-S009] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: absetzen lassen. [B4-S010] Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: setze nur die Angaben. Angaben: fort; Schritt schließen. [B4-S011] Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: warm halten → wirken lassen → gib einen Teil hinein → umschöpfen → abführen + zugeben. Angaben: Maß | fort. [B4-S012] Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: abführen + überführen. [B4-S013] Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: weiter beschicken → absetzen lassen. [B4-S014] Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: setze nur die Angaben. Angaben: Ansatz | dies | Gang · Durchlass · kurz · dies | Lauf · dies; Schritt schließen. [B4-S015] Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: gib einen Teil hinein → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen. [B4-S016] Bildort: rechte Hauptstation mit S-Lauf und Mehrarmknoten. Arbeitsfolge: dosiert zugeben → zuführen → absetzen lassen. Angaben: Ziel.	NONE__RECORD_LOCAL_ONLY
B5	f83r	BIOLOGICAL	3	11	1	0	1	0	1	[B5-S001] Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: führe zur nächsten Station. [B5-S002] Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: einsetzen + überführen. [B5-S003] Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: ablagern → hinleiten → umfüllen → abmessen und umsetzen. Angaben: Ziel | fort | Maß | fort | zweite · Sollstufe.	NONE__RECORD_LOCAL_ONLY
