record	from_statement	to_statement	from_owner_id	from_owner_de	to_owner_id	to_owner_de	reset_instruction_de	cross_owner_carry
B2	B2-S006	B2-S007	B2:OWNER_01	oberes Beckenpaar mit Zylinder	B2:OWNER_02	mittleres linkes Handgerät mit Inline-Knoten	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B2	B2-S010	B2-S011	B2:OWNER_02	mittleres linkes Handgerät mit Inline-Knoten	B2:OWNER_03	mittlere rechte unklare Station	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B2	B2-S012	B2-S013	B2:OWNER_03	mittlere rechte unklare Station	B2:OWNER_04	unteres grünes Mehrfigurenbecken	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B2	B2-S014	B2-S015	B2:OWNER_04	unteres grünes Mehrfigurenbecken	B2:OWNER_05	kleine Randstationen des unteren Beckens	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B3	B3-S004	B3-S005	B3:OWNER_01	obere offene Fächerstation am Rand	B3:OWNER_02	mittlere Randfigur im runden Gefäß	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B3	B3-S009	B3-S010	B3:OWNER_02	mittlere Randfigur im runden Gefäß	B3:OWNER_03	untere Randfigur im korbartigen Gefäß	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B3	B3-S016	B3-S017	B3:OWNER_03	untere Randfigur im korbartigen Gefäß	B3:OWNER_04	unverbundener Zwischenbereich	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B3	B3-S026	B3-S027	B3:OWNER_04	unverbundener Zwischenbereich	B3:OWNER_05	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B4	B4-S010	B4-S011	B4:OWNER_01	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	B4:OWNER_02	linke Hauptstation mit offenem Fransenlauf	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
B4	B4-S015	B4-S016	B4:OWNER_02	linke Hauptstation mit offenem Fransenlauf	B4:OWNER_03	rechte Hauptstation mit S-Lauf und Mehrarmknoten	vorigen lokalen Arbeitszustand schliessen; neuen Bildbesitzer aktivieren; keine unsichtbare Leitung erfinden	FORBIDDEN_WITHOUT_MASTER_HANDOFF
