gdt747_token_id	page	locus	line_number	token_ordinal	surface	reader_exact	source_class	semantic_axes	before_render_de	after_render_de	strong_concrete_credit	weak_visible_credit	candidate_token	retired_literal_withheld	literal_identity	confirmed_lexeme	component_export_credit
G747-T0001	f102v1	f102v1.22	22	1	ykeeody	0	GDT746_FORM_DISTRIBUTION_INTERSECTION	END_STAGE|HOT	[ykeeody:?]	heißer Endzustand; Abschluss gegen Ansatz offen	1	0	1	0	OPEN	0	0
G747-T0002	f102v1	f102v1.22	22	2	chodaiin	1	GDT734_WEAK_SAFE_WHOLE	AMOUNT|DRY|PREPARATION	[Trockenansatz, Dosis III; schwach]	[Trockenansatz, Dosis III; schwach]	0	1	0	0	OPEN	0	0
G747-T0003	f102v1	f102v1.22	22	3	qokeos	1	OPEN	NONE	[qokeos:?]	[qokeos:?]	0	0	0	0	OPEN	0	0
G747-T0004	f102v1	f102v1.22	22	4	cheol	1	GDT734_WEAK_SAFE_WHOLE	DRY|MATERIAL	[trockener Drogenstoff; schwach]	[trockener Drogenstoff; schwach]	0	1	0	0	OPEN	0	0
G747-T0005	f102v1	f102v1.22	22	5	qool	1	OPEN	NONE	[qool:?]	[qool:?]	0	0	0	0	OPEN	0	0
G747-T0006	f102v1	f102v1.22	22	6	chsey	0	WITHHELD_RETIRED_LITERAL	NONE	[chsey:?]	[chsey: zurückgehaltene Altidentität]	0	0	0	1	OPEN	0	0
G747-T0007	f102v1	f102v1.22	22	7	oteody	1	GDT734_WEAK_SAFE_WHOLE	CLOSE|COLD|END_STAGE|PREPARATION	[abgekühlter, fertiger Ansatz; schwach]	[abgekühlter, fertiger Ansatz; schwach]	0	1	0	0	OPEN	0	0
G747-T0008	f102v1	f102v1.22	22	8	okchy	1	GDT734_W23_SAFE_WHOLE	BEGIN_STAGE|DRY|HOT|PREPARATION	heiß-trockener Ansatz am Anfang des Grades	heiß-trockener Ansatz am Anfang des Grades	1	0	0	0	OPEN	0	0
G747-T0009	f103r	f103r.29	29	1	qokeeechy	0	OPEN	NONE	[qokeeechy:?]	[qokeeechy:?]	0	0	0	0	OPEN	0	0
G747-T0010	f103r	f103r.29	29	2	shokeey	1	GDT734_W23_SAFE_WHOLE	END_STAGE|HOT|MOIST|PREPARATION	heiß-feuchter Ansatz am Gradende	heiß-feuchter Ansatz am Gradende	1	0	0	0	OPEN	0	0
G747-T0011	f103r	f103r.29	29	3	qochey	1	GDT746_FORM_DISTRIBUTION_INTERSECTION	DRY	[qochey:?]	trocken; Mittelstufe wahrscheinlich, Funktion offen	1	0	1	0	OPEN	0	0
G747-T0012	f103r	f103r.29	29	4	qokeey	1	GDT734_W23_SAFE_WHOLE	END_STAGE|HOT	heiß am Ende des Grades	heiß am Ende des Grades	1	0	0	0	OPEN	0	0
G747-T0013	f103r	f103r.29	29	5	chal	1	GDT734_WEAK_SAFE_WHOLE	BEGIN_STAGE|DRY|MATERIAL	[Rohstoffklasse I, trocken am Gradanfang; schwach]	[Rohstoffklasse I, trocken am Gradanfang; schwach]	0	1	0	0	OPEN	0	0
G747-T0014	f103r	f103r.29	29	6	chedy	1	GDT734_WEAK_SAFE_WHOLE	CLOSE|DRY|END_STAGE|MIDDLE_STAGE	[trocken in der Mitte des Grades, abgeschlossen; schwach]	[trocken in der Mitte des Grades, abgeschlossen; schwach]	0	1	0	0	OPEN	0	0
G747-T0015	f103r	f103r.40	40	1	qokeey	1	GDT734_W23_SAFE_WHOLE	END_STAGE|HOT	heiß am Ende des Grades	heiß am Ende des Grades	1	0	0	0	OPEN	0	0
G747-T0016	f103r	f103r.40	40	2	sheeol	0	GDT746_FORM_DISTRIBUTION_INTERSECTION	END_STAGE	[sheeol:?]	behandelter Stoff im Endzustand; feucht gegen trocken offen	1	0	1	0	OPEN	0	0
G747-T0017	f103r	f103r.40	40	3	shckhy	1	GDT734_WEAK_SAFE_WHOLE	BEGIN_STAGE|MOIST|PREPARATION	[Arzneikompositum: feucht, Gradanfang; schwach]	[Arzneikompositum: feucht, Gradanfang; schwach]	0	1	0	0	OPEN	0	0
G747-T0018	f103r	f103r.40	40	4	sheol	1	GDT734_W23_SAFE_WHOLE	MATERIAL|MOIST	feuchtes Material	feuchtes Material	1	0	0	0	OPEN	0	0
G747-T0019	f103r	f103r.40	40	5	shodyol	0	OPEN	NONE	[shodyol:?]	[shodyol:?]	0	0	0	0	OPEN	0	0
G747-T0020	f103r	f103r.40	40	6	aiin	1	GDT734_WEAK_SAFE_WHOLE	AMOUNT	[Menge III; schwach]	[Menge III; schwach]	0	1	0	0	OPEN	0	0
G747-T0021	f103r	f103r.40	40	7	otedy	0	GDT734_WEAK_SAFE_WHOLE	CLOSE|COLD|END_STAGE|MIDDLE_STAGE|PREPARATION	[kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]	[kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]	0	1	0	0	OPEN	0	0
G747-T0022	f103r	f103r.40	40	8	qoteey	1	GDT734_W23_SAFE_WHOLE	COLD|END_STAGE	kalt am Ende des Grades	kalt am Ende des Grades	1	0	0	0	OPEN	0	0
G747-T0023	f103r	f103r.40	40	9	lotar	0	OPEN	NONE	[lotar:?]	[lotar:?]	0	0	0	0	OPEN	0	0
G747-T0024	f103r	f103r.40	40	10	otam	1	GDT734_WEAK_SAFE_WHOLE	AMOUNT|COLD|PREPARATION	[ein Maß kalten Ansatzes; schwach]	[ein Maß kalten Ansatzes; schwach]	0	1	0	0	OPEN	0	0
G747-T0025	f103r	f103r.7	7	1	saiin	0	WITHHELD_RETIRED_LITERAL	NONE	[saiin:?]	[saiin: zurückgehaltene Altidentität]	0	0	0	1	OPEN	0	0
G747-T0026	f103r	f103r.7	7	2	chey	1	GDT734_WEAK_SAFE_WHOLE	DRY|MIDDLE_STAGE	[trocken in der Mitte des Grades; schwach]	[trocken in der Mitte des Grades; schwach]	0	1	0	0	OPEN	0	0
