gdt747_line_id	page	locus	line_number	line_tokens	candidate_occurrences	candidate_surfaces	candidate_reader_exact_occurrences	before_strong_concrete_tokens	after_strong_concrete_tokens	strong_concrete_delta	after_weak_visible_tokens	after_open_tokens	retired_literal_withheld_tokens	after_strong_coverage_fraction	local_support_tier_counts	locally_supported_candidate_occurrences	eva_line	before_render_de	after_render_de	literal_plaintext_credit	component_export_credit
G747-L001	f102v1	f102v1.22	22	8	1	ykeeody	0	1	2	1	3	2	1	0.250	L0_NO_LOCAL_W23_SUPPORT:1	0	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	[ykeeody:?]; [Trockenansatz, Dosis III; schwach]; [qokeos:?]; [trockener Drogenstoff; schwach]; [qool:?]; [chsey:?]; [abgekühlter, fertiger Ansatz; schwach]; heiß-trockener Ansatz am Anfang des Grades	heißer Endzustand; Abschluss gegen Ansatz offen; [Trockenansatz, Dosis III; schwach]; [qokeos:?]; [trockener Drogenstoff; schwach]; [qool:?]; [chsey: zurückgehaltene Altidentität]; [abgekühlter, fertiger Ansatz; schwach]; heiß-trockener Ansatz am Anfang des Grades	0	0
G747-L002	f103r	f103r.7	7	9	1	okeeody	1	1	2	1	3	2	2	0.222	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	saiin chey shs olshedy qokeey okeeody qoedy ol shedy	[saiin:?]; [trocken in der Mitte des Grades; schwach]; [shs:?]; [olshedy:?]; heiß am Ende des Grades; [okeeody:?]; [qoedy:?]; [Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]; [feucht in der Mitte des Grades, abgeschlossen; schwach]	[saiin: zurückgehaltene Altidentität]; [trocken in der Mitte des Grades; schwach]; [shs:?]; [olshedy: zurückgehaltene Altidentität]; heiß am Ende des Grades; Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich; [qoedy:?]; [Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]; [feucht in der Mitte des Grades, abgeschlossen; schwach]	0	0
G747-L003	f103r	f103r.29	29	6	1	qochey	1	2	3	1	2	1	0	0.500	L0_NO_LOCAL_W23_SUPPORT:1	0	qokeeechy shokeey qochey qokeey chal chedy	[qokeeechy:?]; heiß-feuchter Ansatz am Gradende; [qochey:?]; heiß am Ende des Grades; [Rohstoffklasse I, trocken am Gradanfang; schwach]; [trocken in der Mitte des Grades, abgeschlossen; schwach]	[qokeeechy:?]; heiß-feuchter Ansatz am Gradende; trocken; Mittelstufe wahrscheinlich, Funktion offen; heiß am Ende des Grades; [Rohstoffklasse I, trocken am Gradanfang; schwach]; [trocken in der Mitte des Grades, abgeschlossen; schwach]	0	0
G747-L004	f103r	f103r.40	40	10	1	sheeol	0	3	4	1	4	2	0	0.400	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	qokeey sheeol shckhy sheol shodyol aiin otedy qoteey lotar otam	heiß am Ende des Grades; [sheeol:?]; [Arzneikompositum: feucht, Gradanfang; schwach]; feuchtes Material; [shodyol:?]; [Menge III; schwach]; [kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]; kalt am Ende des Grades; [lotar:?]; [ein Maß kalten Ansatzes; schwach]	heiß am Ende des Grades; behandelter Stoff im Endzustand; feucht gegen trocken offen; [Arzneikompositum: feucht, Gradanfang; schwach]; feuchtes Material; [shodyol:?]; [Menge III; schwach]; [kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]; kalt am Ende des Grades; [lotar:?]; [ein Maß kalten Ansatzes; schwach]	0	0
G747-L005	f103v	f103v.19	19	7	1	cheeey	1	0	1	1	2	2	2	0.143	L0_NO_LOCAL_W23_SUPPORT:1	0	daiin chey lkeey chalkar cheeey l chealainor	[Grad-/Maßwert III; schwach]; [trocken in der Mitte des Grades; schwach]; [lkeey:?]; [chalkar:?]; [cheeey:?]; [l:?]; [chealainor:?]	[Grad-/Maßwert III; schwach]; [trocken in der Mitte des Grades; schwach]; [lkeey: zurückgehaltene Altidentität]; [chalkar:?]; trockener Zustand; Endbereich wahrscheinlich; [l: zurückgehaltene Altidentität]; [chealainor:?]	0	0
G747-L006	f104r	f104r.13	13	10	1	okeeody	1	3	4	1	4	1	1	0.400	L0_NO_LOCAL_W23_SUPPORT:1	0	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	[olcheol:?]; Qualitätsgrad II; erste heiß getrocknete Ansatzfraktion; [heiß-trockene Zubereitung; schwach]; Skalarstufe II; Dimension offen; [heiße Drogenfraktion I im Ansatz; schwach]; [getrockneter Ansatz; schwach]; [okeeody:?]; [qodam:?]; [trocken am Anfang des Grades, abgeschlossen; schwach]	[olcheol: zurückgehaltene Altidentität]; Qualitätsgrad II; erste heiß getrocknete Ansatzfraktion; [heiß-trockene Zubereitung; schwach]; Skalarstufe II; Dimension offen; [heiße Drogenfraktion I im Ansatz; schwach]; [getrockneter Ansatz; schwach]; Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich; [qodam:?]; [trocken am Anfang des Grades, abgeschlossen; schwach]	0	0
G747-L007	f104r	f104r.21	21	5	1	dsheedy	1	0	1	1	2	2	0	0.200	L0_NO_LOCAL_W23_SUPPORT:1	0	dsheedy qokaiin chear olkchedy charaiin	[dsheedy:?]; [heiß, Grad III; schwach]; [trockene Fraktion I; schwach]; [olkchedy:?]; [charaiin:?]	Endzustand; angefeuchtet oder eingeweicht nach Ganzwortfamilie; [heiß, Grad III; schwach]; [trockene Fraktion I; schwach]; [olkchedy:?]; [charaiin:?]	0	0
G747-L008	f104v	f104v.20	20	12	1	qochey	1	5	6	1	4	1	1	0.500	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	[Drogenportion; schwach]; vollständig eingeweichter Ansatz; Zustandsstufe II der Zubereitung; Zustandsachse offen; heiß am Ende des Grades; [qochey:?]; kalt und trocken am Ende des Grades, abgeschlossen; [kalt und trocken in der Mitte des Grades, abgeschlossen; schwach]; erhitzen; [chor:?]; [chorol:?]; [abgemessene Trockenfraktion I, Anfangsstufe; schwach]; [ein Maß kalten Ansatzes; schwach]	[Drogenportion; schwach]; vollständig eingeweichter Ansatz; Zustandsstufe II der Zubereitung; Zustandsachse offen; heiß am Ende des Grades; trocken; Mittelstufe wahrscheinlich, Funktion offen; kalt und trocken am Ende des Grades, abgeschlossen; [kalt und trocken in der Mitte des Grades, abgeschlossen; schwach]; erhitzen; [chor: zurückgehaltene Altidentität]; [chorol:?]; [abgemessene Trockenfraktion I, Anfangsstufe; schwach]; [ein Maß kalten Ansatzes; schwach]	0	0
G747-L009	f104v	f104v.23	23	11	1	qochey	1	2	3	1	4	3	1	0.273	L3_CONTRASTIVE_SERIAL_PARADIGM:1	1	tchey qokchey qochey qodeey qodaiin chodaiin chckhdy dairar otar qotai l	kalt und trocken in der Mitte des Grades; heiß und trocken in der Mitte des Grades; [qochey:?]; [qodeey:?]; [Qualitätsgrad III; schwach]; [Trockenansatz, Dosis III; schwach]; [Arzneikompositum: trocken, Gradanfang, abgeschlossen; schwach]; [dairar:?]; [kalte Drogenfraktion I im Ansatz; schwach]; [qotai:?]; [l:?]	kalt und trocken in der Mitte des Grades; heiß und trocken in der Mitte des Grades; trocken; Mittelstufe wahrscheinlich, Funktion offen; [qodeey:?]; [Qualitätsgrad III; schwach]; [Trockenansatz, Dosis III; schwach]; [Arzneikompositum: trocken, Gradanfang, abgeschlossen; schwach]; [dairar:?]; [kalte Drogenfraktion I im Ansatz; schwach]; [qotai:?]; [l: zurückgehaltene Altidentität]	0	0
G747-L010	f104v	f104v.24	24	11	1	cheeey	1	5	6	1	4	1	0	0.545	L2_MULTIWHOLE_LOCAL_SUPPORT:1	1	ykaiin cheor cheeey daiiin cheo dalaiin chockhedy chedaiin otor qokar ary	[erhitze hiervon auf Stufe III; schwach]; trockener Drogenteil; [cheeey:?]; [Grad-/Maßwert IV; schwach]; trocken angesetzte Zubereitung; [dalaiin:?]; Arzneikompositum im Trockenansatz in der Gradmitte, abgeschlossen; [abgemessene Trockendroge, Dosis III; schwach]; kalte Drogenportion im Ansatz; [heiße Drogenfraktion I; schwach]; Drogenfraktion I, abgeschlossen	[erhitze hiervon auf Stufe III; schwach]; trockener Drogenteil; trockener Zustand; Endbereich wahrscheinlich; [Grad-/Maßwert IV; schwach]; trocken angesetzte Zubereitung; [dalaiin:?]; Arzneikompositum im Trockenansatz in der Gradmitte, abgeschlossen; [abgemessene Trockendroge, Dosis III; schwach]; kalte Drogenportion im Ansatz; [heiße Drogenfraktion I; schwach]; Drogenfraktion I, abgeschlossen	0	0
