gdt747_value_id	candidate_surface	gdt746_distribution_status	gdt746_form_consensus_axes	gdt746_top5_consensus_axes	passage_core_axes	passage_safe_value_de	details_retained_as_rivals_de	passage_credit	literal_identity	confirmed_lexeme	component_export_credit
G747-V01	alom	S3_MULTI_NEIGHBOR_DISTRIBUTION_REINFORCED	MATERIAL	MATERIAL	MATERIAL	Stoff-/Materialform; Maßlesung offen	Klasse I und das Maß stammen aus der direkten Familie	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V02	chckh	S2_DISTRIBUTION_SUPPORTED	DRY|PREPARATION	DRY	DRY	trocken; Mischung oder Zubereitung offen	Zubereitung und Ausgangsstoff bleiben konkurrierende Träger	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V03	cheeey	S2_DISTRIBUTION_SUPPORTED	DRY|END_STAGE	DRY	DRY	trockener Zustand; Endbereich wahrscheinlich	End-/Vollstufe wird von direkten Nachbarn gestützt, aber nicht vom unabhängigen Top-5-Konsens	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V04	chetar	S2_DISTRIBUTION_SUPPORTED	DRY|PART|MIDDLE_STAGE	DRY	DRY	trockene Fraktion; Mittelstufe wahrscheinlich	Teil/Fraktion und Mittelstufe stammen aus der direkten Ganzwortfamilie	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V05	chtar	S3_MULTI_NEIGHBOR_DISTRIBUTION_REINFORCED	DRY|PART	DRY|HOT	DRY	trockene Teil-/Fraktionsform; Temperatur und Träger offen	Teilbezug ist familiengestützt; heiß und kalt widersprechen sich	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V06	chtl	S2_DISTRIBUTION_SUPPORTED	DRY	PREPARATION	NONE	[trocken/getrocknet nur als direkte Formanalogie; Passagekern offen]	Kein gemeinsamer Form-/Top-5-Verteilungskern	FORM_ONLY_NO_PASSAGE_CREDIT	OPEN	0	0
G747-V07	dsheedy	S3_MULTI_NEIGHBOR_DISTRIBUTION_REINFORCED	MOIST|MATERIAL|END_STAGE	END_STAGE|HOT	END_STAGE	Endzustand; angefeuchtet oder eingeweicht nach Ganzwortfamilie	Feuchtigkeit ist in allen direkten Nachbarn vorhanden, aber nicht im unabhängigen Top-5-Konsens	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V08	okeeody	S2_DISTRIBUTION_SUPPORTED	HOT|PREPARATION|END_STAGE	END_STAGE|PREPARATION	END_STAGE|PREPARATION	Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich	Hitze ist direkte Familieninformation; Abschluss nicht durchgehend	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V09	qochey	S2_DISTRIBUTION_SUPPORTED	DRY|MIDDLE_STAGE	DRY	DRY	trocken; Mittelstufe wahrscheinlich, Funktion offen	Mittelstufe hält in direkten Nachbarn; Zustand, Zugabe und Mengenfeld bleiben Rivalen	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V10	sheeol	S2_DISTRIBUTION_SUPPORTED	MATERIAL|END_STAGE	END_STAGE	END_STAGE	behandelter Stoff im Endzustand; feucht gegen trocken offen	Material und Feuchte werden von direkten Nachbarn, nicht vom Top-5-Achsenkonsens getragen	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V11	ykeeey	S3_MULTI_NEIGHBOR_DISTRIBUTION_REINFORCED	HOT|END_STAGE	END_STAGE	END_STAGE	bis zur Endstufe führen; heiß und Abschluss wahrscheinlich	Hitze und Abschluss stammen aus zwei stark verteilten direkten Nachbarn	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
G747-V12	ykeeody	S2_DISTRIBUTION_SUPPORTED	HOT|END_STAGE	END_STAGE|HOT	END_STAGE|HOT	heißer Endzustand; Abschluss gegen Ansatz offen	Nur die End-/Heißachse wird von Form und unabhängiger Verteilung gemeinsam getragen	FORM_AND_DISTRIBUTION_INTERSECTION	OPEN	0	0
