gdt747_candidate_id	candidate_surface	passage_core_axes	passage_safe_value_de	cache_occurrences	cache_pages	reader_exact_occurrences	local_support_tier_counts	locally_supported_occurrences	local_support_pages	passage_status	best_local_evidence_de	details_retained_as_rivals_de	literal_identity	confirmed_lexeme	component_export_credit
G747-C01	alom	MATERIAL	Stoff-/Materialform; Maßlesung offen	4	4	3	L0_NO_LOCAL_W23_SUPPORT:3|L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	1	P1_LOCAL_PASSAGE_SUPPORT	-1:qotor=kalte Drogenportion	Klasse I und das Maß stammen aus der direkten Familie	OPEN	0	0
G747-C02	chckh	DRY	trocken; Mischung oder Zubereitung offen	2	2	2	L0_NO_LOCAL_W23_SUPPORT:2	0	0	P0_NO_LOCAL_PASSAGE_SUPPORT	NONE	Zubereitung und Ausgangsstoff bleiben konkurrierende Träger	OPEN	0	0
G747-C03	cheeey	DRY	trockener Zustand; Endbereich wahrscheinlich	8	6	7	L0_NO_LOCAL_W23_SUPPORT:5|L1_SINGLE_WHOLE_LOCAL_SUPPORT:1|L2_MULTIWHOLE_LOCAL_SUPPORT:2	3	2	P2_RECURRENT_MULTIWHOLE_PASSAGE_SUPPORT	-1:cheor=trockener Drogenteil || +2:cheo=trocken angesetzte Zubereitung	End-/Vollstufe wird von direkten Nachbarn gestützt, aber nicht vom unabhängigen Top-5-Konsens	OPEN	0	0
G747-C04	chetar	DRY	trockene Fraktion; Mittelstufe wahrscheinlich	5	5	5	L0_NO_LOCAL_W23_SUPPORT:5	0	0	P0_NO_LOCAL_PASSAGE_SUPPORT	NONE	Teil/Fraktion und Mittelstufe stammen aus der direkten Ganzwortfamilie	OPEN	0	0
G747-C05	chtar	DRY	trockene Teil-/Fraktionsform; Temperatur und Träger offen	3	3	3	L0_NO_LOCAL_W23_SUPPORT:1|L1_SINGLE_WHOLE_LOCAL_SUPPORT:2	2	2	P1_LOCAL_PASSAGE_SUPPORT	-1:qotchey=kalt und trocken in der Mitte des Grades	Teilbezug ist familiengestützt; heiß und kalt widersprechen sich	OPEN	0	0
G747-C06	chtl	NONE	[trocken/getrocknet nur als direkte Formanalogie; Passagekern offen]	2	1	2	L0_FORM_ONLY_NO_CORE:2	0	0	P0_FORM_ONLY_HELD_OPEN	NONE	Kein gemeinsamer Form-/Top-5-Verteilungskern	OPEN	0	0
G747-C07	dsheedy	END_STAGE	Endzustand; angefeuchtet oder eingeweicht nach Ganzwortfamilie	4	4	4	L0_NO_LOCAL_W23_SUPPORT:4	0	0	P0_NO_LOCAL_PASSAGE_SUPPORT	NONE	Feuchtigkeit ist in allen direkten Nachbarn vorhanden, aber nicht im unabhängigen Top-5-Konsens	OPEN	0	0
G747-C08	okeeody	END_STAGE|PREPARATION	Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich	7	7	6	L0_NO_LOCAL_W23_SUPPORT:3|L1_SINGLE_WHOLE_LOCAL_SUPPORT:4	4	4	P1_LOCAL_PASSAGE_SUPPORT	-1:qokeey=heiß am Ende des Grades	Hitze ist direkte Familieninformation; Abschluss nicht durchgehend	OPEN	0	0
G747-C09	qochey	DRY	trocken; Mittelstufe wahrscheinlich, Funktion offen	6	5	6	L0_NO_LOCAL_W23_SUPPORT:3|L1_SINGLE_WHOLE_LOCAL_SUPPORT:2|L3_CONTRASTIVE_SERIAL_PARADIGM:1	3	2	P3_CONTRASTIVE_PASSAGE_SUPPORT	-2:tchey=kalt und trocken in der Mitte des Grades || -1:qokchey=heiß und trocken in der Mitte des Grades	Mittelstufe hält in direkten Nachbarn; Zustand, Zugabe und Mengenfeld bleiben Rivalen	OPEN	0	0
G747-C10	sheeol	END_STAGE	behandelter Stoff im Endzustand; feucht gegen trocken offen	10	8	9	L0_NO_LOCAL_W23_SUPPORT:6|L1_SINGLE_WHOLE_LOCAL_SUPPORT:4	4	3	P1_LOCAL_PASSAGE_SUPPORT	-1:qokeey=heiß am Ende des Grades	Material und Feuchte werden von direkten Nachbarn, nicht vom Top-5-Achsenkonsens getragen	OPEN	0	0
G747-C11	ykeeey	END_STAGE	bis zur Endstufe führen; heiß und Abschluss wahrscheinlich	5	5	5	L0_NO_LOCAL_W23_SUPPORT:4|L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	1	P1_LOCAL_PASSAGE_SUPPORT	+1:qokeey=heiß am Ende des Grades	Hitze und Abschluss stammen aus zwei stark verteilten direkten Nachbarn	OPEN	0	0
G747-C12	ykeeody	END_STAGE|HOT	heißer Endzustand; Abschluss gegen Ansatz offen	8	6	7	L0_NO_LOCAL_W23_SUPPORT:7|L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	1	P1_LOCAL_PASSAGE_SUPPORT	+2:qoky=heiß am Anfang des Grades	Nur die End-/Heißachse wird von Form und unabhängiger Verteilung gemeinsam getragen	OPEN	0	0
