statement_id	record_unit_id	visible_owner	field_ids	visible_sequence	portable_core_chain	local_register_chain	complete_local_translation_de	revised_event_count	reading_rule	revision_257	revision_260	revision_263	revision_268
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F001	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel | den Ansatz bereitstellen | davon | Teil | AUFNAHMEFELD_ODER_UMSCHLUSS | Lauf zuführen | Folgeteil | einsetzen | Sollmaß | kleiner Rest	Wurzel | den Ansatz bereitstellen | davon | Teil | Aufnahmegefäß | laufendes Medium zugießen | Folgeteil | einsetzen | Sollmaß | kleiner Rest	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	AIR_PATH_CORE
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F002	qokchy qotchol chol cthy	den laufenden Posten einsetzen und weiterbearbeiten | zum Folgegang wechseln | weiter | bereit	den laufenden Posten einsetzen und weiterbearbeiten | zum Folgegang wechseln | weiter | bereit	Die erste Charge weiterbearbeiten, zum Folgegang wechseln, dort weiterarbeiten und sie als bereit halten.	1	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	REWRITTEN	UNCHANGED	UNCHANGED
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F003	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	aktueller Auszugsansatz | bereit | Ansatz | die Sollvorbereitung setzen | danach mit diesem Posten weiter | dies | dies | Sollmaß | dies	aktueller Auszugsansatz | bereit | Ansatz | die Sollvorbereitung setzen | danach mit diesem Posten weiter | dies | dies | Sollmaß | dies	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, danach mit diesem Posten weiterarbeiten und ihn auf Sollmaß bringen.	0	read portable cores first; insert plant or station objects from owner; expand locally	REWRITTEN	UNCHANGED	UNCHANGED	UNCHANGED
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F004	qotchor chor otol chol cholor chol daiin dar	Folgeansatz | Ansatz | danach im selben Gang weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Folgeansatz | Ansatz | danach im selben Gang weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Den Folgeansatz und den aktiven Ansatz setzen, danach im selben Gang weiterarbeiten, davon eine Sollmenge nehmen und die Folge beibehalten.	1	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	REWRITTEN	UNCHANGED	UNCHANGED
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F005	oykchor shor chor chy kaiiin dy chodaiin	Gefäß für den Ansatz | Ansatz | Ansatz | dies | die Arbeitsstufe setzen | dies | Zugabemaß	Gefäß für den Ansatz | Ansatz | Ansatz | dies | die Arbeitsstufe setzen | dies | Zugabemaß	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F006	tshol schoal cfhy shfydaiin cphy shey tchody	Kochgut | Sudansatz | auswringen | eine vorgeschriebene Stehzeit einhalten | nachseihen | Klarlauf | kalt stellen; Schluss	Kochgut | Sudansatz | auswringen | eine vorgeschriebene Stehzeit einhalten | nachseihen | Klarlauf | kalt stellen; Schluss	Aus dem Kochgut einen Sudansatz bilden, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	REWRITTEN	UNCHANGED	UNCHANGED	UNCHANGED
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F007	shoyty	Zugabeteil	Zugabeteil	Den weiteren Zugabeteil bereitlegen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F008	dchol chy kchy dy daiin	vom vorigen Arbeitsgang nehmen | dies | den laufenden Posten bearbeiten | dies | Sollmaß	vom vorigen Arbeitsgang nehmen | dies | den laufenden Posten bearbeiten | dies | Sollmaß	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F009	qotchy okchol cthy dy	zum nächsten Posten wechseln | die Fortsetzung einsetzen | bereit | dies	zum nächsten Posten wechseln | die Fortsetzung einsetzen | bereit | dies	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F010	qokaiin chaiin ykain ykan ody	bemessen | Sollmaß | erste Portion | zweite Portion | ZURUECKNEHMEN__SCHLUSS	bemessen | Sollmaß | erste Portion | zweite Portion | aus der Wärme nehmen und abkühlen; Schluss	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
