master_card_id	master_form	registered_surfaces	portable_core_de	local_prose_expansion_de	component_parse	dictionary_layer	syntactic_type	prose_event_count	records	revision_257	revision_260	revision_263	revision_268
MC001	chdal	chdal	Zieltransfer	Zieltransfer	CHD_TRANSFER+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B5	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC002	okeey	okeey|qokeey	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	OK_SET+GRADE_2+Y_CURRENT_ITEM	CROSS_REGISTER_REVISED_CORE	DURATIVE_ACTION	7	B1|B2|B3|B4	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC003	sheedy	sheedy	Langabsetzen; Schluss	Langabsetzen; Schluss	SHED_SETTLE+GRADE_2+DY_CLOSE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B3	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC004	ldy	ldy	abziehen; Schluss	abziehen; Schluss	L_OUT+CLOSE_EXACT	PRODUCTIVE_COMPOSITION	TERMINAL_ACTION	2	B2|B3	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC005	okchedy	okchedy|qokchedy	vorigen Posten überführen; Schluss	vorigen Posten überführen; Schluss	OK_SET+CHED_TRANSFER_PREVIOUS_ITEM+CLOSE	PRODUCTIVE_COMPOSITION	TERMINAL_ACTION	2	B1|B3	UNCHANGED	SOURCE_ORDER_DISTINCTION	UNCHANGED	UNCHANGED
MC006	chokcheo	chokcheo	Auszug einsetzen	Auszug einsetzen	OK + CHEO	FULL_COMPOSITION	LEARNED_LOCAL_ACTION	1	H5	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC007	okey	okey|qokey	KURZ_SETZEN	kurz einwirken lassen	OK_SET+GRADE_1+Y_CURRENT_ITEM	CROSS_REGISTER_REVISED_CORE	DURATIVE_ACTION	2	B1|B2	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC008	lchy	lchy	Abführgut	Abführgut	LCH_WITHDRAW+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC009	chary	chary	Quellposten	Quellposten	AR_FROM+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC010	chodaly	chodaly	Zugabe am aktuellen Ziel	Zugabe am aktuellen Ziel	CHO + AL + Y	FULL_COMPOSITION	LEARNED_OBJECT	1	H5	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC011	lchedar	lchedar	Quellabführung	Quellabführung	L_OUT+CHED_TRANSFER+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC012	dl	dl	Zusatz	Zusatz	DL_BATH_ADDITIVE_WHOLE_CARD	MEMORIZED_WHOLE_CARD	OBJECT	2	B1	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC013	otchor	otchor|qotchor	Folgeansatz	Folgeansatz	OT + OR	FULL_COMPOSITION	ORDERED_OBJECT	2	H2|H5	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC014	chair	chair	Lauf zuführen	laufendes Medium zugießen	CH_POUR+AIR_PATH	FULL_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	H1	UNCHANGED	UNCHANGED	UNCHANGED	AIR_PATH_CORE
MC015	qokokchy	qokokchy	denselben Posten erneut einsetzen	denselben Posten erneut einsetzen	OK + OK + Y	FULL_COMPOSITION	LEARNED_LOCAL_ACTION	1	H5	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC016	rol	rol	Anschluss	Anschluss	R_FRAME+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_ORDER_OR_LINK	1	B1	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC017	okain	okain|qokain	Anteil zugeben	Anteil zugeben	OK+AIN_PORTION	PRODUCTIVE_COMPOSITION	QUANTITY_ACTION	7	B1|B2|B3|B4	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC018	qotedaiin	qotedaiin	Kurzsoll	Kurzsoll	OT_FOLLOW+E_SHORT+AIIN_MEASURE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B3	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
MC019	oldy	oldy	fertig	fertig	OL_CONTINUE+DY_CLOSE	KNOWN_FROM_BIOLOGICAL	TERMINAL_STATE	2	B4|H4	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
