group_serial	page	locus	visible_owner	namespace_id	visible_surface	component_parse	composed_short_value_de	composition_status	air_contribution_de	existing_diagram_reading_de
79	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	air	AIR_PATH	Lauf oder Bahn	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	Sternplatz A1_LEFT_LOCAL_FIELD_32: Himmels-, Ring- oder Zeigerlauf.
146	f67r2	f67r2.64	A1_RIGHT_PHASE_STATION_01	F67_RIGHT_WHEEL_NS	air	AIR_PATH	Lauf oder Bahn	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	Radstelle A1_RIGHT_PHASE_STATION_01: Himmels-, Ring- oder Zeigerlauf.
160	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	qofair	LOCAL_QOF+AIR_PATH	Lauf des lokalen QOF-Postens	LOCAL_CORE_PLUS_AIR	LAUF_ODER_BAHN	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest qof.
161	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	ypair	Y+P_IN+AIR_PATH	diesen Posten in den Lauf führen	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest yp.
189	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	air	AIR_PATH	Lauf oder Bahn	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Himmels-, Ring- oder Zeigerlauf.
256	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	dair	D_PREVIOUS+AIR_PATH	voriger Lauf	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest d.
288	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	odair	O_WITHDRAW+D_PREVIOUS+AIR_PATH	vom vorigen Lauf zurücknehmen	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest od.
334	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	doair	D_PREVIOUS+O_WITHDRAW+AIR_PATH	vorigen Rücklauf wählen	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest do.
336	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	dair	D_PREVIOUS+AIR_PATH	voriger Lauf	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest d.
343	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	qotair	Q_FRAME+OT+AIR_PATH	zum nächsten Lauf wechseln	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.
348	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	air	AIR_PATH	Lauf oder Bahn	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf.
357	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	dair	D_PREVIOUS+AIR_PATH	voriger Lauf	FULL_40_COMPONENT_PARSE	LAUF_ODER_BAHN	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest d.
