deck_order	component_id	component_tier	short_value_de	learning_rule	support_card_ids	support_event_count	licensing_scope	revision_268
1	OK	SHARED_PRODUCTIVE	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	MC026	78	shared across the selected prose registers	UNCHANGED
2	OL	SHARED_PRODUCTIVE	WEITER	im selben Fortgang weiterarbeiten	MC153	48	shared across the selected prose registers	UNCHANGED
3	OT	SHARED_PRODUCTIVE	DANACH	zum folgenden Posten oder Schritt wechseln	MC060	26	shared across the selected prose registers	UNCHANGED
4	AR	SHARED_PRODUCTIVE	VON	von der bezeichneten Quelle oder dem Vorrat her	MC055	14	shared across the selected prose registers	UNCHANGED
5	AL	SHARED_PRODUCTIVE	ZU	an die bezeichnete Stelle oder zum Ziel	MC154	38	shared across the selected prose registers	UNCHANGED
6	L	SHARED_PRODUCTIVE	AB	aus dem aktiven Posten heraus- oder abführen	MC155	23	shared across the selected prose registers	UNCHANGED
7	P	SHARED_PRODUCTIVE	ZU	in einen lokalen Empfänger zuführen	MC070	2	shared across the selected prose registers	UNCHANGED
8	AIN	SHARED_PRODUCTIVE	PORTION	eine abgegrenzte Teilmenge	MC017	15	shared across the selected prose registers	UNCHANGED
9	AN	SHARED_PRODUCTIVE	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	MC148	1	shared across the selected prose registers	UNCHANGED
10	AIIN	SHARED_PRODUCTIVE	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	MC039	39	shared across the selected prose registers	UNCHANGED
11	IIN	SHARED_PRODUCTIVE	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	MC033	4	shared across the selected prose registers	UNCHANGED
12	E	SHARED_PRODUCTIVE	KURZ	kurz oder unmittelbar ausführen	MC128	41	shared across the selected prose registers	UNCHANGED
13	EE	SHARED_PRODUCTIVE	LANG	länger halten oder fortsetzen	MC082	33	shared across the selected prose registers	UNCHANGED
14	EEE	SHARED_PRODUCTIVE	VOLL	bis zur vollen Stufe ausführen	MC094	2	shared across the selected prose registers	UNCHANGED
15	Y	SHARED_PRODUCTIVE	DIES	den aktuell gemeinten Arbeitsposten halten	MC123	103	shared across the selected prose registers	UNCHANGED
16	DY	SHARED_PRODUCTIVE	SCHLUSS	nur als lizenzierte Endkarte die Zelle schließen	MC128	90	shared across the selected prose registers	UNCHANGED
