statement_id	register	record_unit_id	page	statement_events	selected_motifs	motif_events	residual_events	residual_spans	residual_event_ids	strategy	local_deck_item	complete_expansion_de
H1-S001	HERBAL	H1	f10r	10	M09	2	8	2	E001|E002|E003|E004|E005|E006|E007||E010	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [EXPLICIT]: Flüssigkeit aus dem Lauf entnehmen; Ziel [WHOLE_CARD]: Arbeitsfach/Empfänger. Handlung: Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Flüssigkeit aus dem Lauf entnehmen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen.
H1-S002	HERBAL	H1	f10r	4	NONE	0	4	1	E011|E012|E013|E014	ONE_LOCAL_RESIDUAL	X:H1-S002	Quelle [RECORD_INHERITED]: abgezogene Flüssigkeitsfraktion; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit.
H2-S001	HERBAL	H2	f10r	9	M08|M06	5	4	3	E015|E016||E019||E023	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: auf Sollmaß bereitstellen | Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz.
H2-S002	HERBAL	H2	f10r	8	M01	5	3	1	E024|E025|E026	ONE_LOCAL_RESIDUAL	X:H2-S002	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Sollmaß; aus dem laufenden Pflanzenansatz.
H2-S003	HERBAL	H2	f10r	7	M03|M02	7	0	0	NONE	MOTIFS_ONLY	NONE	Quelle [RECORD_INHERITED]: laufender Pflanzenansatz; Menge/Stufe [EXPLICIT]: bis zur Sollstufe zuführen | auf Sollmaß abziehen; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: laufender Pflanzenansatz dem Ansatz zuführen; Ansatz; Ansatz; laufender Pflanzenansatz; bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Sollmaß abziehen.
H3-S001	HERBAL	H3	f11r	7	M01	3	4	2	E039|E040||E044|E045	KEEP_WHOLE_LOCAL_FORM	W:H3-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Pflanzenmaterial bis zum Sollmaß halten; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten. Handlung: weiter gefüllt halten; bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten; auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen; EMPFANGSBESTAND; füllen und abziehen; Schluss.
H3-S002	HERBAL	H3	f11r	1	NONE	0	1	1	E046	ONE_LOCAL_RESIDUAL	X:H3-S002	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Fraktion des Empfangsbestands halten und füllen.
H3-S003	HERBAL	H3	f11r	5	NONE	0	5	1	E047|E048|E049|E050|E051	ONE_LOCAL_RESIDUAL	X:H3-S003	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß.
H3-S004	HERBAL	H3	f11r	4	NONE	0	4	1	E052|E053|E054|E055	ONE_LOCAL_RESIDUAL	X:H3-S004	Quelle [RECORD_INHERITED]: entnommene Fraktion des Empfangsbestand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten.
H4-S001	HERBAL	H4	f55v	5	NONE	0	5	1	E056|E057|E058|E059|E060	ONE_LOCAL_RESIDUAL	X:H4-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß setzen | Sollmaß | eine Stoffportion davon zuführen | eine Stoffportion davon zuführen; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen.
