writer_order	domain	item_id	unit_id	page	locus	statement_or_locus	owner_or_namespace	semantic_layer	syntax_item	component_parse	concrete_reading_de	surface_layer	renderer_habit	predicted_surface	observed_surface	surface_exact_without_exemplar
1	PROSE	E001	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	CH+E+Y	Pflanzenmaterial kurz abziehen	DEFAULT_OR_HABIT	NO	dchey	dchey	YES
2	PROSE	E002	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	CTH+O+OR	Ansatz bereit	DEFAULT_OR_HABIT	NO	cthoor	cthoor	YES
3	PROSE	E003	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	AR	aus dem laufenden Pflanzenansatz	DEFAULT_OR_HABIT	NO	char	char	YES
4	PROSE	E004	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	T+Y	den laufenden Pflanzenansatz füllen	DEFAULT_OR_HABIT	NO	chty	chty	YES
5	PROSE	E005	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	OS	ARBEITSFACH	DEFAULT_OR_HABIT	NO	os	os	YES
6	PROSE	E006	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	CH+AIR	Flüssigkeit aus dem Lauf entnehmen	DEFAULT_OR_HABIT	NO	chair	chair	YES
7	PROSE	E007	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	OT+Y+T+CH+OL	danach Arbeitsflüssigkeit füllen und weiter abziehen	DEFAULT_OR_HABIT	NO	otytchol	otytchol	YES
8	PROSE	E008	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	OK+Y	verwende abgezogene Flüssigkeitsfraktion	LOCAL_SURFACE_EXEMPLAR	YES	choky	oky	NO
9	PROSE	E009	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	AIIN	Sollmaß	DEFAULT_OR_HABIT	NO	daiin	daiin	YES
10	PROSE	E010	H1	f10r	f10r.2	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H1-S001	E+T+Y	abgezogene Flüssigkeitsfraktion kurz füllen	DEFAULT_OR_HABIT	NO	etyd	etyd	YES
11	PROSE	E011	H1	f10r	f10r.5	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H1-S002	OK+Y	abgezogene Flüssigkeitsfraktion ansetzen	LOCAL_SURFACE_EXEMPLAR	NO	okchy	qokchy	NO
12	PROSE	E012	H1	f10r	f10r.5	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H1-S002	OT+CH+OL	danach weiter abziehen	DEFAULT_OR_HABIT	NO	qotchol	qotchol	YES
13	PROSE	E013	H1	f10r	f10r.5	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H1-S002	OL	fortsetzen	DEFAULT_OR_HABIT	YES	chol	chol	YES
14	PROSE	E014	H1	f10r	f10r.5	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H1-S002	CTH+Y	bereit	DEFAULT_OR_HABIT	NO	cthy	cthy	YES
15	PROSE	E015	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	Y+CH+E+OR	diesen Ansatz kurz abziehen	DEFAULT_OR_HABIT	NO	ycheor	ycheor	YES
16	PROSE	E016	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	CTH+Y	bereit	DEFAULT_OR_HABIT	NO	cthy	cthy	YES
17	PROSE	E017	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	OR	Ansatz	DEFAULT_OR_HABIT	NO	chor	chor	YES
18	PROSE	E018	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	CTH+AIIN	auf Sollmaß bereitstellen	DEFAULT_OR_HABIT	NO	cthaiin	cthaiin	YES
19	PROSE	E019	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	O+CTH+OL+Y	laufender Pflanzenansatz bereit weiterführen	DEFAULT_OR_HABIT	NO	qoctholy	qoctholy	YES
20	PROSE	E020	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	Y	laufender Pflanzenansatz	LOCAL_SURFACE_EXEMPLAR	YES	chy	dy	NO
21	PROSE	E021	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	Y	laufender Pflanzenansatz	DEFAULT_OR_HABIT	YES	chy	chy	YES
22	PROSE	E022	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	AIIN	Sollmaß	LOCAL_SURFACE_EXEMPLAR	NO	daiin	taiin	NO
23	PROSE	E023	H2	f10r	f10r.6	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	KEEP_WHOLE_LOCAL_FORM	W:H2-S001	Y	laufender Pflanzenansatz	LOCAL_SURFACE_EXEMPLAR	NO	chey	shy	NO
24	PROSE	E024	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	OT+CH+OR	danach Ansatz abziehen	LOCAL_SURFACE_EXEMPLAR	NO	otchor	qotchor	NO
25	PROSE	E025	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	OR	Ansatz	DEFAULT_OR_HABIT	NO	chor	chor	YES
26	PROSE	E026	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	OT+OL	danach fortsetzen	DEFAULT_OR_HABIT	NO	otol	otol	YES
27	PROSE	E027	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	OL	fortsetzen	DEFAULT_OR_HABIT	YES	chol	chol	YES
28	PROSE	E028	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	OL+OR	weiterer Ansatz	LOCAL_SURFACE_EXEMPLAR	NO	olor	cholor	NO
29	PROSE	E029	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	OL	fortsetzen	DEFAULT_OR_HABIT	YES	chol	chol	YES
30	PROSE	E030	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	AIIN	Sollmaß	DEFAULT_OR_HABIT	NO	daiin	daiin	YES
31	PROSE	E031	H2	f10r	f10r.8	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ONE_LOCAL_RESIDUAL	X:H2-S002	AR	aus dem laufenden Pflanzenansatz	LOCAL_SURFACE_EXEMPLAR	NO	char	dar	NO
32	PROSE	E032	H2	f10r	f10r.9	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOTIFS_ONLY	NONE	O+Y+K+OR	laufender Pflanzenansatz dem Ansatz zuführen	DEFAULT_OR_HABIT	NO	oykchor	oykchor	YES
33	PROSE	E033	H2	f10r	f10r.9	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOTIFS_ONLY	NONE	OR	Ansatz	LOCAL_SURFACE_EXEMPLAR	NO	chor	shor	NO
34	PROSE	E034	H2	f10r	f10r.9	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOTIFS_ONLY	NONE	OR	Ansatz	DEFAULT_OR_HABIT	NO	chor	chor	YES
35	PROSE	E035	H2	f10r	f10r.9	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOTIFS_ONLY	NONE	Y	laufender Pflanzenansatz	DEFAULT_OR_HABIT	YES	chy	chy	YES
36	PROSE	E036	H2	f10r	f10r.9	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOTIFS_ONLY	NONE	K+IIN	bis zur Sollstufe zuführen	DEFAULT_OR_HABIT	NO	kaiiin	kaiiin	YES
37	PROSE	E037	H2	f10r	f10r.9	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOTIFS_ONLY	NONE	Y	laufender Pflanzenansatz	LOCAL_SURFACE_EXEMPLAR	YES	chy	dy	NO
