local_item_id	kind	component_or_statement_pattern	events_to_memorize	statement_ids	teaching_text_de
R01	SHARED_RESIDUAL_MINI_FORM	OK+Y	1	B3-S009|B3-S030	verwende Gefäßflüssigkeit
R02	SHARED_RESIDUAL_MINI_FORM	OL+DY	1	H4-S003|B4-S010	fortsetzen; Schluss
R03	SHARED_RESIDUAL_MINI_FORM	SHED+DY	1	B1-S004|B2-S008|B4-S016	absetzen; Schluss
W:B1-S002	KEEP_WHOLE_LOCAL_FORM	MEASURE>MOVE>APPLY>MOVE>PREPARE>MEASURE>MOVE>PREPARE>HOLD>MOVE>PREPARE>HOLD>MEASURE>APPLY>MEASURE>MOVE>CLOSE	19	B1-S002	Quelle [EXPLICIT]: aus der Arbeitsflüssigkeit; Menge/Stufe [EXPLICIT]: Sollmaß setzen | eine Stoffportion | weitere Stoffportion | Sollmaß | Sollmaß; Lauf [EXPLICIT]: Flüssigkeit in den Lauf geben; Ziel [EXPLICIT]: an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen | Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ | kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“ | länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten. Handlung: Sollmaß setzen; Flüssigkeit in den Lauf geben; an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; aus der Arbeitsflüssigkeit; fortsetzen; eine Stoffportion; weitere Stoffportion; Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; fortsetzen; weiter abkühlen; weiterführen; weiterer Ansatz; fortsetzen; kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“; Sollmaß; länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten; Sollmaß; durchführen; umsetzen; Schluss.
W:B2-S006	KEEP_WHOLE_LOCAL_FORM	HOLD>APPLY>MEASURE>APPLY	4	B2-S006	Quelle [RECORD_INHERITED]: Teilportion von obere Beckenflüssigkeit; Menge/Stufe [RECORD_INHERITED]: Auffang-Sollmaß | Sollmaß setzen | Sollmaß setzen; Lauf [NOT_REQUIRED]: —; Ziel [EXPLICIT]: an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen. Handlung: nächsten Posten länger halten; an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten; verwende Teilportion von obere Beckenflüssigkeit.
W:B3-S021	KEEP_WHOLE_LOCAL_FORM	MEASURE>CHECK>MOVE>MEASURE>APPLY>HOLD>MOVE>CHECK>MOVE>CLOSE	11	B3-S021	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [EXPLICIT]: Sollmaß setzen | Sollmaß; Lauf [RECORD_INHERITED]: Flüssigkeitslauf eröffnen; Ziel [EXPLICIT]: Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ | bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen | Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ | bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss. Handlung: Sollmaß setzen; bereit; Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; laufender Stationsansatz; Sollmaß; bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen; laufender Stationsansatz kurz bereit halten; laufender Stationsansatz; Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; bereit; bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss.
W:B3-S026	KEEP_WHOLE_LOCAL_FORM	HOLD>MEASURE>MOVE>MEASURE>CHECK>HOLD>COLLECT>CLOSE	7	B3-S026	Quelle [EXPLICIT]: länger aus der Quelle führen; Menge/Stufe [EXPLICIT]: Abführ-Sollmaß | eine Stoffportion zugeben; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei nicht gezeichneter Übergang vom Rand zum Hauptfeld → durch einen Bogen verbundenes Hauptpaar; Ziel [EXPLICIT]: Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen. Handlung: länger aus der Quelle führen; Abführ-Sollmaß; laufender Stationsansatz umsetzen; eine Stoffportion zugeben; bereit; Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen; länger auffangen; Schluss.
W:B4-S015	KEEP_WHOLE_LOCAL_FORM	MEASURE>COLLECT>MEASURE>MOVE>COLLECT>MOVE>CLOSE	6	B4-S015	Quelle [RECORD_INHERITED]: Arbeitsflüssigkeit; Menge/Stufe [EXPLICIT]: eine Stoffportion zugeben | eine Stoffportion; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei linke offene Randstation → rechte S-förmige Mehrarmstation; Ziel [EXPLICIT]: Durchgangsstelle bei „linke offene Randstation“. Handlung: eine Stoffportion zugeben; EMPFANGSBESTAND; eine Stoffportion; Durchgangsstelle bei „linke offene Randstation“; kurz auffangen; hinausführen; Schluss.
W:H1-S001	KEEP_WHOLE_LOCAL_FORM	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD	10	H1-S001	Quelle [EXPLICIT]: aus dem laufenden Pflanzenansatz; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [EXPLICIT]: Flüssigkeit aus dem Lauf entnehmen; Ziel [WHOLE_CARD]: Arbeitsfach/Empfänger. Handlung: Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Flüssigkeit aus dem Lauf entnehmen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Sollmaß; abgezogene Flüssigkeitsfraktion kurz füllen.
W:H2-S001	KEEP_WHOLE_LOCAL_FORM	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE	9	H2-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: auf Sollmaß bereitstellen | Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: diesen Ansatz kurz abziehen; bereit; Ansatz; auf Sollmaß bereitstellen; laufender Pflanzenansatz bereit weiterführen; laufender Pflanzenansatz; laufender Pflanzenansatz; Sollmaß; laufender Pflanzenansatz.
