residual_span_order	statement_id	span_in_statement	events	event_ids	component_pattern	phase_pattern	reading_de	shared_mini_form
1	H1-S001	1	7	E001|E002|E003|E004|E005|E006|E007	CH+E+Y>CTH+O+OR>AR>T+Y>OS>CH+AIR>OT+Y+T+CH+OL	COLLECT>CHECK>MOVE>MOVE>CHECK>COLLECT>COLLECT	Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; ARBEITSFACH; Flüssigkeit aus dem Lauf entnehmen; danach Arbeitsflüssigkeit füllen und weiter abziehen	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
2	H1-S001	2	1	E010	E+T+Y	HOLD	abgezogene Flüssigkeitsfraktion kurz füllen	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
3	H1-S002	1	4	E011|E012|E013|E014	OK+Y>OT+CH+OL>OL>CTH+Y	SELECT>COLLECT>PREPARE>CHECK	abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit	NONE
4	H2-S001	1	2	E015|E016	Y+CH+E+OR>CTH+Y	COLLECT>CHECK	diesen Ansatz kurz abziehen; bereit	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
5	H2-S001	2	1	E019	O+CTH+OL+Y	CHECK	laufender Pflanzenansatz bereit weiterführen	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
6	H2-S001	3	1	E023	Y	MOVE	laufender Pflanzenansatz	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
7	H2-S002	1	3	E024|E025|E026	OT+CH+OR>OR>OT+OL	COLLECT>PREPARE>SELECT	danach Ansatz abziehen; Ansatz; danach fortsetzen	NONE
8	H3-S001	1	2	E039|E040	T+SH+OL>SH+O+AL	HOLD>APPLY	weiter gefüllt halten; bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
9	H3-S001	2	2	E044|E045	WHOLE[cheey|shey]>T+CH+O+DY	COLLECT>COLLECT	EMPFANGSBESTAND; füllen und abziehen; Schluss	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
10	H3-S002	1	1	E046	SH+O+Y+T+Y	COLLECT	Fraktion des Empfangsbestands halten und füllen	NONE
11	H3-S003	1	5	E047|E048|E049|E050|E051	OL>Y>K+Y>Y>AIIN	PREPARE>COLLECT>COLLECT>COLLECT>MEASURE	fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß	NONE
12	H3-S004	1	4	E052|E053|E054|E055	OT+Y>OK+OL>CTH+Y>Y	SELECT>PREPARE>CHECK>SELECT	nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten	NONE
