event_id	page	record_unit_id	statement_id	visible_owner	visible_surface	master_card_id	component_parse	revised_compositional_reading_de	composition_status	memorized_residue
E001	f10r	H1	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey	MC071	DCHEY	Wurzel	LEARNED_WHOLE_NOUN	DCHEY root core
E005	f10r	H1	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	os	MC159	OS	Aufnahmegefäß	LEARNED_WHOLE_NOUN	OS receiver-vessel core
E006	f10r	H1	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chair	MC014	CH + AIR	laufendes Medium zugießen	PARTIAL_COMPOSITION	CH pouring core
E007	f10r	H1	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	MC069	OT + YTY + OL	Folgeteil	PARTIAL_COMPOSITION	YTY material-part core
E010	f10r	H1	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	etyd	MC108	ETYD	kleiner Rest	LEARNED_WHOLE_NOUN	ETYD remainder core
E015	f10r	H2	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor	MC075	Y + CHEO + OR	aktueller Auszugsansatz	FULL_COMPOSITION	NONE
E024	f10r	H2	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor	MC013	OT + OR	Folgeansatz	FULL_COMPOSITION	NONE
E032	f10r	H2	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor	MC027	OYK + OR	Gefäß für den Ansatz	PARTIAL_COMPOSITION	OYK preparation-vessel core
E038	f10r	H2	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chodaiin	MC087	CHO + AIIN	Zugabemaß	FULL_COMPOSITION	NONE
E039	f11r	H3	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol	MC098	TSHOL	Kochgut	LEARNED_WHOLE_NOUN	TSHOL cooking-material core
E040	f11r	H3	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	schoal	MC049	SCHOAL	Sudansatz	LEARNED_WHOLE_NOUN	SCHOAL decoction core
E046	f11r	H3	H3-S002	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	MC062	SHO + YTY	Zugabeteil	PARTIAL_COMPOSITION	YTY material-part core
