master_card_id	master_form	registered_surfaces	old_default_de	component_parse	revised_compositional_reading_de	composition_status	memorized_residue	occurrence_count	event_ids	apprentice_rule
MC010	chodaly	chodaly	Zielzugabe	CHO + AL + Y	Zugabe am aktuellen Ziel	FULL_COMPOSITION	NONE	1	E076	combine known noun and relation components
MC013	qotchor	qotchor|otchor	Folgeansatz	OT + OR	Folgeansatz	FULL_COMPOSITION	NONE	2	E024|E080	combine known noun and relation components
MC014	chair	chair	Zuguss	CH + AIR	laufendes Medium zugießen	PARTIAL_COMPOSITION	CH pouring core	1	E006	combine known frame and memorize one noun core
MC027	oykchor	oykchor	Zubereitungsgefäß	OYK + OR	Gefäß für den Ansatz	PARTIAL_COMPOSITION	OYK preparation-vessel core	1	E032	combine known frame and memorize one noun core
MC034	cho	cho|sho	weitere Zutat	CHO	weitere Zutat	LEARNED_WHOLE_NOUN	CHO ingredient core	4	E075|E078|E088|E094	memorize this concrete noun core
MC047	ykain	ykain	erste Portion	Y + K + AIN	erste Portion	PARTIAL_COMPOSITION	K ordinal/index core	1	E058	combine known frame and memorize one noun core
MC049	schoal	schoal	Sudansatz	SCHOAL	Sudansatz	LEARNED_WHOLE_NOUN	SCHOAL decoction core	1	E040	memorize this concrete noun core
MC062	shoyty	shoyty	Zugabeteil	SHO + YTY	Zugabeteil	PARTIAL_COMPOSITION	YTY material-part core	1	E046	combine known frame and memorize one noun core
MC069	otytchol	otytchol	Folgeteil	OT + YTY + OL	Folgeteil	PARTIAL_COMPOSITION	YTY material-part core	1	E007	combine known frame and memorize one noun core
MC071	dchey	dchey	Wurzel	DCHEY	Wurzel	LEARNED_WHOLE_NOUN	DCHEY root core	1	E001	memorize this concrete noun core
MC072	orain	orain	Bereitungsanteil	OR + AIN	Bereitungsanteil	FULL_COMPOSITION	NONE	1	E073	combine known noun and relation components
MC075	ycheor	ycheor	Auszugsansatz	Y + CHEO + OR	aktueller Auszugsansatz	FULL_COMPOSITION	NONE	1	E015	combine known noun and relation components
MC085	cheoar	cheoar	Quellauszug	CHEO + AR	Auszug aus der Quelle	FULL_COMPOSITION	NONE	1	E065	combine known noun and relation components
MC087	chodaiin	chodaiin	Zugabemaß	CHO + AIIN	Zugabemaß	FULL_COMPOSITION	NONE	1	E038	combine known noun and relation components
MC098	tshol	tshol	Kochgut	TSHOL	Kochgut	LEARNED_WHOLE_NOUN	TSHOL cooking-material core	1	E039	memorize this concrete noun core
MC108	etyd	etyd	kleiner Rest	ETYD	kleiner Rest	LEARNED_WHOLE_NOUN	ETYD remainder core	1	E010	memorize this concrete noun core
MC114	sh	sh	Stängel	SH	Stängel	LEARNED_WHOLE_NOUN	SH stem core	1	E087	memorize this concrete noun core
MC125	chochor	chochor	Zugabeansatz	CHO + OR	Zugabeansatz	FULL_COMPOSITION	NONE	1	E074	combine known noun and relation components
MC131	choy	choy	Zugabeposten	CHO + Y	aktuelle Zutat	FULL_COMPOSITION	NONE	1	E084	combine known noun and relation components
MC136	kchoar	kchoar	bearbeiteter Quellauszug	K + CHO + AR	bearbeiteter Quellauszug	PARTIAL_COMPOSITION	KCHO processed-extract core	1	E096	combine known frame and memorize one noun core
MC148	ykan	ykan	zweite Portion	Y + K + AIN	zweite Portion	PARTIAL_COMPOSITION	K ordinal/index core	1	E059	combine known frame and memorize one noun core
MC159	os	os	Aufnahmegefäß	OS	Aufnahmegefäß	LEARNED_WHOLE_NOUN	OS receiver-vessel core	1	E005	memorize this concrete noun core
MC160	talam	talam	Verwahrort	TALAM	Verwahrort	LEARNED_WHOLE_NOUN	TALAM storage-place core	1	E063	memorize this concrete noun core
MC170	ykaiin	ykaiin	Sollportion	Y + K + AIIN	Sollportion	PARTIAL_COMPOSITION	K ordinal/index core	1	E064	combine known frame and memorize one noun core
