master_card_id	master_form	registered_surfaces	concrete_default_de	curriculum_layer	occurrence_count	event_ids	records	pages	value_invariant	learning_rule	component_parse	revised_default_de	composition_status	memorized_residue
MC006	chokcheo	chokcheo	Auszug einsetzen	HERBAL_LOCAL_OPERATION_SIGN	1	E092	H5	f56r	YES	learn or decompose one Herbal-specific work operation	OK + CHEO	Auszug einsetzen	FULL_COMPOSITION	NONE
MC010	chodaly	chodaly	Zielzugabe	HERBAL_LOCAL_NOUN_SIGN	1	E076	H5	f56r	YES	learn one new pictured-material/container/preparation sign	CHO + AL + Y	Zugabe am aktuellen Ziel	FULL_COMPOSITION	NONE
MC013	qotchor	qotchor|otchor	Folgeansatz	HERBAL_LOCAL_NOUN_SIGN	2	E024|E080	H2|H5	f10r|f56r	YES	learn one new pictured-material/container/preparation sign	OT + OR	Folgeansatz	FULL_COMPOSITION	NONE
MC014	chair	chair	Zuguss	HERBAL_LOCAL_NOUN_SIGN	1	E006	H1	f10r	YES	learn one new pictured-material/container/preparation sign	CH + AIR	laufendes Medium zugießen	PARTIAL_COMPOSITION	CH pouring core
MC015	qokokchy	qokokchy	erneut einsetzen	HERBAL_LOCAL_OPERATION_SIGN	1	E090	H5	f56r	YES	learn or decompose one Herbal-specific work operation	OK + OK + Y	denselben Posten erneut einsetzen	FULL_COMPOSITION	NONE
MC019	oldy	oldy	fertig	COMMON_BIOLOGICAL_HERBAL_CORE	1	E067	H4	f55v	YES	reuse known card and keep the same short value	COMMON_CORE	fertig	KNOWN_FROM_BIOLOGICAL	NONE
MC021	oltchy	oltchy	Folgebereitung	HERBAL_LOCAL_OPERATION_SIGN	1	E070	H4	f55v	YES	learn or decompose one Herbal-specific work operation	OL + TCH + Y	die laufende Bereitung fortsetzen	PARTIAL_COMPOSITION	TCH preparation core
MC026	choky	oky|choky	einsetzen	COMMON_BIOLOGICAL_HERBAL_CORE	3	E008|E081|E085	H1|H5	f10r|f56r	YES	reuse known card and keep the same short value	COMMON_CORE	einsetzen	KNOWN_FROM_BIOLOGICAL	NONE
MC027	oykchor	oykchor	Zubereitungsgefäß	HERBAL_LOCAL_NOUN_SIGN	1	E032	H2	f10r	YES	learn one new pictured-material/container/preparation sign	OYK + OR	Gefäß für den Ansatz	PARTIAL_COMPOSITION	OYK preparation-vessel core
MC032	cheeky	cheeky	länger bearbeiten	COMMON_BIOLOGICAL_HERBAL_CORE	1	E066	H4	f55v	YES	reuse known card and keep the same short value	COMMON_CORE	länger bearbeiten	KNOWN_FROM_BIOLOGICAL	NONE
MC034	cho	cho|sho	weitere Zutat	HERBAL_LOCAL_NOUN_SIGN	4	E075|E078|E088|E094	H5	f56r	YES	learn one new pictured-material/container/preparation sign	CHO	weitere Zutat	LEARNED_WHOLE_NOUN	CHO ingredient core
MC037	tchody	tchody	kalt stellen; Schluss	HERBAL_LOCAL_OPERATION_SIGN	1	E045	H3	f11r	YES	learn or decompose one Herbal-specific work operation	TCHO + DY	kalt stellen; Schluss	LEARNED_WHOLE_OPERATION	TCHO cold-setting operation
MC039	aiin	daiin|taiin|chaiin|aiin	Sollmaß	COMMON_BIOLOGICAL_HERBAL_CORE	9	E009|E022|E030|E051|E057|E061|E068|E077|E100	H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r	YES	reuse known card and keep the same short value	COMMON_CORE	Sollmaß	KNOWN_FROM_BIOLOGICAL	NONE
MC040	okal	okal	dorthin einsetzen	COMMON_BIOLOGICAL_HERBAL_CORE	1	E069	H4	f55v	YES	reuse known card and keep the same short value	COMMON_CORE	dorthin einsetzen	KNOWN_FROM_BIOLOGICAL	NONE
MC041	okchol	okchol	weiter einsetzen	HERBAL_LOCAL_OPERATION_SIGN	1	E053	H3	f11r	YES	learn or decompose one Herbal-specific work operation	OK + OL	die Fortsetzung einsetzen	FULL_COMPOSITION	NONE
MC047	ykain	ykain	erste Portion	HERBAL_LOCAL_NOUN_SIGN	1	E058	H4	f55v	YES	learn one new pictured-material/container/preparation sign	Y + K + AIN	erste Portion	PARTIAL_COMPOSITION	K ordinal/index core
MC048	kaiiin	kaiiin	Bearbeitungsstufe	HERBAL_LOCAL_OPERATION_SIGN	1	E036	H2	f10r	YES	learn or decompose one Herbal-specific work operation	K + IIN	die Arbeitsstufe setzen	FULL_COMPOSITION	NONE
MC049	schoal	schoal	Sudansatz	HERBAL_LOCAL_NOUN_SIGN	1	E040	H3	f11r	YES	learn one new pictured-material/container/preparation sign	SCHOAL	Sudansatz	LEARNED_WHOLE_NOUN	SCHOAL decoction core
MC053	otol	otol	Fortgang	HERBAL_LOCAL_OPERATION_SIGN	1	E026	H2	f10r	YES	learn or decompose one Herbal-specific work operation	OT + OL	anschließend fortsetzen	FULL_COMPOSITION	NONE
MC055	char	char|dar	davon	COMMON_BIOLOGICAL_HERBAL_CORE	2	E003|E031	H1|H2	f10r	YES	reuse known card and keep the same short value	COMMON_CORE	davon	KNOWN_FROM_BIOLOGICAL	NONE
MC062	shoyty	shoyty	Zugabeteil	HERBAL_LOCAL_NOUN_SIGN	1	E046	H3	f11r	YES	learn one new pictured-material/container/preparation sign	SHO + YTY	Zugabeteil	PARTIAL_COMPOSITION	YTY material-part core
MC068	sotodan	sotodan	Folgeanwendung	HERBAL_LOCAL_OPERATION_SIGN	1	E097	H5	f56r	YES	learn or decompose one Herbal-specific work operation	SOTODAN	als Folgeanwendung führen	LEARNED_WHOLE_OPERATION	SOTODAN follow-up application
MC069	otytchol	otytchol	Folgeteil	HERBAL_LOCAL_NOUN_SIGN	1	E007	H1	f10r	YES	learn one new pictured-material/container/preparation sign	OT + YTY + OL	Folgeteil	PARTIAL_COMPOSITION	YTY material-part core
MC071	dchey	dchey	Wurzel	HERBAL_LOCAL_NOUN_SIGN	1	E001	H1	f10r	YES	learn one new pictured-material/container/preparation sign	DCHEY	Wurzel	LEARNED_WHOLE_NOUN	DCHEY root core
MC072	orain	orain	Bereitungsanteil	HERBAL_LOCAL_NOUN_SIGN	1	E073	H4	f55v	YES	learn one new pictured-material/container/preparation sign	OR + AIN	Bereitungsanteil	FULL_COMPOSITION	NONE
